# key	名前	場所	よみ	Commons の検索語	解説	緯度	経度
ise	伊勢神宮	日本・三重・伊勢	いせじんぐう	Ise Grand Shrine Naiku	日本でもっとも大切な神社の一つ。20年ごとに社殿を建てかえる「式年遷宮」を1300年つづけている。	34.455	136.725
osakajo	大阪城	日本・大阪	おおさかじょう	Osaka Castle	豊臣秀吉が建てた城。今の天守は1931年に建て直したもので、緑の屋根と金のかざりが目立つ。	34.687	135.526
dotonbori	道頓堀	日本・大阪	どうとんぼり	Dotonbori canal Osaka	大阪でいちばんにぎやかな繁華街。川ぞいに大きな看板がならび、たこ焼きや串カツの店が多い。	34.669	135.501
tsutenkaku	通天閣	日本・大阪	つうてんかく	Tsutenkaku	大阪・新世界にある高さ108mの塔。1912年にパリのエッフェル塔をまねて建てられた。	34.652	135.506
byodoin	平等院鳳凰堂	日本・京都・宇治	びょうどういんほうおうどう	Byodoin Phoenix Hall	1053年に建てられた お堂。池にうつる姿が美しく、10円玉のデザインになっている。	34.889	135.808
horyuji	法隆寺	日本・奈良	ほうりゅうじ	Horyuji pagoda	聖徳太子が建てた寺。五重塔などは 世界でもっとも古い木造の建物で、日本で最初に世界遺産になった。	34.614	135.734
kasuga	春日大社	日本・奈良	かすがたいしゃ	Kasuga Taisha lanterns	奈良公園の森の中にある神社。約3000基の灯籠がならび、まわりには神の使いとされる鹿がいる。	34.681	135.848
nijo	二条城	日本・京都	にじょうじょう	Nijo Castle	徳川家康が京都に建てた城。廊下を歩くとキュッキュッと鳴る「うぐいす張り」が有名。	35.014	135.748
ginkaku	銀閣寺	日本・京都	ぎんかくじ	Ginkakuji	足利義政が建てた寺。銀ははられていないが、しずかな庭と 砂を盛った「向月台」が美しい。	35.027	135.798
arashiyama	嵐山の竹林	日本・京都	あらしやまのちくりん	Arashiyama Bamboo Grove	高さ10m以上の竹が両側にそびえる小道。風で竹がゆれる音が「日本の音風景100選」に選ばれている。	35.017	135.672
amanohashidate	天橋立	日本・京都	あまのはしだて	Amanohashidate	海の上に約3.6kmのびる細長い砂の道。日本三景の一つで、またの間からのぞく「股のぞき」で有名。	35.57	135.19
koyasan	高野山	日本・和歌山	こうやさん	Koyasan Danjo Garan	空海が1200年前に開いた 仏教の聖地。山の上に100以上の寺があり、お寺にとまることができる。	34.213	135.585
nachi	那智の滝	日本・和歌山	なちのたき	Nachi Falls pagoda	高さ133mで日本一の落差をほこる滝。滝そのものが神様としてまつられ、三重塔とならぶ風景が有名。	33.673	135.890
hikone	彦根城	日本・滋賀・彦根	ひこねじょう	Hikone Castle	琵琶湖のほとりに立つ城。天守は国宝で、ゆるキャラ「ひこにゃん」でも有名。	35.277	136.252
yoshino	吉野山の桜	日本・奈良	よしのやまのさくら	Mount Yoshino cherry blossoms	山ぜんたいに約3万本の桜がさく。ふもとから順に「下千本・中千本・上千本・奥千本」とよぶ。	34.36	135.86
takeda	竹田城跡	日本・兵庫	たけだじょうせき	Takeda Castle ruins	山の上に石垣だけが残る城あと。秋の朝、雲海にうかぶ姿から「天空の城」とよばれる。	35.300	134.829
akashi	明石海峡大橋	日本・兵庫	あかしかいきょうおおはし	Akashi Kaikyo Bridge	神戸と淡路島をむすぶ橋。主塔の間は1991mで、世界でもっとも長いつり橋の一つ。	34.617	135.021
izumo	出雲大社	日本・島根	いずもたいしゃ	Izumo Taisha shimenawa	縁むすびの神様をまつる神社。神楽殿の大しめなわは長さ13m、重さ約5トンもある。	35.402	132.685
tottori	鳥取砂丘	日本・鳥取	とっとりさきゅう	Tottori Sand Dunes	東西16kmにひろがる日本最大級の砂丘。風がつくる風紋が美しく、ラクダに乗ることもできる。	35.54	134.23
matsue	松江城	日本・島根・松江	まつえじょう	Matsue Castle	宍道湖のそばに立つ城。天守は国宝で、黒い板の壁から「千鳥城」ともよばれる。	35.475	133.051
korakuen	岡山後楽園	日本・岡山	おかやまこうらくえん	Korakuen Okayama	岡山の殿様が作った庭園。日本三名園の一つで、広い芝生と池の向こうに岡山城が見える。	34.667	133.936
kurashiki	倉敷美観地区	日本・岡山・倉敷	くらしきびかんちく	Kurashiki Bikan canal	白い壁の蔵と柳の並木が川ぞいにつづく町。江戸時代に米を運んだ川で、小舟に乗って見物できる。	34.596	133.771
kintaikyo	錦帯橋	日本・山口・岩国	きんたいきょう	Kintaikyo Bridge	5つのアーチがつらなる木の橋。1673年に作られ、くぎをほとんど使わない組み方で有名。	34.167	132.178
akiyoshidai	秋吉台	日本・山口	あきよしだい	Akiyoshidai karst	日本最大のカルスト台地。草原に白い石灰岩がいくつも顔を出し、地下には秋芳洞という大きな鍾乳洞がある。	34.24	131.31
motonosumi	元乃隅神社	日本・山口	もとのすみじんじゃ	Motonosumi Inari Shrine	海にむかって123基の赤い鳥居がならぶ神社。アメリカのテレビで「日本の美しい場所」に選ばれた。	34.42	130.91
tsunoshima	角島大橋	日本・山口	つのしまおおはし	Tsunoshima Bridge	エメラルド色の海の上を 約1780mまっすぐのびる橋。CMや映画によく登場する。	34.35	130.89
dogo	道後温泉	日本・愛媛・松山	どうごおんせん	Dogo Onsen Honkan	3000年の歴史があるといわれる日本最古の温泉。本館の木造の建物は 国の重要文化財。	33.852	132.786
matsuyama	松山城	日本・愛媛・松山	まつやまじょう	Matsuyama Castle	松山の街のまん中の山にたつ城。江戸時代の天守が残る12の城の一つで、ロープウェイで登れる。	33.845	132.766
kotohira	金刀比羅宮	日本・香川	ことひらぐう	Kotohira-gu Kagawa	「こんぴらさん」の名で親しまれる神社。本宮まで785段、奥社まで1368段の石段を登る。	34.184	133.810
naruto	鳴門の渦潮	日本・徳島	なるとのうずしお	Naruto whirlpools	潮の流れがぶつかってできる大きなうず。直径は最大20mにもなり、橋の上や船から見られる。	34.24	134.65
katsurahama	桂浜	日本・高知	かつらはま	Katsurahama beach	太平洋にむかう弓なりの浜。丘の上には 坂本龍馬の大きな像が海をながめて立っている。	33.497	133.575
shimanto	四万十川	日本・高知	しまんとがわ	Shimanto River chinkabashi	「日本最後の清流」とよばれる川。大水のとき水にしずむ「沈下橋」がいくつもかかっている。	33.1	132.95
kazurabashi	祖谷のかずら橋	日本・徳島	いやのかずらばし	Iya Kazurabashi bridge	山の谷にかかる 植物のつるで編んだ橋。長さ45mで、足元のすき間から川が見えてスリルがある。	33.88	133.83
dazaifu	太宰府天満宮	日本・福岡	だざいふてんまんぐう	Dazaifu Tenmangu	学問の神様・菅原道真をまつる神社。受験生が多くおとずれ、名物は「梅ヶ枝餅」。	33.521	130.535
gunkanjima	軍艦島	日本・長崎	ぐんかんじま	Hashima Gunkanjima	正しくは端島。海底の炭鉱で栄えた小さな島で、高いビルがならぶ姿が軍艦に見える。今は無人島。	32.628	129.738
glover	グラバー園	日本・長崎	ぐらばーえん	Glover Garden Nagasaki	幕末に長崎で貿易をしたイギリス人グラバーの家。日本に残る いちばん古い木造の西洋の家。	32.734	129.869
nagasakipeace	長崎平和公園	日本・長崎	ながさきへいわこうえん	Nagasaki Peace Park statue	原爆が落とされた場所の近くにある公園。高さ9.7mの平和祈念像が、天を指し 平和をねがっている。	32.776	129.864
kumamotojo	熊本城	日本・熊本	くまもとじょう	Kumamoto Castle	加藤清正が建てた城。「武者返し」とよばれる高い石垣で知られ、2016年の地震から修理が進んでいる。	32.806	130.706
aso	阿蘇山	日本・熊本	あそさん	Mount Aso crater	世界最大級のカルデラをもつ火山。中岳の火口からは今も白い煙が上がり、草原では牛や馬が草を食べる。	32.884	131.104
beppu	別府温泉	日本・大分・別府	べっぷおんせん	Beppu Umi Jigoku	湯の量が日本一の温泉。「地獄めぐり」では、青い海地獄や赤い血の池地獄などをめぐる。	33.317	131.472
yufuin	由布院	日本・大分	ゆふいん	Yufuin Kinrinko	由布岳のふもとにある温泉の町。朝に霧がわく金鱗湖や、おしゃれなお店がならぶ通りが人気。	33.264	131.372
takachiho	高千穂峡	日本・宮崎	たかちほきょう	Takachiho Gorge	阿蘇の溶岩が川にけずられてできた谷。ボートに乗って真名井の滝を見上げられる。	32.70	131.30
sakurajima	桜島	日本・鹿児島	さくらじま	Sakurajima	鹿児島の町の目の前にある活火山。今もよく噴火して灰をふらせる。1914年の噴火で大隅半島と陸つづきになった。	31.58	130.66
shuri	首里城	日本・沖縄・那覇	しゅりじょう	Shuri Castle	琉球王国の王のすまいだった城。赤い正殿は2019年の火事で焼け、今 建て直しが進んでいる。	26.217	127.719
taketomi	竹富島	日本・沖縄	たけとみじま	Taketomi island	赤い瓦の家と白い砂の道、石垣がつづく 昔ながらの沖縄の島。水牛車でゆっくり回れる。	24.33	124.09
kabira	川平湾	日本・沖縄・石垣島	かびらわん	Kabira Bay	石垣島にある 白い砂とエメラルドグリーンの海の湾。グラスボートからサンゴや魚が見える。	24.455	124.145
# ── 2026-09-24 追加(世界遺産検定レベル: 日本の世界遺産の 構成資産)
shirakamisanchi	白神山地	日本・青森／秋田	しらかみさんち	Shirakami-Sanchi	人の手が入っていないブナの原生林が広がる山地。1993年に屋久島とともに日本で最初の世界自然遺産になった。	40.5	140.15
gokayama	五箇山	日本・富山	ごかやま	Gokayama Ainokura	白川郷とともに世界遺産になった合掌造りの集落。相倉と菅沼の2つの集落が残る。	36.42	136.93
nakijin	今帰仁城跡	日本・沖縄	なきじんじょうあと	Nakijin Castle	琉球王国以前の北山王の城あと。曲線を描く長い石垣が残り、「琉球王国のグスク」として世界遺産。	26.69	127.93
nakagusuku	中城城跡	日本・沖縄	なかぐすくじょうあと	Nakagusuku Castle	沖縄本島中部の高台にあるグスク。美しいアーチ型の石門と 6つの郭がほぼ完全に残る。	26.28	127.80
shikinaen	識名園	日本・沖縄	しきなえん	Shikinaen	琉球王家の別邸だった庭園。中国風の六角堂と池があり、世界遺産「琉球王国のグスク及び関連遺産群」の一つ。	26.20	127.71
sefa	斎場御嶽	日本・沖縄	せーふぁうたき	Sefa Utaki	琉球王国でもっとも神聖な祈りの場所。三角形の岩の間から久高島をのぞむ。	26.17	127.83
kumanohongu	熊野本宮大社	日本・和歌山	くまのほんぐうたいしゃ	Kumano Hongu Taisha	熊野三山の中心の神社。日本一大きな鳥居が近くに立ち、熊野古道の参詣道が集まる。	33.84	135.77
kumanokodo	熊野古道	日本・和歌山	くまのこどう	Kumano Kodo pilgrimage route forest	熊野三山へつづく祈りの道。「紀伊山地の霊場と参詣道」として世界遺産。道が遺産になった珍しい例。	33.9	135.6
iwamiginzan	石見銀山	日本・島根	いわみぎんざん	Iwami Ginzan Omori	江戸時代に世界の銀の3分の1を産出したといわれる銀山。坑道と町並みが2007年に世界遺産。	35.11	132.44
ogasawaraislands	小笠原諸島	日本・東京	おがさわらしょとう	Ogasawara Islands Chichijima	東京の南1000kmの島々。固有の生き物が多く「東洋のガラパゴス」。2011年に世界自然遺産。	27.09	142.19
motsuji	毛越寺	日本・岩手	もうつうじ	Motsuji temple garden	平泉にある寺。平安時代の浄土庭園が残り、中尊寺とともに世界遺産「平泉」の構成資産。	38.99	141.11
tomiokaseishi	富岡製糸場	日本・群馬	とみおかせいしじょう	Tomioka Silk Mill	1872年に明治政府が作った日本最初の本格的な製糸工場。2014年に世界遺産。	36.255	138.888
yahata	八幡製鉄所	日本・福岡	やはたせいてつしょ	Higashida first blast furnace Yahata	1901年に操業した日本最初の近代製鉄所。「明治日本の産業革命遺産」の構成資産。	33.87	130.81
nirayama	韮山反射炉	日本・静岡	にらやまはんしゃろ	Nirayama Reverberatory Furnace	幕末に大砲を作るために建てられた炉。現存する唯一の実用反射炉で、世界遺産の構成資産。	35.04	138.96
shokasonjuku	松下村塾	日本・山口	しょうかそんじゅく	Shokasonjuku	吉田松陰が幕末の志士を教えた小さな塾。高杉晋作や伊藤博文が学んだ。世界遺産の構成資産。	34.42	131.41
miike	三池炭鉱	日本・福岡	みいけたんこう	Miike Coal Mine Miyanohara Pit	日本最大の炭鉱だった。万田坑や宮原坑の やぐらが残り、世界遺産の構成資産。	32.99	130.45
seiyobijutsukan	国立西洋美術館	日本・東京	こくりつせいようびじゅつかん	National Museum of Western Art	建築家ル・コルビュジエが設計した美術館。2016年に世界遺産(7か国17件の建築群の一つ)。	35.716	139.776
munakata	宗像大社	日本・福岡	むなかたたいしゃ	Munakata Taisha Hetsu-gu	海の神をまつる神社。神の島「沖ノ島」とともに2017年に世界遺産。沖ノ島は今も女人禁制。	33.83	130.51
oura	大浦天主堂	日本・長崎	おおうらてんしゅどう	Oura Church	日本最古の現存する教会(1864年)。潜伏キリシタンが信仰を告白した「信徒発見」の場所。	32.734	129.870
sakitsu	﨑津集落	日本・熊本	さきつしゅうらく	Sakitsu Church Amakusa	天草の漁村に建つ教会。潜伏キリシタンの信仰が伝わる集落として世界遺産。	32.31	130.02
harajo	原城跡	日本・長崎	はらじょうあと	Hara Castle Shimabara	1637年の島原の乱で天草四郎ら3万人がたてこもった城あと。世界遺産「潜伏キリシタン関連遺産」。	32.63	130.25
nintoku	仁徳天皇陵古墳	日本・大阪	にんとくてんのうりょうこふん	Nintoku-tenno-ryo Kofun	全長486mで日本最大の前方後円墳。「百舌鳥・古市古墳群」として2019年に世界遺産。	34.56	135.49
sannaimaruyama	三内丸山遺跡	日本・青森	さんないまるやまいせき	Sannai-Maruyama site	約5900〜4200年前の縄文時代の大集落。「北海道・北東北の縄文遺跡群」として2021年に世界遺産。	40.81	140.70
oyu	大湯環状列石	日本・秋田	おおゆかんじょうれっせき	Oyu Stone Circles	縄文時代の大きなストーンサークル。夏至の日没の方向に石が並ぶ。縄文遺跡群の構成資産。	40.27	140.80
amamioshima	奄美大島	日本・鹿児島	あまみおおしま	Amami Oshima mangrove	アマミノクロウサギなど固有種がすむ亜熱帯の島。2021年に沖縄北部・西表島とともに世界自然遺産。	28.35	129.45
iriomotejima	西表島	日本・沖縄	いりおもてじま	Iriomote Island mangrove river	マングローブの森と滝の島。イリオモテヤマネコがすみ、2021年に世界自然遺産。	24.33	123.80
sadokinzan	佐渡金山	日本・新潟	さどきんざん	Sado gold mine Doyu no warito	江戸時代に世界最大級の金の産出量をほこった金山。山を割った「道遊の割戸」。2024年に世界遺産。	38.04	138.25
daigoji	醍醐寺	日本・京都	だいごじ	Daigoji	豊臣秀吉の「醍醐の花見」で知られる寺。五重塔は京都でいちばん古い木造建築(951年)。	34.95	135.82
ninnaji	仁和寺	日本・京都	にんなじ	Ninnaji	皇室ゆかりの寺。遅咲きの「御室桜」と金堂が有名。「古都京都の文化財」の一つ。	35.03	135.71
ryoanji	龍安寺	日本・京都	りょうあんじ	Ryoanji rock garden	15個の石を白い砂に置いた「石庭」で世界的に有名な寺。	35.03	135.72
tenryuji	天龍寺	日本・京都	てんりゅうじ	Tenryuji garden	嵐山にある禅寺。夢窓疎石が作った池の庭「曹源池庭園」は日本最初の史跡・特別名勝。	35.02	135.67
nishihonganji	西本願寺	日本・京都	にしほんがんじ	Nishi Honganji	浄土真宗の本山。桃山時代の豪華な建物が残り、「古都京都の文化財」の一つ。	34.99	135.75
kamigamo	上賀茂神社	日本・京都	かみがもじんじゃ	Kamigamo Shrine	京都でもっとも古い神社の一つ。5月の葵祭で知られ、境内に円すい形の「立砂」がある。	35.06	135.75
shimogamo	下鴨神社	日本・京都	しもがもじんじゃ	Shimogamo Shrine	糺の森に囲まれた古い神社。上賀茂神社とともに葵祭を行う。	35.04	135.77
ujigami	宇治上神社	日本・京都	うじがみじんじゃ	Ujigami Shrine	現存する日本最古の神社建築(平安時代後期)。平等院の向かいの宇治川ぞい。	34.89	135.81
enryakuji	比叡山延暦寺	日本・滋賀	ひえいざんえんりゃくじ	Enryakuji Konponchudo	最澄が開いた天台宗の総本山。多くの高僧を生み「日本仏教の母山」。京都の世界遺産に含まれる。	35.07	135.84
kofukuji	興福寺	日本・奈良	こうふくじ	Kofukuji pagoda	藤原氏の寺。高さ50mの五重塔と、阿修羅像で知られる。「古都奈良の文化財」の一つ。	34.68	135.83
yakushiji	薬師寺	日本・奈良	やくしじ	Yakushiji	天武天皇が発願した寺。1300年前の東塔は「凍れる音楽」とたたえられる。	34.67	135.78
toshodaiji	唐招提寺	日本・奈良	とうしょうだいじ	Toshodaiji	中国から渡ってきた鑑真が開いた寺。金堂は奈良時代の姿をそのまま残す。	34.68	135.78
heijokyu	平城宮跡	日本・奈良	へいじょうきゅうあと	Heijo Palace Suzakumon	710年に置かれた都「平城京」の宮殿あと。朱雀門と大極殿が復元されている。	34.69	135.79
kasugayama	春日山原始林	日本・奈良	かすがやまげんしりん	Kasugayama Primeval Forest	1000年以上伐採が禁じられてきた春日大社の神の森。都市のすぐそばにある原始林として世界遺産。	34.68	135.87
rinnoji	輪王寺	日本・栃木	りんのうじ	Rinnoji Sanbutsudo	日光山の中心の寺。三仏堂には高さ7.5mの3体の仏像。「日光の社寺」の構成資産。	36.75	139.60
futarasan	日光二荒山神社	日本・栃木	にっこうふたらさんじんじゃ	Futarasan Shrine Nikko	日光の山々をまつる神社。参道の赤い神橋が有名。「日光の社寺」の構成資産。	36.76	139.60
fujigoko	富士五湖	日本・山梨	ふじごこ	Fuji Five Lakes Motosu	富士山の北のふもとの5つの湖。本栖湖の逆さ富士は千円札の絵。世界遺産「富士山」の構成資産。	35.47	138.59
asukafujiwara	飛鳥・藤原	日本・奈良	あすかふじわら	Asuka Ishibutai Kofun	飛鳥時代の都のあと。石舞台古墳や高松塚古墳があり、世界遺産の暫定リスト。	34.47	135.83
shirahige	白鬚神社	日本・滋賀	しらひげじんじゃ	Shirahige Shrine torii Lake Biwa	琵琶湖の中に朱色の鳥居が立つ神社。「近江の厳島」とよばれ、朝日や夕日にうかぶ鳥居が人気。	35.286	135.982
kamakurashrine	鶴岡八幡宮	日本・神奈川	つるがおかはちまんぐう	Tsurugaoka Hachimangu	鎌倉の中心にある源氏ゆかりの神社。「武家の古都・鎌倉」として世界遺産を目指している。	35.33	139.56
kujukushima	九十九島	日本・長崎・佐世保	くじゅうくしま	Kujukushima islands Sasebo	佐世保の海に208の島がうかぶ多島海。島の数の密度は日本一で、遊覧船や展望台から見わたせる。	33.16	129.65
kobeport	神戸ポートタワー	日本・兵庫・神戸	こうべぽーとたわー	Kobe Port Tower	神戸港のシンボルの赤い塔。高さ108mで、和太鼓のような形は世界でもめずらしい。夜はライトアップされる。	34.682	135.186
narapark	奈良公園	日本・奈良	ならこうえん	Nara Park deer	約1200頭のシカが自由に歩きまわる大きな公園。東大寺・興福寺・春日大社が中にあり、鹿せんべいをあげられる。	34.685	135.843
