# 宇宙。key	名前	分類	よみ	絵文字	解説	地図(sky|solar)	x	y	Wikipedia題名	はじめのレベル(1か空)
solphobos	フォボス	衛星(火星)	ふぉぼす	🌑	火星の2つの衛星のうち大きいほう。直径約22kmのいびつな形で、火星にとても近く、約7時間40分で1周する。	solar	0.29	-0.4	フォボス (衛星)	
soldeimos	ダイモス	衛星(火星)	だいもす	🌑	火星の2つの衛星のうち小さいほう。直径約12km。名前はギリシャ神話の軍神アレスの息子で、フォボスの兄弟。	solar	0.30	0.4	ダイモス (衛星)	
solio	イオ	衛星(木星)	いお	🌋	木星のガリレオ衛星のひとつ。木星の強い引力にゆさぶられ、太陽系でいちばん火山活動が活発な天体。表面は黄色い硫黄でおおわれる。	solar	0.44	-0.3	イオ (衛星)	
soleuropa	エウロパ	衛星(木星)	えうろぱ	🧊	木星のガリレオ衛星のひとつ。氷の表面の下に地球の海より多い水があると考えられ、生命がいるかもしれないと注目されている。	solar	0.46	-0.6	エウロパ (衛星)	
solganymede	ガニメデ	衛星(木星)	がにめで	🌑	木星のガリレオ衛星のひとつで、太陽系でいちばん大きな衛星。直径は水星より大きい。衛星でただひとつ、自分の磁場をもつ。	solar	0.44	0.3	ガニメデ (衛星)	
solcallisto	カリスト	衛星(木星)	かりすと	🌑	木星のガリレオ衛星のうち いちばん外側をまわる。表面はクレーターだらけで、太陽系で最も古い地形のひとつといわれる。	solar	0.46	0.6	カリスト (衛星)	
solamalthea	アマルテア	衛星(木星)	あまるてあ	🌑	木星の小さな衛星。1892年にバーナードが発見した、ガリレオ衛星以外で最初に見つかった木星の衛星。赤い色をしている。	solar	0.45	0.85	アマルテア (衛星)	
soltitan	タイタン	衛星(土星)	たいたん	🌫️	土星最大の衛星で、太陽系で2番目に大きい。衛星でただひとつ厚い大気をもち、メタンの雨がふり、メタンの湖がある。	solar	0.57	-0.35	タイタン (衛星)	
solenceladus	エンケラドゥス	衛星(土星)	えんけらどぅす	🧊	土星の小さな氷の衛星。南極から水しぶきをふき上げていて、氷の下に海があると考えられる。生命探しで注目の星。	solar	0.56	-0.65	エンケラドゥス (衛星)	
solmimas	ミマス	衛星(土星)	みます	🌑	土星の衛星。直径約400km。ハーシェルという巨大なクレーターがあり、映画の宇宙ステーションのような見た目で有名。	solar	0.58	0.3	ミマス (衛星)	
solrhea	レア	衛星(土星)	れあ	🌑	土星で2番目に大きな衛星。直径約1500km。ほとんどが氷でできていて、表面はクレーターでおおわれている。	solar	0.56	0.6	レア (衛星)	
soliapetus	イアペトゥス	衛星(土星)	いあぺとぅす	🌓	土星の衛星。片側がまっ黒、反対側がまっ白という不思議な二色の顔をもつ。赤道に高さ10km以上の山脈が走っている。	solar	0.58	0.85	イアペトゥス (衛星)	
soltethys	テティス	衛星(土星)	ててぃす	🌑	土星の氷の衛星。直径約1060km。星をぐるりと4分の3周する巨大な谷イサカ谷がある。	solar	0.58	-0.9	テティス (衛星)	
soldione	ディオネ	衛星(土星)	でぃおね	🌑	土星の氷の衛星。直径約1120km。表面に明るい氷のがけの筋が走り、うすい酸素の大気がみつかっている。	solar	0.55	0.9	ディオネ (衛星)	
solhyperion	ハイペリオン	衛星(土星)	はいぺりおん	🧽	土星の衛星。スポンジのような穴だらけの見た目で、いびつな形。自転がでたらめで、向きの予想ができない。	solar	0.55	-0.9	ハイペリオン (衛星)	
soltitania	ティタニア	衛星(天王星)	てぃたにあ	🌑	天王星最大の衛星。直径約1580km。名前はシェイクスピアの劇に出てくる妖精の女王からとられた。	solar	0.69	-0.4	チタニア (衛星)	
soloberon	オベロン	衛星(天王星)	おべろん	🌑	天王星で2番目に大きな衛星。1787年にハーシェルが発見。名前はシェイクスピアの劇の妖精の王からとられた。	solar	0.70	0.4	オベロン (衛星)	
solmiranda	ミランダ	衛星(天王星)	みらんだ	🌑	天王星の小さな衛星。高さ20kmの太陽系最大級のがけがあり、いろいろな地形がつぎはぎのように混ざった不思議な表面。	solar	0.68	0.7	ミランダ (衛星)	
soltriton	トリトン	衛星(海王星)	とりとん	🧊	海王星最大の衛星。海王星の自転と反対向きにまわり、もとはカイパーベルトの天体がつかまったと考えられる。窒素の間欠泉がある。	solar	0.80	-0.45	トリトン (衛星)	
solcharon	カロン	衛星(冥王星)	かろん	🌑	冥王星の衛星。冥王星の半分ほどの大きさがあり、2つはおたがいをまわりあっている。1978年に発見された。	solar	0.88	-0.4	カロン (衛星)	
solpluto	冥王星	準惑星	めいおうせい	🪐	1930年に発見され、長く9番目の惑星とされたが、2006年に準惑星になった。月より小さく、氷のハートもようがある。	solar	0.88	0	冥王星	1
solceres	ケレス	準惑星	けれす	🪨	火星と木星のあいだの小惑星帯にある、いちばん大きな天体。直径約950km。小惑星帯でただひとつの準惑星。	solar	0.36	-0.3	ケレス (準惑星)	
soleris	エリス	準惑星	えりす	🪐	2005年に発見された、冥王星より重い準惑星。この発見がきっかけで惑星の定義が見直され、冥王星が準惑星になった。	solar	0.93	-0.5	エリス (準惑星)	
solmakemake	マケマケ	準惑星	まけまけ	🪐	カイパーベルトにある準惑星。2005年に発見された。名前はイースター島の神話の創造の神からとられた。	solar	0.90	0.55	マケマケ (準惑星)	
solhaumea	ハウメア	準惑星	はうめあ	🥚	カイパーベルトにある準惑星。約4時間で高速に自転しているため、ラグビーボールのような細長い形をしている。環をもつ。	solar	0.91	-0.85	ハウメア (準惑星)	
solitokawa	イトカワ	小惑星	いとかわ	🥔	探査機はやぶさが着陸した、長さ約540mのラッコのような形の小惑星。名前は日本のロケットの父 糸川英夫からとられた。	solar	0.32	-0.6	イトカワ (小惑星)	
solryugu	リュウグウ	小惑星	りゅうぐう	💎	探査機はやぶさ2が着陸し、砂を持ち帰った小惑星。直径約900mのそろばんの玉のような形。水や有機物をふくむ岩石でできている。	solar	0.33	0.6	リュウグウ (小惑星)	
solbennu	ベンヌ	小惑星	べんぬ	🪨	アメリカの探査機オシリス・レックスが砂を持ち帰った小惑星。直径約500m。遠い将来に地球に近づく可能性がある。	solar	0.31	0.9	ベンヌ (小惑星)	
solvesta	ベスタ	小惑星	べすた	🪨	小惑星帯で2番目に大きな天体。直径約525km。小惑星の中でいちばん明るく、条件がよければ肉眼でも見える。	solar	0.37	0.35	ベスタ (小惑星)	
solpallas	パラス	小惑星	ぱらす	🪨	1802年に発見された、小惑星帯で3番目に大きな小惑星。直径約510km。名前はギリシャ神話の女神アテナの別名。	solar	0.38	-0.65	パラス (小惑星)	
solbelt	小惑星帯	小惑星	しょうわくせいたい	🪨	火星と木星のあいだで、たくさんの小さな岩の天体が太陽をまわっている帯。惑星になりそこねたかけらの集まりと考えられる。	solar	0.36	0	小惑星帯	1
solkuiper	カイパーベルト	太陽系の果て	かいぱーべると	🧊	海王星の外側に、氷の小天体がドーナツ状に広がっている場所。冥王星やエリスもここにある。短い周期の彗星のふるさと。	solar	0.88	0.9	エッジワース・カイパーベルト	
soloort	オールトの雲	太陽系の果て	おーるとのくも	☁️	太陽系のいちばん外側を、無数の氷の天体が球のようにとりまいていると考えられる場所。長い周期の彗星のふるさと。	solar	0.97	0	オールトの雲	
solhalley	ハレー彗星	彗星	はれーすいせい	☄️	約76年ごとに太陽に近づく、いちばん有名な彗星。ハレーが周期を予言した。前回は1986年、つぎは2061年ごろに見られる。	solar	0.75	0.9	ハレー彗星	1
solhalebopp	ヘール・ボップ彗星	彗星	へーるぼっぷすいせい	☄️	1997年に地球に近づき、18か月ものあいだ肉眼で見えた大彗星。20世紀でいちばん多くの人に見られた彗星といわれる。	solar	0.94	0.85	ヘール・ボップ彗星	
solhyakutake	百武彗星	彗星	ひゃくたけすいせい	☄️	1996年に日本のアマチュア天文家 百武裕司さんが発見し、地球のすぐそばを通って長い尾を見せた彗星。	solar	0.84	0.9	百武彗星 (C/1996 B2)	
solcomet	彗星	彗星	すいせい	☄️	氷とちりでできた、よごれた雪だるまのような天体。太陽に近づくと氷がとけて、太陽と反対の向きに長い尾がのびる。ほうき星ともいう。	solar	0.66	0.9	彗星	
solsystem	太陽系	ことば	たいようけい	🪐	太陽と、そのまわりをまわる8つの惑星、衛星、準惑星、小惑星、彗星などの家族。太陽から海王星までは約45億km。	solar	0.50	-0.9	太陽系	1
solrevolution	公転	ことば	こうてん	🔄	天体が別の天体のまわりをまわること。地球は太陽のまわりを1年で1周し、そのために季節や星座の見え方が変わる。	solar	0.13	-0.9	公転	1
solrotation	自転	ことば	じてん	🌀	天体が自分の軸を中心にまわること。地球は約24時間で1回転し、そのために昼と夜ができ、太陽や星が東から西へ動いて見える。	solar	0.19	-0.95	自転	1
solsolareclipse	日食	ことば	にっしょく	🌘	月が太陽と地球のあいだに入って、太陽をかくす現象。新月の日に起こる。ぜんぶかくれる皆既日食、まわりが残る金環日食がある。	solar	0.16	0.9	日食	1
sollunareclipse	月食	ことば	げっしょく	🌒	地球が太陽と月のあいだに入り、地球の影に月が入る現象。満月の日に起こる。皆既月食の月は赤銅色に見える。	solar	0.28	-0.95	月食	1
soltotaleclipse	皆既日食	ことば	かいきにっしょく	🌑	月が太陽を完全にかくす日食。昼なのに暗くなり、太陽のまわりのコロナが見える。太陽と月の見かけの大きさがほぼ同じだから起こる。	solar	0.11	0.95	皆既日食	
solannular	金環日食	ことば	きんかんにっしょく	💍	月が地球から遠いとき、太陽をかくしきれずに指輪のように光の輪が残る日食。2012年に東京など日本の広い範囲で見られた。	solar	0.07	0.9	金環日食	
solfullmoon	満月	ことば	まんげつ	🌕	太陽・地球・月の順に一直線にならび、月がまるく光って見えるとき。夕方に東からのぼり、真夜中に南、明け方に西へしずむ。	solar	0.26	-0.15	満月	1
solnewmoon	新月	ことば	しんげつ	🌑	月が太陽と同じ方向にあって、地球からは見えないとき。ここから約29.5日かけて満ち欠けを1周する。日食は新月の日に起こる。	solar	0.27	0.05	新月	1
solcrescent	三日月	ことば	みかづき	🌙	新月から3日目ごろの細い月。夕方の西の空に低く見えて、すぐしずむ。右側が光る。ここから上弦、満月へとふくらんでいく。	solar	0.27	-0.35	三日月	1
solfirstq	上弦の月	ことば	じょうげんのつき	🌓	新月から約7日目の右半分が光る半月。昼にのぼり、夕方に南の空、真夜中に西へしずむ。弓の弦が上にくるのでこの名前。	solar	0.27	-0.6	上弦	
sollastq	下弦の月	ことば	かげんのつき	🌗	満月から約7日目の左半分が光る半月。真夜中にのぼり、明け方に南の空に見える。昼間の西の空に白く見えることもある。	solar	0.26	-0.85	下弦	
solphases	月の満ち欠け	ことば	つきのみちかけ	🌔	月が地球のまわりをまわるうちに、太陽に照らされる部分の見え方が変わること。新月・三日月・上弦・満月・下弦と約29.5日でくり返す。	solar	0.25	0.15	月相	
soltide	潮の満ち引き	ことば	しおのみちひき	🌊	月と太陽の引力で、海の水が1日に2回ふくらんだり引いたりすること。満月と新月のころは差が大きい大潮になる。	solar	0.23	0.2	潮汐	1
solaurora	オーロラ	ことば	おーろら	🌌	太陽からふきつける電気をおびたつぶが、地球の磁場にみちびかれて北極や南極ちかくの空気とぶつかり、光るカーテンのように見える現象。	solar	0.21	0.85	オーロラ	1
solmeteor	流れ星	ことば	ながれぼし	🌠	宇宙のちりが地球の大気に高速でとびこみ、まさつで光る現象。流星ともいう。ほとんどは砂つぶほどの大きさで、地面にはとどかない。	solar	0.16	-0.65	流星	1
solshower	流星群	ことば	りゅうせいぐん	🌠	彗星が残したちりの帯を地球が通るとき、たくさんの流れ星が見える現象。8月のペルセウス座流星群、12月のふたご座流星群が有名。	solar	0.13	-0.6	流星群	
solmeteorite	隕石	ことば	いんせき	🪨	宇宙から落ちてきた石。大気で燃えつきずに地面にとどいたもの。6600万年前に恐竜を絶滅させたのも巨大な隕石といわれる。	solar	0.15	0.35	隕石	
solcrater	クレーター	ことば	くれーたー	🕳️	隕石がぶつかってできた、まるいくぼ地。月の表面にたくさんあり、双眼鏡でも見える。地球でも大きなものがいくつか見つかっている。	solar	0.26	0.35	クレーター	
solsunspot	黒点	ことば	こくてん	🔴	太陽の表面に黒く見える点。まわりより温度が約1500度低いので暗く見える。黒点の動きから太陽が自転していることが分かる。	solar	0.04	0.5	太陽黒点	
solcorona	コロナ	ことば	ころな	👑	太陽のいちばん外側に広がる、100万度をこえる高温のガスの層。ふだんは見えないが、皆既日食のときに白く光って見える。	solar	0.03	-0.55	コロナ	
solflare	太陽フレア	ことば	たいようふれあ	💥	太陽の表面で起こる大爆発。強い光や電気をおびたつぶがふき出し、地球では通信の乱れや停電、大きなオーロラの原因になる。	solar	0.05	0.95	太陽フレア	
solsolarwind	太陽風	ことば	たいようふう	💨	太陽からたえずふき出している電気をおびたつぶの流れ。地球の磁場でさえぎられるが、極地方ではオーロラを起こす。	solar	0.07	-0.9	太陽風	
solprominence	プロミネンス	ことば	ぷろみねんす	🔥	太陽のふちから炎のように高くふき上がるガス。紅炎ともいう。大きいものは地球の何十倍もの高さになる。皆既日食のときに見える。	solar	0.02	0.95	紅炎	
solau	天文単位	ことば	てんもんたんい	📏	太陽と地球のあいだの平均の距離、約1億5000万kmを1とする長さの単位。太陽系の中の距離を表すのに使う。木星は約5天文単位。	solar	0.10	0.5	天文単位	
solaxis	地軸の傾き	ことば	ちじくのかたむき	🧭	地球の自転軸が公転面に対して約23.4度かたむいていること。このために太陽の高さと昼の長さが1年で変わり、季節ができる。	solar	0.20	0.5	赤道傾斜角	
solseason	季節	ことば	きせつ	🍂	地軸のかたむきのせいで、太陽の光の当たり方が1年で変わって起こる。北半球が夏のとき南半球は冬。太陽に近いからではない。	solar	0.19	0.25	季節	
solretrograde	惑星の逆行	ことば	わくせいのぎゃっこう	↩️	地球が外側の惑星を追いこすとき、その惑星が星座のあいだを逆向きに動いて見える現象。火星の逆行が有名。	solar	0.32	-0.9	順行・逆行	
solterrestrial	地球型惑星	ことば	ちきゅうがたわくせい	🪨	水星・金星・地球・火星の4つ。岩石でできていて小さく、密度が大きい。衛星は少ない。木星型惑星と対比して問われる。	solar	0.13	-0.3	地球型惑星	
soljovian	木星型惑星	ことば	もくせいがたわくせい	🪐	木星・土星・天王星・海王星の4つ。ガスや氷でできていて大きく、密度が小さい。環と多くの衛星をもち、自転が速い。	solar	0.63	-0.9	木星型惑星	
solinner	内惑星	ことば	ないわくせい	🔭	地球より内側をまわる水星と金星のこと。太陽から大きくはなれて見えないので、夕方の西か明け方の東にしか見えず、満ち欠けする。	solar	0.13	0.3	内惑星	
solouter	外惑星	ことば	がいわくせい	🔭	地球より外側をまわる火星から海王星までの惑星。真夜中に南の空に見えることがあり、大きく満ち欠けしない。	solar	0.51	0.9	外惑星	
solhayabusa	はやぶさ	探査機(日本)	はやぶさ	🚀	2003年に打ち上げられたJAXAの探査機。小惑星イトカワの砂を世界ではじめて地球に持ち帰り、2010年に大気圏で燃えつきて役目を終えた。	solar	0.31	-0.35	はやぶさ (探査機)	1
solhayabusa2	はやぶさ2	探査機(日本)	はやぶさつー	🚀	2014年打ち上げのJAXAの探査機。小惑星リュウグウに人工クレーターを作り、地下の砂を2020年に持ち帰った。いまも次の目標へ飛行中。	solar	0.34	0.35	はやぶさ2	1
solkaguya	かぐや	探査機(日本)	かぐや	🛰️	2007年にJAXAが打ち上げた月探査機。ハイビジョンカメラで月から地球がのぼる地球の出を撮影した。月の地形を細かく調べた。	solar	0.25	-0.55	かぐや	
solslim	SLIM	探査機(日本)	すりむ	🛰️	2024年1月に日本ではじめて月面着陸に成功したJAXAの探査機。ねらった場所に100m以内で降りるピンポイント着陸を実現した。	solar	0.25	-0.8	SLIM	
solakatsuki	あかつき	探査機(日本)	あかつき	🛰️	JAXAの金星探査機。2010年に軌道に入るのに失敗したが、5年後に再挑戦して成功し、金星の雲や大気の動きを調べた。	solar	0.17	0.55	あかつき (探査機)	
solvoyager1	ボイジャー1号	探査機(アメリカ)	ぼいじゃーいちごう	🛰️	1977年に打ち上げられ、木星と土星を調べたあと太陽系の外へ。2012年に太陽圏を出て、人類が作った中でいちばん遠くにある。	solar	0.98	-0.6	ボイジャー1号	
solvoyager2	ボイジャー2号	探査機(アメリカ)	ぼいじゃーにごう	🛰️	1977年打ち上げ。木星・土星・天王星・海王星の4つをすべて訪れた ただひとつの探査機。地球の音や写真を記録したゴールデンレコードを積む。	solar	0.75	-0.6	ボイジャー2号	
solapollo11	アポロ11号	有人宇宙船(アメリカ)	あぽろじゅういちごう	🚀	1969年7月20日、人類をはじめて月に着陸させたアメリカの宇宙船。アームストロング船長とオルドリンが月面を歩いた。	solar	0.23	-0.75	アポロ11号	1
solhubble	ハッブル宇宙望遠鏡	宇宙望遠鏡	はっぶるうちゅうぼうえんきょう	🔭	1990年に打ち上げられ、地球のまわりをまわりながら宇宙を観測する望遠鏡。大気のじゃまがないので、とても鮮明な宇宙の写真をとる。	solar	0.19	-0.6	ハッブル宇宙望遠鏡	
soljwst	ジェイムズ・ウェッブ宇宙望遠鏡	宇宙望遠鏡	じぇいむずうぇっぶうちゅうぼうえんきょう	🔭	2021年に打ち上げられた、ハッブルの後継の巨大な宇宙望遠鏡。赤外線で観測し、宇宙で最初にできた銀河や系外惑星の大気を調べている。	solar	0.27	-0.7	ジェイムズ・ウェッブ宇宙望遠鏡	
soliss	国際宇宙ステーション	宇宙ステーション	こくさいうちゅうすてーしょん	🛰️	地上約400kmを約90分で地球を1周する、15か国が協力して作った宇宙の実験室。日本の実験棟きぼうもある。夜空を動く光として見える。	solar	0.20	-0.35	国際宇宙ステーション	1
solkibo	きぼう	宇宙ステーション(日本)	きぼう	🧪	国際宇宙ステーションにある日本の実験棟。ステーションでいちばん大きなモジュールで、無重力を使った実験や小型衛星の放出をしている。	solar	0.18	-0.4	きぼう	
solh3	H3ロケット	ロケット(日本)	えいちすりーろけっと	🚀	JAXAと三菱重工が開発した日本の新しい大型ロケット。2024年に打ち上げに成功。H-IIAより安く、多くの衛星を運ぶことをめざす。	solar	0.25	0.55	H3ロケット	
solh2a	H-IIAロケット	ロケット(日本)	えいちつーえーろけっと	🚀	2001年から2025年まで日本の衛星や探査機を打ち上げた主力ロケット。はやぶさ2やかぐやもこれで飛んだ。50回打ち上げて成功率98%。	solar	0.26	0.75	H-IIAロケット	
solrocket	ロケット	ことば	ろけっと	🚀	燃料を燃やしてガスを勢いよくふき出し、その反動で飛ぶ乗りもの。空気のない宇宙でも飛べる。人工衛星や探査機を宇宙へ運ぶ。	solar	0.23	0.4	ロケット	1
solshuttle	スペースシャトル	有人宇宙船(アメリカ)	すぺーすしゃとる	🚀	1981年から2011年までアメリカが使った、くり返し使える翼のある宇宙船。宇宙ステーションの建設やハッブルの修理をした。	solar	0.22	0.9	スペースシャトル	
solsputnik	スプートニク1号	人工衛星(ソ連)	すぷーとにくいちごう	🛰️	1957年にソ連が打ち上げた、世界ではじめての人工衛星。直径58cmの球で、ピッピッという電波を送った。宇宙時代のはじまり。	solar	0.21	-0.9	スプートニク1号	
solgalileoprobe	ガリレオ	探査機(アメリカ)	がりれお	🛰️	1989年に打ち上げられ、1995年から木星をまわって調べた探査機。エウロパの氷の下に海がありそうだと分かったのは この探査機のおかげ。	solar	0.47	-0.85	ガリレオ (探査機)	
solcassini	カッシーニ	探査機(アメリカ)	かっしーに	🛰️	1997年に打ち上げられ、2004年から13年間 土星をまわって調べた探査機。タイタンに小型機を降ろし、最後は土星の大気につっこんで終わった。	solar	0.59	0.6	カッシーニ (探査機)	
solnewhorizons	ニュー・ホライズンズ	探査機(アメリカ)	にゅーほらいずんず	🛰️	2015年に人類ではじめて冥王星のそばを通り、ハートもようをくっきり写した探査機。そのあとカイパーベルトの天体アロコスも調べた。	solar	0.86	0.5	ニュー・ホライズンズ	
solcuriosity	キュリオシティ	探査車(アメリカ)	きゅりおしてぃ	🤖	2012年に火星に着陸したNASAの探査車。車ほどの大きさで、岩を調べて 火星に昔 生命がすめる環境があったことを見つけた。	solar	0.28	0.8	キュリオシティ (探査車)	
solperseverance	パーサヴィアランス	探査車(アメリカ)	ぱーさびあらんす	🤖	2021年に火星に着陸したNASAの探査車。生命の跡をさがして岩を集めている。小型ヘリコプターを飛ばし、火星の空気から酸素も作った。	solar	0.30	-0.8	パーサヴィアランス	
solhimawari	ひまわり	気象衛星(日本)	ひまわり	🛰️	日本の気象衛星。赤道の上空約3万6000kmで地球の自転と同じ速さでまわり、いつも同じ場所から雲の動きを写す。天気予報に欠かせない。	solar	0.18	0.15	ひまわり (気象衛星)	
cossatellite	人工衛星	ことば	じんこうえいせい	🛰️	人間が作って地球のまわりをまわらせている機械。天気予報、テレビの放送、GPS、地図づくりなどに使われている。1万個以上が飛んでいる。	solar	0.20	0.3	人工衛星	1
cosgps	GPS	ことば	じーぴーえす	📡	地球をまわる約30個の衛星からの電波を受けて、自分のいる場所を知るしくみ。スマホの地図やカーナビに使われる。日本にはみちびきもある。	solar	0.18	0.45	グローバル・ポジショニング・システム	
cosdebris	スペースデブリ	ことば	すぺーすでぶり	🗑️	役目を終えた衛星やロケットの破片など、地球のまわりをまわる宇宙のゴミ。秒速数kmでぶつかると危険で、片づける方法が研究されている。	solar	0.18	0.95	スペースデブリ	
cosastronaut	宇宙飛行士	ことば	うちゅうひこうし	👩‍🚀	宇宙船や宇宙ステーションに乗って、実験や作業をする人。日本人では毛利衛さんや若田光一さんが有名。きびしい訓練を受けて選ばれる。	solar	0.21	0.6	宇宙飛行士	1
coszerog	無重力	ことば	むじゅうりょく	🪶	宇宙ステーションの中で体がふわふわ浮く状態。重力がないのではなく、地球のまわりを落ちつづけているために感じないだけ。	solar	0.19	0.75	無重量状態	
cosvacuum	真空	ことば	しんくう	🫧	空気がまったくない状態。宇宙はほぼ真空なので、音が伝わらず、宇宙服なしでは息ができない。魔法びんの中も真空。	solar	0.16	0.7	真空	
cosspacesuit	宇宙服	ことば	うちゅうふく	👨‍🚀	真空や強い放射線、極端な温度から体を守る服。中に空気を入れ、酸素をおくり、体温を調節する。船外活動用は1着で小さな宇宙船のよう。	solar	0.17	0.9	宇宙服	
cosjaxa	JAXA	ことば	じゃくさ	🇯🇵	宇宙航空研究開発機構。日本の宇宙開発をになう組織で、はやぶさ2やH3ロケットを開発した。種子島宇宙センターや筑波宇宙センターがある。	solar	0.27	0.35	宇宙航空研究開発機構	1
cosnasa	NASA	ことば	なさ	🇺🇸	アメリカ航空宇宙局。アポロ計画で人類を月へ送り、ハッブル望遠鏡や火星探査車を運用するアメリカの宇宙開発の組織。	solar	0.27	0.15	アメリカ航空宇宙局	1
costanegashima	種子島宇宙センター	ことば	たねがしまうちゅうせんたー	🏝️	鹿児島県の種子島にあるJAXAのロケット打ち上げ場。世界一美しい発射場といわれる。日本の大型ロケットはほとんどここから飛び立つ。	solar	0.26	0.95	種子島宇宙センター	
cosheliocentric	地動説	ことば	ちどうせつ	☀️	地球が太陽のまわりをまわっているという考え。16世紀にコペルニクスがとなえ、ガリレオやケプラーが正しいことを示した。	solar	0.06	-0.5	地動説	
cosgeocentric	天動説	ことば	てんどうせつ	🌍	地球が宇宙の中心で、太陽や星が地球のまわりをまわっているという昔の考え。プトレマイオスがまとめ、1000年以上信じられた。	solar	0.10	-0.5	天動説	
coskepler	ケプラーの法則	ことば	けぷらーのほうそく	📐	ケプラーが見つけた惑星の動きの3つの法則。惑星はだ円をえがいて太陽をまわり、太陽に近いほど速く動く。高校の物理・地学で学ぶ。	solar	0.36	0.9	ケプラーの法則	
cosgravity	重力	ことば	じゅうりょく	🍎	質量をもつものどうしが引きあう力。地球が物を引きつけるので物は落ち、月は地球のまわりをまわる。月の重力は地球の6分の1。	solar	0.16	-0.4	重力	
cosnewtonlaw	万有引力	ことば	ばんゆういんりょく	🍎	すべての物体のあいだにはたらく引きあう力。ニュートンが りんごが落ちるのも月がまわるのも同じ力だと見ぬいた。	solar	0.28	0.5	万有引力	
cosfusion	核融合	ことば	かくゆうごう	⚛️	軽い原子核どうしがくっついて重い原子核になり、大きなエネルギーを出す反応。太陽は水素をヘリウムに変えることで光っている。	solar	0.05	-0.95	核融合反応	
cosgalileo	ガリレオ・ガリレイ	人物(イタリア)	がりれおがりれい	🔭	1609年から自作の望遠鏡で月のクレーターや木星の4つの衛星を見つけ、地動説が正しいと主張した科学者。近代科学の父とよばれる。	solar	0.42	-0.6	ガリレオ・ガリレイ	
coscopernicus	コペルニクス	人物(ポーランド)	こぺるにくす	☀️	16世紀に、地球が太陽のまわりをまわるという地動説をとなえた天文学者。ものの見方が大きく変わることをコペルニクス的転回という。	solar	0.02	-0.4	ニコラウス・コペルニクス	
coskeplerman	ケプラー	人物(ドイツ)	けぷらー	📐	惑星の動きの3つの法則を見つけた17世紀の天文学者。惑星の軌道は円ではなく だ円だと明らかにした。系外惑星をさがす望遠鏡に名前がついた。	solar	0.40	0.75	ヨハネス・ケプラー	
cosnewton	ニュートン	人物(イギリス)	にゅーとん	🍎	万有引力の法則と運動の法則を発見した17世紀の科学者。反射望遠鏡も発明した。力の単位ニュートンは彼の名前からとられた。	solar	0.33	-0.3	アイザック・ニュートン	
cosgagarin	ガガーリン	宇宙飛行士(ソ連)	ががーりん	👨‍🚀	1961年に人類ではじめて宇宙を飛んだソ連の宇宙飛行士。ボストーク1号で地球を1周した。地球は青かったという言葉で有名。	solar	0.15	-0.85	ユーリイ・ガガーリン	
cosarmstrong	アームストロング	宇宙飛行士(アメリカ)	あーむすとろんぐ	👨‍🚀	1969年、アポロ11号の船長として人類ではじめて月に降り立った。人間にとっては小さな一歩だが人類にとっては大きな飛躍だと語った。	solar	0.24	-0.95	ニール・アームストロング	
