# 偉人。key	名前	国・時代	よみ	Wikipediaの題名(肖像)	プロフィール	緯度	経度	名言	名言の解説	はじめのレベル(1)	生まれた所
ikkyu	一休	日本・室町時代	いっきゅう	一休宗純	とんちで知られる僧。決まりにとらわれない自由な生き方で、大人になっても人々に愛された。	35.01	135.77	門松は 冥土の旅の 一里塚 めでたくもあり めでたくもなし。	正月はめでたいが、一年ずつ死に近づく道しるべでもある、という歌。一休らしい、笑いと本音のまじった言葉。	1	京都
zeami	世阿弥	日本・室町時代	ぜあみ	世阿弥	能を芸術として完成させた役者・作者。「風姿花伝」に、芸の心がまえを書き残した。	34.68	135.83	初心、忘るべからず。	始めたころの新鮮な気持ちや、未熟だったころを忘れるな、という意味。今では習いごとや仕事でも使われる言葉。	1	大和(奈良県)
rikyu	千利休	日本・安土桃山時代	せんのりきゅう	千利休	わび茶を完成させた茶人。信長・秀吉に仕えたが、最後は秀吉に切腹を命じられた。	34.57	135.48	規矩作法 守り尽くして破るとも 離るるとても 本を忘るな。	まず決まりを守り、次にそれを破り、やがて離れて自分の型を作る。でも基本を忘れるな、という歌。「守破離」のもとになった。		堺(大阪府)
nobunaga	織田信長	日本・戦国時代	おだのぶなが	織田信長	桶狭間の戦いで今川義元を破り、天下統一を目前にした戦国大名。楽市楽座や鉄砲の活用など、新しいことを次々に取り入れた。	35.18	136.91	人間五十年、下天のうちをくらぶれば、夢幻のごとくなり。	人の一生は50年、天の世界にくらべれば夢のように短い、という「敦盛」の一節。信長が桶狭間の前に舞ったと伝えられる。	1	名古屋(愛知県)
hideyoshi	豊臣秀吉	日本・安土桃山時代	とよとみひでよし	豊臣秀吉	農民の子から天下人になった武将。信長のあとをつぎ、日本を統一した。大阪城を建てた。	35.17	136.87	露と落ち 露と消えにし 我が身かな 浪速のことも 夢のまた夢。	露のように生まれ、露のように消えていく自分。大阪での栄華も夢の中の夢だった、という辞世の句。	1	名古屋(愛知県)
ieyasu	徳川家康	日本・江戸時代	とくがわいえやす	徳川家康	関ヶ原の戦いに勝ち、江戸幕府を開いた。260年続く平和な時代のもとを作った。	34.96	137.16	人の一生は、重荷を負うて遠き道を行くがごとし。急ぐべからず。	人生は重い荷物を背負って長い道を歩くようなもの。あせらずに進め、という家康の遺訓とされる言葉。	1	岡崎(愛知県)
shingen	武田信玄	日本・戦国時代	たけだしんげん	武田信玄	「風林火山」の旗で知られる甲斐の戦国大名。上杉謙信と川中島で何度も戦った。	35.66	138.57	人は城、人は石垣、人は堀。	本当の守りは城や石垣ではなく、人の心だ、という意味。信玄は立派な城を作らず、家臣を大切にした。	1	甲府(山梨県)
kenshin	上杉謙信	日本・戦国時代	うえすぎけんしん	上杉謙信	「越後の龍」と呼ばれた戦国大名。敵の武田信玄が塩に困ったとき、塩を送ったという話で知られる。	37.15	138.24	四十九年、一睡の夢。一期の栄華、一杯の酒。	49年の人生はひと眠りの夢のようだった。一生の栄光も一杯の酒のようなもの、という辞世の句。		上越(新潟県)
masamune	伊達政宗	日本・安土桃山〜江戸時代	だてまさむね	伊達政宗	「独眼竜」と呼ばれた仙台藩の初代藩主。仙台の町を作り、ヨーロッパに使節を送った。	37.92	140.12	仁に過ぐれば弱くなる。義に過ぐれば固くなる。	やさしすぎると弱くなり、正しさにこだわりすぎると固くなる。何事もほどほどが大切、という遺訓。		米沢(山形県)
musashi	宮本武蔵	日本・江戸時代	みやもとむさし	宮本武蔵	二刀流の剣豪。巌流島で佐々木小次郎と戦った。剣の心を書いた「五輪書」を残した。	34.99	134.47	我、事において後悔せず。	自分のしたことを後悔しない。全力で決めて全力でやったなら、ふり返ってくよくよしない、という意味。	1	美作(岡山県)
basho	松尾芭蕉	日本・江戸時代	まつおばしょう	松尾芭蕉	俳句を芸術にまで高めた俳人。東北を旅して「おくのほそ道」を書いた。	34.77	136.13	古池や 蛙飛びこむ 水の音。	静かな古い池にカエルが飛びこむ、ポチャンという音。静けさの中の小さな音を切り取った、世界一有名な俳句。	1	伊賀(三重県)
buson	与謝蕪村	日本・江戸時代	よさぶそん	与謝蕪村	俳人であり画家でもあった。絵のように色あざやかな俳句を作った。	34.72	135.52	菜の花や 月は東に 日は西に。	一面の菜の花畑、東には月がのぼり、西には夕日がしずむ。まるで絵のような大きな景色をよんだ句。		毛馬(大阪府)
issa	小林一茶	日本・江戸時代	こばやしいっさ	小林一茶	小さな生き物や弱いものへのやさしさをよんだ俳人。生涯に2万句以上を作った。	36.8	138.21	やせ蛙 負けるな一茶 これにあり。	やせたカエルよ、負けるな、一茶がここで応援しているぞ。弱いものの味方をする一茶らしい句。	1	信濃町(長野県)
hokusai	葛飾北斎	日本・江戸時代	かつしかほくさい	葛飾北斎	「富嶽三十六景」の浮世絵師。90歳まで絵を描き続け、ゴッホなど海外の画家にも大きな影響をあたえた。	35.71	139.8	天が私にあと5年の命をあたえてくれたら、本物の絵描きになれるだろう。	90歳で亡くなる前の言葉と伝えられる。あれほどの名人でも、まだ上手になれると信じていた。	1	墨田(東京都)
sontoku	二宮尊徳	日本・江戸時代	にのみやそんとく	二宮尊徳	まきを背負って本を読む像で知られる。まずしい村を立て直す仕事を各地で行った。金次郎とも。	35.3	139.17	積小為大。	小さなことを積み重ねて、大きなことを成しとげる、という意味。毎日の小さな努力が大きな成果になる。	1	小田原(神奈川県)
shoin	吉田松陰	日本・幕末	よしだしょういん	吉田松陰	松下村塾で高杉晋作や伊藤博文を育てた教育者。黒船に乗りこもうとしてつかまり、29歳で処刑された。	34.41	131.4	身はたとひ 武蔵の野辺に 朽ちぬとも 留め置かまし 大和魂。	自分の体はここで朽ちても、日本を思う心は残しておきたい、という処刑の前の歌。弟子たちがその心を受けついだ。	1	萩(山口県)
ryoma	坂本龍馬	日本・幕末	さかもとりょうま	坂本龍馬	薩摩と長州を結びつけ、江戸幕府を終わらせるきっかけを作った。日本で初めての会社ともいわれる亀山社中を作った。	33.56	133.53	日本を、今一度せんたくいたし申候。	日本をもう一度洗濯するように、きれいに作り直したい、という姉への手紙の言葉。新しい国への大きな夢。	1	高知
saigo	西郷隆盛	日本・幕末〜明治	さいごうたかもり	西郷隆盛	明治維新の中心となった薩摩の武士。江戸城を無血開城させた。上野の像でも知られる。	31.6	130.56	敬天愛人。	天をうやまい、人を愛する。自分の損得ではなく、天の道理に従って人を大切にする、という西郷の生き方。	1	鹿児島
okubo	大久保利通	日本・幕末〜明治	おおくぼとしみち	大久保利通	西郷隆盛の幼なじみで、明治政府の中心となった政治家。新しい国の仕組みを作った。	31.6	130.56	為政清明。	政治を行う者は、清く明るくあれ、という意味。大久保が座右の銘とした言葉。		鹿児島
kaishu	勝海舟	日本・幕末〜明治	かつかいしゅう	勝海舟	咸臨丸でアメリカに渡り、西郷隆盛と話し合って江戸城を戦わずに明けわたした。坂本龍馬の先生。	35.7	139.8	行蔵は我に存す。毀誉は他人の主張。	自分がどう行動するかは自分で決める。ほめるもけなすも他人の勝手だ、という意味。人の評価に左右されない強さ。		本所(東京都)
shinsaku	高杉晋作	日本・幕末	たかすぎしんさく	高杉晋作	身分に関係なく入れる奇兵隊を作り、長州藩を動かした。27歳で亡くなった。	34.41	131.4	おもしろき こともなき世を おもしろく。	おもしろいことのない世の中を、自分の心しだいでおもしろく生きよう、という辞世の句。	1	萩(山口県)
fukuzawa	福沢諭吉	日本・幕末〜明治	ふくざわゆきち	福澤諭吉	「学問のすゝめ」を書き、慶應義塾を作った教育者。人はみな平等で、学ぶことで差が生まれると説いた。	34.69	135.51	天は人の上に人を造らず、人の下に人を造らずと云えり。	人は生まれながらに平等だ、という「学問のすゝめ」の書き出し。そのあと「差がつくのは学ぶかどうかだ」と続く。	1	大阪
nitobe	新渡戸稲造	日本・明治〜昭和	にとべいなぞう	新渡戸稲造	「武士道」を英語で書いて日本の心を世界に伝えた教育者。国際連盟の事務次長も務めた。	39.7	141.15	願わくは、われ太平洋の橋とならん。	日本と世界(アメリカ)を結ぶ橋になりたい、という若いころの言葉。その通り、国際人として生きた。		盛岡(岩手県)
noguchi	野口英世	日本・明治〜昭和	のぐちひでよ	野口英世	やけどで左手が不自由になりながらも医者になり、アメリカで細菌の研究をした。黄熱病の研究中にアフリカで亡くなった。	37.55	140.1	志を得ざれば、再びこの地を踏まず。	目標をなしとげるまでは、ふるさとには帰らない、という決意。故郷を出るとき、家の柱に刻んだ言葉。	1	猪苗代(福島県)
kitasato	北里柴三郎	日本・明治〜昭和	きたさとしばさぶろう	北里柴三郎	破傷風の治療法を見つけ、ペスト菌を発見した細菌学者。「日本の細菌学の父」。	33.12	131.07	人に熱と誠があれば、何事も達成する。	熱意と誠実さがあれば、どんなことでもなしとげられる、という意味。		小国(熊本県)
tsuda	津田梅子	日本・明治〜大正	つだうめこ	津田梅子	6歳でアメリカに留学し、帰国後に女性のための学校(今の津田塾大学)を作った。	35.68	139.77	環境より学ぶ意志があればいい。	めぐまれた環境がなくても、学びたいという気持ちがあれば学べる、という意味。		東京
shibusawa	渋沢栄一	日本・明治〜昭和	しぶさわえいいち	渋沢栄一	500以上の会社を作った「日本の資本主義の父」。お金もうけと道徳は両立すると説いた。	36.2	139.28	論語と算盤。	道徳(論語)と商売(算盤)は両立できる。正しいことをしながら利益を出すのが本当の商売だ、という考え。		深谷(埼玉県)
soseki	夏目漱石	日本・明治〜大正	なつめそうせき	夏目漱石	「吾輩は猫である」「坊っちゃん」「こころ」を書いた作家。千円札の顔にもなった。	35.7	139.72	吾輩は猫である。名前はまだ無い。	猫の目から人間の世界を見た小説の書き出し。日本でいちばん有名な小説の書き出しの一つ。	1	新宿(東京都)
ogai	森鴎外	日本・明治〜大正	もりおうがい	森鴎外	「舞姫」「高瀬舟」を書いた作家で、軍医としても働いた。夏目漱石とならぶ明治の文豪。	34.47	131.77	日の光を借りて照る大いなる月たらんよりは、自ら光を放つ小さき灯火たれ。	人の力で大きく見えるより、小さくても自分の力で光る人になれ、という意味。		津和野(島根県)
ichiyo	樋口一葉	日本・明治	ひぐちいちよう	樋口一葉	「たけくらべ」「にごりえ」を書いた作家。貧しさの中で書き続け、24歳で亡くなった。五千円札の顔。	35.68	139.75	恋とは、尊く、あさましく、無残なものなり。	恋は美しいけれど、ときにみっともなく、つらいものだ、という日記の言葉。短い生涯で人の心を深く見つめた。		東京
kenji	宮沢賢治	日本・大正〜昭和	みやざわけんじ	宮沢賢治	「銀河鉄道の夜」「注文の多い料理店」を書いた童話作家。農業の先生として、農民のために働いた。	39.39	141.12	雨ニモマケズ 風ニモマケズ。	雨にも風にも負けず、人のために生きたい、という詩の書き出し。手帳に書かれていて、亡くなったあとに見つかった。	1	花巻(岩手県)
dazai	太宰治	日本・昭和	だざいおさむ	太宰治	「走れメロス」「人間失格」を書いた作家。弱さや悩みを正直に書いた作品は、今も若い人に読まれている。	40.9	140.45	生まれて、すみません。	生きていることを申し訳なく思うほどの弱さを表した言葉。太宰の作品に流れる気持ちを表している。		五所川原(青森県)
akutagawa	芥川龍之介	日本・大正〜昭和	あくたがわりゅうのすけ	芥川龍之介	「羅生門」「蜘蛛の糸」「杜子春」を書いた作家。芥川賞に名前が残る。	35.68	139.78	人生は一箱のマッチに似ている。重大に扱うのはばかばかしい。重大に扱わなければ危険である。	人生は大げさに考えすぎてもだめ、軽く見すぎても危ない、というするどい言葉。		京橋(東京都)
takuboku	石川啄木	日本・明治	いしかわたくぼく	石川啄木	短歌集「一握の砂」で知られる歌人。貧しい暮らしの中で歌を作り、26歳で亡くなった。	39.83	141.2	はたらけど はたらけど猶 わが生活 楽にならざり ぢっと手を見る。	働いても働いても暮らしが楽にならない。じっと自分の手を見つめる、という歌。今も多くの人の心に響く。		日戸(岩手県)
shiki	正岡子規	日本・明治	まさおかしき	正岡子規	俳句と短歌を新しくした人。病気で寝たきりになりながらも作り続けた。野球を愛し、ベースボールを「野球」と訳したのは別人だが、野球殿堂入りしている。	33.84	132.77	柿くへば 鐘が鳴るなり 法隆寺。	柿を食べていると法隆寺の鐘が鳴った、という秋の句。子規の句の中でいちばん有名。	1	松山(愛媛県)
akiko	与謝野晶子	日本・明治〜昭和	よさのあきこ	与謝野晶子	歌集「みだれ髪」で知られる歌人。女性の自由な気持ちを歌い、11人の子どもを育てた。	34.57	135.48	君死にたまふことなかれ。	戦争に行った弟に「死なないで」と呼びかけた詩。戦争をたたえる時代に、正直な気持ちを歌った勇気ある詩。		堺(大阪府)
kawabata	川端康成	日本・大正〜昭和	かわばたやすなり	川端康成	「雪国」「伊豆の踊子」を書き、日本人で初めてノーベル文学賞を受けた作家。	34.69	135.5	国境の長いトンネルを抜けると、雪国であった。	「雪国」の書き出し。トンネルを出たとたんに一面の雪景色、という場面を短い文で見せた。		大阪
matsushita	松下幸之助	日本・明治〜平成	まつしたこうのすけ	松下幸之助	パナソニックを作った「経営の神様」。9歳で働きに出て、二股ソケットの発明から会社を大きくした。	34.2	135.25	失敗したところでやめてしまうから失敗になる。成功するところまで続ければ、それは成功になる。	失敗はやめたときに決まる。成功するまで続ければ、失敗はすべて途中経過になる、という意味。	1	和佐(和歌山県)
honda	本田宗一郎	日本・明治〜平成	ほんだそういちろう	本田宗一郎	ホンダを作った技術者。自転車にエンジンを付けるところから始めて、世界一のバイクメーカーにした。	34.86	137.82	チャレンジして失敗をおそれるよりも、何もしないことをおそれろ。	失敗するより、何もしないでいることのほうがこわい、という意味。挑戦し続けた本田らしい言葉。	1	天竜(静岡県)
toyoda	豊田佐吉	日本・明治〜昭和	とよださきち	豊田佐吉	自動織機を発明した発明家。トヨタグループのもとを作った。	34.72	137.53	障子を開けてみよ、外は広いぞ。	家の中(日本)だけ見ていないで、外の世界(海外)に目を向けよ、という意味。息子に会社を世界に広げるよううながした。		湖西(静岡県)
tezuka	手塚治虫	日本・昭和	てづかおさむ	手塚治虫	「鉄腕アトム」「火の鳥」「ブラック・ジャック」を描いた「マンガの神様」。日本のテレビアニメも始めた。	34.78	135.47	人を信じよ。しかし、その百倍も自らを信じよ。	人を信じることは大事だが、それ以上に自分を信じて進め、という意味。	1	豊中(大阪府)
kurosawa	黒澤明	日本・昭和〜平成	くろさわあきら	黒澤明	「七人の侍」「羅生門」を作った映画監督。「世界のクロサワ」と呼ばれ、海外の監督に大きな影響をあたえた。	35.72	139.61	悪魔のように細心に、天使のように大胆に。	細かいところまでていねいに準備し、本番は思い切ってやれ、という映画作りの心がまえ。		品川(東京都)
yukawa	湯川秀樹	日本・昭和	ゆかわひでき	湯川秀樹	中間子の理論で、日本人で初めてノーベル賞(物理学賞)を受けた。世界の平和のためにも活動した。	35.68	139.75	一日生きることは、一歩進むことでありたい。	毎日を、少しでも前に進む一日にしたい、という意味。研究を続けた湯川の生き方。		東京
uemura	植村直己	日本・昭和	うえむらなおみ	植村直己	五大陸の最高峰に世界で初めて登った冒険家。犬ぞりで北極点にも到達した。マッキンリーで消息を絶った。	35.54	134.82	冒険とは、生きて帰ること。	どんなにすごい挑戦でも、生きて帰ってこそ冒険だ、という言葉。無理をしない勇気の大切さ。		豊岡(兵庫県)
kano	嘉納治五郎	日本・明治〜昭和	かのうじごろう	嘉納治五郎	柔道を作り、講道館を開いた。日本人で初めてのIOC委員として、オリンピックを日本に招こうとした。	34.69	135.19	精力善用、自他共栄。	力を良いことに使い、自分も相手もともに栄える。柔道の目的を表す言葉で、勝つことだけが目的ではない。	1	神戸(兵庫県)
okamoto	岡本太郎	日本・昭和	おかもとたろう	岡本太郎	大阪万博の「太陽の塔」を作った芸術家。力強い絵と彫刻、そして言葉で人々をはげました。	35.53	139.7	芸術は、爆発だ。	芸術は上手さではなく、心の中のエネルギーをそのままぶつけることだ、という意味。テレビでも有名になった言葉。	1	川崎(神奈川県)
sugihara	杉原千畝	日本・昭和	すぎはらちうね	杉原千畝	第二次世界大戦中、外交官としてユダヤ人に日本通過のビザを書き続け、6000人の命を救った。	35.48	137.14	私は人道上、当然のことをしただけです。	命を救ったことを、特別なことではなく人として当たり前のことだと言った。国の命令にそむいてでも人を助けた。	1	八百津(岐阜県)
niijima	新島襄	日本・幕末〜明治	にいじまじょう	新島襄	国の禁を破ってアメリカに渡り、帰国後に同志社を作った教育者。	35.68	139.75	良心の全身に充満したる丈夫。	良心が体じゅうに満ちた人を育てたい、という同志社の教育の目標。頭の良さより良心を大切にした。		東京
uchimura	内村鑑三	日本・明治〜昭和	うちむらかんぞう	内村鑑三	キリスト教の思想家。「後世への最大遺物」で、だれでも後の世に残せるものがあると説いた。	35.68	139.75	勇ましい高尚なる生涯。	お金や作品を残せなくても、正しく生きた人生そのものが、後の世へのいちばんの贈り物だ、という意味。		東京
itagaki	板垣退助	日本・幕末〜明治	いたがきたいすけ	板垣退助	自由民権運動を進め、国会を開くよう求めた政治家。百円札の顔にもなった。	33.56	133.53	板垣死すとも、自由は死せず。	おそわれて刺されたときに言ったと伝えられる言葉。自分が死んでも自由を求める運動は止まらない、という意味。	1	高知
ito	伊藤博文	日本・幕末〜明治	いとうひろぶみ	伊藤博文	日本で初めての内閣総理大臣。大日本帝国憲法を作った。	33.96	131.94	大いに屈する人をおそれよ。	大きく身をかがめる人は、それだけ大きく跳ぶ力を持っている。今おとなしくしている人をあなどるな、という意味。		光(山口県)
okuma	大隈重信	日本・幕末〜大正	おおくましげのぶ	大隈重信	早稲田大学を作り、2度も総理大臣になった政治家。	33.26	130.3	学問は脳、事業は腕、身を立てるは足。	学ぶのは頭、仕事をするのは腕、人生を歩むのは足。どれも大切だという意味。		佐賀
iwasaki	岩崎弥太郎	日本・幕末〜明治	いわさきやたろう	岩崎弥太郎	三菱を作った実業家。土佐の下級武士から、海運で日本一の会社を作った。	33.5	133.9	小事にあくせくする者は、大事ならず。	小さなことばかり気にしている人は、大きなことはできない、という意味。		安芸(高知県)
tanaka	田中正造	日本・明治	たなかしょうぞう	田中正造	足尾銅山の鉱毒で苦しむ人々のために、一生をかけて戦った政治家。明治天皇に直訴した。	36.31	139.58	真の文明は、山を荒らさず、川を荒らさず、村を破らず、人を殺さざるべし。	本当の文明とは自然や人を傷つけないものだ、という意味。100年以上前に環境問題を訴えた言葉。		佐野(栃木県)
makino	牧野富太郎	日本・明治〜昭和	まきのとみたろう	牧野富太郎	小学校を中退しながら独学で植物を研究し、1500種以上に名前を付けた「日本の植物学の父」。	33.5	133.29	雑草という草はない。	どんな草にも名前があり、それぞれの生き方がある、という意味。ひとくくりにせず、一つ一つを見つめる大切さ。	1	佐川(高知県)
ogata	緒方洪庵	日本・江戸時代	おがたこうあん	緒方洪庵	大阪で適塾を開き、福沢諭吉など多くの人を育てた医者。天然痘の予防にも力をつくした。	34.66	133.92	医の世に生活するは、人のためのみ。	医者が生きているのは人のためだけであり、自分のためではない、という医者の心がまえ。		岡山
shirasu	白洲次郎	日本・昭和	しらすじろう	白洲次郎	戦後、占領軍と対等に交渉した人物。かっこよさと筋を通す生き方で、今も人気がある。	34.73	135.3	プリンシプルを持て。	ゆずれない自分の原則を持って生きろ、という意味。相手がだれでも、正しいと思うことを曲げなかった。		芦屋(兵庫県)
kotaro	高村光太郎	日本・明治〜昭和	たかむらこうたろう	高村光太郎	詩集「道程」「智恵子抄」で知られる詩人・彫刻家。	35.71	139.78	僕の前に道はない。僕の後ろに道は出来る。	だれも歩いたことのない道を自分で切り開いていく、という詩「道程」の言葉。	1	東京
chuya	中原中也	日本・昭和	なかはらちゅうや	中原中也	「汚れつちまつた悲しみに」などの詩で知られる詩人。30歳で亡くなった。	34.18	131.47	汚れつちまつた悲しみに、今日も小雪の降りかかる。	よごれてしまった心の悲しみに、今日も雪がふる、という詩。音のリズムが美しく、多くの人が暗記している。		山口
misuzu	金子みすゞ	日本・大正〜昭和	かねこみすず	金子みすゞ	「わたしと小鳥とすずと」「大漁」などの詩を書いた童謡詩人。亡くなって50年後に見つかり、広く読まれるようになった。	34.38	131.2	みんなちがって、みんないい。	鳥も鈴も自分も、それぞれできることがちがって、どれもいい、という詩の最後の言葉。今も教科書で読まれている。	1	長門(山口県)
mizuki	水木しげる	日本・昭和〜平成	みずきしげる	水木しげる	「ゲゲゲの鬼太郎」を描いた漫画家。戦争で左腕を失ったが、右手で妖怪の世界を描き続けた。	35.54	133.23	なまけ者になりなさい。	がんばりすぎず、好きなことをして生きなさい、という意味。「幸福の七か条」の一つ。93歳まで元気に描き続けた。	1	境港(鳥取県)
futabayama	双葉山	日本・昭和	ふたばやま	双葉山定次	69連勝という大相撲の記録を作った横綱。今も破られていない。	33.53	131.35	われ、いまだ木鶏たりえず。	連勝が止まった日に送った電報。木の鶏のように、何が起きても動じない境地にまだ達していない、という意味。		宇佐(大分県)
maejima	前島密	日本・幕末〜大正	まえじまひそか	前島密	日本の郵便制度を作った「郵便の父」。「郵便」「切手」「はがき」という言葉も考えた。	37.15	138.24	縁の下の力持ちになることをいとうな。	目立たないところで人を支える役目をいやがるな、という意味。		上越(新潟県)
hijikata	土方歳三	日本・幕末	ひじかたとしぞう	土方歳三	新選組の副長。「鬼の副長」と呼ばれ、最後まで幕府のために戦って函館で亡くなった。	35.67	139.4	たとえ身は 蝦夷の島根に 朽ちぬとも 魂は東の 君やまもらん。	自分の体は北海道で朽ちても、魂は東(江戸)の主君を守る、という辞世の句。	1	日野(東京都)
yozan	上杉鷹山	日本・江戸時代	うえすぎようざん	上杉治憲	借金だらけの米沢藩を、自ら質素な暮らしをして立て直した名君。	32.13	131.51	なせば成る なさねば成らぬ何事も 成らぬは人の なさぬなりけり。	やればできる、やらなければできない。できないのはやらないからだ、という歌。	1	高鍋(宮崎県)
shozan	佐久間象山	日本・幕末	さくましょうざん	佐久間象山	西洋の学問を学び、吉田松陰や勝海舟に教えた思想家。	36.55	138.19	東洋の道徳、西洋の芸術。	東洋の心を大切にしながら、西洋の科学技術を学べ、という意味。明治の日本の進み方を先に示した言葉。		松代(長野県)
isoroku	山本五十六	日本・昭和	やまもといそろく	山本五十六	太平洋戦争のときの海軍の司令長官。戦争には反対だったが、始まると全力で指揮した。	37.45	138.85	やってみせ、言って聞かせて、させてみせ、ほめてやらねば、人は動かじ。	人を育てるには、まず手本を見せ、説明し、やらせてみて、ほめること。今も教育や仕事でよく引用される。	1	長岡(新潟県)
togo	東郷平八郎	日本・明治〜昭和	とうごうへいはちろう	東郷平八郎	日露戦争の日本海海戦でロシアの艦隊を破った海軍の司令官。	31.6	130.56	皇国の興廃、この一戦にあり。	国の運命はこの戦いにかかっている、という開戦の合図。日本海海戦で旗であげた信号の言葉。		鹿児島
raicho	平塚らいてう	日本・明治〜昭和	ひらつからいちょう	平塚らいてう	女性の地位を高めるために雑誌「青鞜」を作り、女性の権利のために活動した。	35.68	139.75	元始、女性は実に太陽であった。	もともと女性は自分の力で輝く太陽だった、という「青鞜」の創刊の言葉。女性が自分らしく生きることを訴えた。		東京
ibuka	井深大	日本・大正〜平成	いぶかまさる	井深大	盛田昭夫とソニーを作った技術者。トランジスタラジオやウォークマンなど、世界初の製品を生んだ。	36.75	139.6	自由闊達にして愉快なる理想工場。	自由でのびのびとして、楽しく働ける理想の工場を作りたい、というソニーの設立の言葉。		日光(栃木県)
komachi	小野小町	日本・平安時代	おののこまち	小野小町	絶世の美女と伝えられる歌人。六歌仙の一人で、百人一首にも歌がある。	39.16	140.5	花の色は うつりにけりな いたづらに わが身世にふる ながめせしまに。	花の色があせてしまった。私も長雨をながめているうちに年を取ってしまった、という歌。		湯沢(秋田県)
michizane	菅原道真	日本・平安時代	すがわらのみちざね	菅原道真	学問にすぐれた政治家。九州の大宰府に流され、そこで亡くなった。今は「学問の神様」として天満宮にまつられている。	35.01	135.77	東風吹かば 匂ひおこせよ 梅の花 あるじなしとて 春な忘れそ。	春の風がふいたら、私がいなくても梅の花よ、香りを届けておくれ、という歌。京都を去るときによんだ。	1	京都
michinaga	藤原道長	日本・平安時代	ふじわらのみちなが	藤原道長	娘を天皇のきさきにして、藤原氏の全盛期を築いた貴族。	35.01	135.77	この世をば わが世とぞ思ふ 望月の 欠けたることも なしと思へば。	この世は自分のためにあるようだ。満月に欠けたところがないように、という歌。権力の頂点にいた気持ちを表した。		京都
