# 世界の会社。key	会社名	本社	よみ	絵文字	解説	緯度	経度	公式サイト	ティッカー	Wikipedia題名	はじめのレベル(1か空)
cwuber	ウーバー	アメリカ・カリフォルニア州サンフランシスコ	うーばー	🚕	スマホのアプリで車を呼べるしくみの会社。料理を届けるウーバーイーツも運営している。	37.77	-122.39	https://www.uber.com/jp/ja/	UBER	Uber	
cwroblox	ロブロックス	アメリカ・カリフォルニア州サンマテオ	ろぶろっくす	🎮	みんなが作ったゲームで遊べる場を運営する会社。自分でゲームを作って公開することもできる。	37.56	-122.28	https://corp.roblox.com/	RBLX	Roblox	1
cwford	フォード・モーター	アメリカ・ミシガン州ディアボーン	ふぉーどもーたー	🚙	ヘンリー・フォードが1903年に始めた自動車会社。流れ作業で車を安くつくり、世界に広めた。	42.32	-83.21	https://corporate.ford.com/	F	フォード・モーター	
cwlilly	イーライリリー	アメリカ・インディアナ州インディアナポリス	いーらいりりー	💊	病気を治す薬をつくる会社。糖尿病の薬インスリンを、世界ではじめて大量につくった。	39.76	-86.16	https://www.lilly.com/jp/	LLY	イーライリリー・アンド・カンパニー	
cwtsmc	TSMC	台湾・新竹	てぃーえすえむしー	🔬	世界中の会社から注文を受けて半導体をつくる会社。熊本県にも工場をつくった。	24.77	121.01	https://www.tsmc.com/japanese	TSM	台湾積体電路製造	
cwfoxconn	鴻海精密工業	台湾・新北	ほんはいせいみつこうぎょう	🏭	iPhoneなどの電子機器を組み立てる世界最大の会社。フォックスコンとも呼ばれ、シャープの親会社。	25.06	121.37	https://www.honhai.com/	2317.TW	鴻海精密工業	
cwmediatek	メディアテック	台湾・新竹	めでぃあてっく	📶	スマホやテレビの頭脳になる半導体を設計する会社。自分の工場は持たず、設計を専門にしている。	24.78	121.02	https://www.mediatek.com/	2454.TW	メディアテック	
cwsamsung	サムスン電子	韓国・水原	さむすんでんし	📱	スマホのGalaxyやテレビ、半導体メモリーをつくる韓国でいちばん大きな会社。	37.26	127.05	https://www.samsung.com/jp/	005930.KS	サムスン電子	1
cwskhynix	SKハイニックス	韓国・利川	えすけーはいにっくす	💾	コンピューターの記憶に使う半導体メモリーをつくる会社。AI向けのメモリーで強い。	37.28	127.44	https://www.skhynix.com/	000660.KS	SKハイニックス	
cwhyundai	ヒョンデ	韓国・ソウル	ひょんで	🚗	韓国でいちばん大きな自動車会社。現代自動車とも書く。日本では電気自動車を売っている。	37.46	127.04	https://www.hyundai.com/jp/	005380.KS	現代自動車	
cwkia	キア	韓国・ソウル	きあ	🚙	韓国の自動車会社。ヒョンデと同じグループで、世界中に車を売っている。漢字では起亜と書く。	37.46	127.04	https://worldwide.kia.com/	000270.KS	起亜	
cwlg	LG電子	韓国・ソウル	えるじーでんし	📺	テレビや冷蔵庫、洗濯機などをつくる韓国の電機会社。うすくて画面のきれいな有機ELテレビで知られる。	37.53	126.93	https://www.lg.com/jp/	066570.KS	LGエレクトロニクス	
cwtencent	テンセント	中国・深圳	てんせんと	💬	中国で多くの人が使うチャットアプリWeChatや、たくさんのゲームを運営する会社。	22.54	113.93	https://www.tencent.com/	TCEHY	テンセント	
cwalibaba	アリババ	中国・杭州	ありばば	🛍️	中国最大級の通販サイトを運営する会社。名前はアラビアンナイトのお話から取った。	30.28	120.03	https://www.alibabagroup.com/	BABA	アリババグループ	
cwbyd	BYD	中国・深圳	びーわいでぃー	🔋	電気自動車と電池をつくる中国の会社。はじめは携帯電話の電池をつくっていた。	22.69	114.36	https://www.byd.com/jp	002594.SZ	比亜迪	
cwxiaomi	シャオミ	中国・北京	しゃおみ	📱	スマホや家電、電気自動車までつくる中国の会社。名前の小米は、中国語で穀物のアワのこと。	40.03	116.30	https://www.mi.com/jp/	XIACF	Xiaomi	
cwcatl	CATL	中国・寧徳	しーえーてぃーえる	🔋	電気自動車に使う電池をつくる会社。車用の電池では世界でいちばん多くつくっている。	26.66	119.55	https://www.catl.com/	300750.SZ	寧徳時代新能源科技	
cwbaidu	バイドゥ	中国・北京	ばいどぅ	🔍	中国でいちばん使われている検索サイトの会社。漢字では百度と書く。自動運転やAIの研究もしている。	40.05	116.30	https://home.baidu.com/	BIDU	百度	
cwnetease	ネットイース	中国・杭州	ねっといーす	🎮	中国の大きなゲーム会社。スマホゲームや、メールのサービスを運営している。漢字では網易と書く。	30.19	120.19	https://www.neteasegames.com/	NTES	網易	
cwlenovo	レノボ	中国・北京	れのぼ	💻	パソコンを世界でいちばん多く売る会社。IBMのパソコン部門を買って大きくなった。	40.05	116.29	https://www.lenovo.com/jp/ja/	0992.HK	レノボ	
cwairbnb	エアビーアンドビー	アメリカ・カリフォルニア州サンフランシスコ	えあびーあんどびー	🏠	旅行で人の家や部屋に泊まれるしくみを運営する会社。はじめは自分たちの部屋にエアマットをしいて人を泊めた。	37.77	-122.41	https://www.airbnb.jp/	ABNB	Airbnb	
cwreliance	リライアンス・インダストリーズ	インド・ムンバイ	りらいあんすいんだすとりーず	⛽	石油化学から携帯電話、スーパーまで手がけるインド最大級の会社。	18.93	72.82	https://www.ril.com/	RELIANCE.NS	リライアンス・インダストリーズ	
cwtcs	タタ・コンサルタンシー・サービシズ	インド・ムンバイ	たたこんさるたんしーさーびしず	💻	世界中の会社のコンピューターのしくみをつくるインドの会社。タタ・グループの一員。	18.93	72.83	https://www.tcs.com/	TCS.NS	タタ・コンサルタンシー・サービシズ	
cwinfosys	インフォシス	インド・ベンガルール	いんふぉしす	💻	インドの大きなIT会社。1981年に7人の技術者が始めた。ベンガルールに広いキャンパスがある。	12.85	77.66	https://www.infosys.com/	INFY	インフォシス	
cwarm	アーム	イギリス・ケンブリッジ	あーむ	📱	スマホのほとんどに使われる半導体の設計図をつくる会社。ソフトバンクグループが大株主。	52.18	0.13	https://www.arm.com/	ARM	ARMホールディングス	
cwshell	シェル	イギリス・ロンドン	しぇる	🐚	石油や天然ガスの会社。貝のマークは、創業者の父が貝がらを売る商売をしていたことにちなむ。	51.50	-0.12	https://www.shell.com/	SHEL	シェル (企業)	
cwastrazeneca	アストラゼネカ	イギリス・ケンブリッジ	あすとらぜねか	💊	がんや心臓の病気などの薬をつくる会社。新型コロナウイルスのワクチンもつくった。	52.18	0.14	https://www.astrazeneca.co.jp/	AZN	アストラゼネカ	
cwunilever	ユニリーバ	イギリス・ロンドン	ゆにりーば	🧼	石けんのダヴやシャンプーのラックスなど、毎日使う日用品をたくさんつくる会社。	51.51	-0.11	https://www.unilever.co.jp/	UL	ユニリーバ	
cwrollsroyce	ロールス・ロイス	イギリス・ロンドン	ろーるすろいす	✈️	飛行機のジェットエンジンをつくる会社。高級車のロールス・ロイスは、いまは別の会社がつくっている。	51.53	-0.12	https://www.rolls-royce.com/	RR.L	ロールス・ロイス・ホールディングス	
cwbp	BP	イギリス・ロンドン	びーぴー	⛽	石油や天然ガスの会社。緑と黄色の花のようなマークのガソリンスタンドを持っている。	51.51	-0.14	https://www.bp.com/	BP	BP	
cwhsbc	HSBC	イギリス・ロンドン	えいちえすびーしー	🏦	世界の多くの国にお店を持つ銀行。もとは香港と上海の銀行として始まった。	51.50	-0.02	https://www.hsbc.com/	HSBC	HSBCホールディングス	
cwlvmh	LVMH	フランス・パリ	えるぶいえむえいち	👜	ルイ・ヴィトンやディオール、ティファニーなど、高級ブランドをたくさん持つ会社。	48.87	2.31	https://www.lvmh.com/	MC.PA	LVMH	
cwloreal	ロレアル	フランス・クリシー	ろれある	💄	世界最大の化粧品の会社。ランコムやメイベリンなど、多くのブランドを持つ。	48.90	2.30	https://www.loreal.com/ja-jp/japan/	OR.PA	ロレアル	
cwhermes	エルメス	フランス・パリ	えるめす	👜	高級なバッグやスカーフをつくる会社。1837年に馬の道具をつくる工房として始まった。	48.87	2.32	https://www.hermes.com/jp/ja/	RMS.PA	エルメス	
cwtotal	トタルエナジーズ	フランス・クルブヴォア	とたるえなじーず	⛽	石油やガス、太陽光や風力の電気をつくるフランスの会社。	48.89	2.24	https://totalenergies.com/	TTE	トタルエナジーズ	
cwmichelin	ミシュラン	フランス・クレルモンフェラン	みしゅらん	🛞	自動車のタイヤをつくる会社。レストランを星で評価するガイドブックでも有名。	45.78	3.08	https://www.michelin.co.jp/	ML.PA	ミシュラン	
cwdanone	ダノン	フランス・パリ	だのん	🥛	ヨーグルトや、ミネラルウォーターのエビアンをつくるフランスの食品会社。	48.88	2.30	https://www.danone.co.jp/	BN.PA	ダノン	
cwairbus	エアバス	フランス・トゥールーズ	えあばす	✈️	旅客機をつくるヨーロッパの会社。2階建ての大きな旅客機A380をつくった。	43.63	1.37	https://www.airbus.com/	AIR.PA	エアバス	
cwsap	SAP	ドイツ・ヴァルドルフ	えすえーぴー	💼	会社のお金や人、ものの管理に使うソフトをつくる、ヨーロッパ最大のソフトウェア会社。	49.29	8.64	https://www.sap.com/japan/	SAP	SAP (企業)	
cwsiemens	シーメンス	ドイツ・ミュンヘン	しーめんす	🏭	工場の機械や鉄道、医療機器をつくる会社。1847年に電信機の会社として始まった。	48.14	11.57	https://www.siemens.com/jp/ja.html	SIE.DE	シーメンス	
cwadidas	アディダス	ドイツ・ヘルツォーゲンアウラッハ	あでぃだす	⚽	スポーツ用品の会社。3本線のマークが目印。サッカーのワールドカップの公式ボールをつくっている。	49.57	10.89	https://www.adidas-group.com/	ADS.DE	アディダス	1
cwbmw	BMW	ドイツ・ミュンヘン	びーえむだぶりゅー	🚗	ドイツの自動車会社。はじめは飛行機のエンジンをつくっていた。MINIもこの会社のブランド。	48.18	11.56	https://www.bmw.co.jp/	BMW.DE	BMW	
cwmercedes	メルセデス・ベンツ	ドイツ・シュトゥットガルト	めるせですべんつ	🚘	高級車をつくるドイツの会社。1886年にカール・ベンツがガソリン自動車を発明した。	48.78	9.24	https://www.mercedes-benz.co.jp/	MBG.DE	メルセデス・ベンツ・グループ	
cwvolkswagen	フォルクスワーゲン	ドイツ・ヴォルフスブルク	ふぉるくすわーげん	🚙	ドイツの自動車会社。名前はドイツ語で国民の車という意味。アウディもこのグループ。	52.43	10.79	https://www.volkswagen.co.jp/	VOW3.DE	フォルクスワーゲン	
cwporsche	ポルシェ	ドイツ・シュトゥットガルト	ぽるしぇ	🏎️	スポーツカーをつくる会社。フェルディナント・ポルシェが始めた。911という車が有名。	48.83	9.15	https://www.porsche.com/japan/	P911.DE	ポルシェ	
cwbasf	BASF	ドイツ・ルートヴィヒスハーフェン	びーえーえすえふ	🧪	世界最大級の化学の会社。プラスチックや肥料、塗料の原料などをつくる。	49.49	8.43	https://www.basf.com/jp/ja	BAS.DE	BASF	
cwnestle	ネスレ	スイス・ヴヴェイ	ねすれ	☕	キットカットやネスカフェをつくる世界最大の食品会社。赤ちゃんのための栄養食から始まった。	46.46	6.85	https://www.nestle.co.jp/	NESN.SW	ネスレ	1
cwroche	ロシュ	スイス・バーゼル	ろしゅ	💊	がんの薬や、病気を調べる検査薬をつくる会社。日本の中外製薬もグループの一員。	47.56	7.60	https://www.roche.com/	RO.SW	ロッシュ	
cwnovartis	ノバルティス	スイス・バーゼル	のばるてぃす	💊	薬をつくるスイスの会社。1996年に2つの会社が合わさってできた。	47.57	7.58	https://www.novartis.com/jp-ja/	NVS	ノバルティス	
cwasml	ASML	オランダ・フェルトホーフェン	えーえすえむえる	🔬	半導体の細かい回路を光で焼きつける装置をつくる会社。最先端の装置をつくれるのは世界でここだけ。	51.41	5.42	https://www.asml.com/	ASML	ASML	
cwphilips	フィリップス	オランダ・アムステルダム	ふぃりっぷす	🪥	電動歯ブラシや医療機器をつくる会社。1891年に電球をつくる会社として始まった。	52.34	4.87	https://www.philips.co.jp/	PHG	フィリップス	
cwnovonordisk	ノボノルディスク	デンマーク・バウスヴェア	のぼのるでぃすく	💉	糖尿病の治療に使うインスリンや、肥満症の薬をつくるデンマークの会社。	55.76	12.45	https://www.novonordisk.co.jp/	NVO	ノボノルディスク	
cwmaersk	マースク	デンマーク・コペンハーゲン	まーすく	🚢	たくさんのコンテナを船で世界中に運ぶ会社。水色の船と白い星のマークが目印。	55.69	12.60	https://www.maersk.com/	MAERSK-B.CO	A.P. モラー・マースク	
cwvestas	ヴェスタス	デンマーク・オーフス	ゔぇすたす	🌬️	風で電気をつくる大きな風車をつくる会社。世界中に風力発電の風車を立てている。	56.12	10.20	https://www.vestas.com/	VWS.CO	ベスタス	
cwspotify	スポティファイ	スウェーデン・ストックホルム	すぽてぃふぁい	🎧	スマホで音楽やポッドキャストを聞ける配信サービスの会社。2006年にスウェーデンで生まれた。	59.34	18.06	https://www.spotify.com/jp/	SPOT	Spotify	
cwvolvo	ボルボ	スウェーデン・ヨーテボリ	ぼるぼ	🚚	トラックやバス、工事の機械をつくる会社。乗用車のボルボは、いまは別の会社がつくっている。	57.71	11.97	https://www.volvogroup.com/	VOLV-A.ST	ボルボ	
cwericsson	エリクソン	スウェーデン・ストックホルム	えりくそん	📡	携帯電話の電波を送る基地局の機械をつくる会社。1876年に電信機の修理の店から始まった。	59.40	17.95	https://www.ericsson.com/	ERIC	エリクソン	
cwnokia	ノキア	フィンランド・エスポー	のきあ	📡	通信の機械をつくる会社。むかしは携帯電話で世界一だった。はじまりは製紙工場。	60.17	24.83	https://www.nokia.com/ja-jp/	NOK	ノキア	
cwinditex	インディテックス	スペイン・アルテイショ	いんでぃてっくす	👗	服のお店ZARAを世界中に持つ会社。新しい服をとても早くお店に並べることで知られる。	43.30	-8.51	https://www.inditex.com/	ITX.MC	インディテックス	
cwsantander	サンタンデール	スペイン・ボアディージャデルモンテ	さんたんでーる	🏦	スペインの大きな銀行。ヨーロッパや南アメリカの多くの国にお店がある。	40.41	-3.87	https://www.santander.com/	SAN	サンタンデール銀行	
cwferrari	フェラーリ	イタリア・マラネッロ	ふぇらーり	🏎️	赤いスポーツカーをつくる会社。F1に1950年から出つづけている、いちばん歴史のあるチームを持つ。	44.53	10.86	https://www.ferrari.com/ja-JP	RACE	フェラーリ	
cwaramco	サウジアラムコ	サウジアラビア・ダーラン	さうじあらむこ	🛢️	サウジアラビアの国の石油会社。世界でいちばん多く石油をほり出している会社のひとつ。	26.32	50.13	https://www.aramco.com/	2222.SR	サウジアラムコ	
cwequinor	エクイノール	ノルウェー・スタヴァンゲル	えくいのーる	🛢️	北海で石油やガスをほり出すノルウェーの会社。海の上の風力発電も手がけている。	58.97	5.73	https://www.equinor.com/	EQNR	エクイノール	
cwteva	テバ・ファーマシューティカル	イスラエル・テルアビブ	てばふぁーましゅーてぃかる	💊	ジェネリック医薬品(後発薬)を世界でいちばん多くつくる会社のひとつ。	32.11	34.83	https://www.tevapharm.com/	TEVA	テバ・ファーマシューティカル・インダストリーズ	
cwshopify	ショッピファイ	カナダ・オタワ	しょっぴふぁい	🛍️	だれでもインターネットのお店を開けるしくみをつくる会社。はじめはスノーボードを売るお店だった。	45.42	-75.70	https://www.shopify.com/jp	SHOP	Shopify	
cwrbc	ロイヤル・バンク・オブ・カナダ	カナダ・トロント	ろいやるばんくおぶかなだ	🏦	カナダでいちばん大きな銀行。1864年にハリファックスで生まれた。	43.65	-79.38	https://www.rbc.com/	RY	カナダロイヤル銀行	
cwhershey	ハーシー	アメリカ・ペンシルベニア州ハーシー	はーしー	🍫	チョコレートのお菓子をつくる会社。本社のある町の名前もハーシーで、チョコレート工場の町として知られる。	40.29	-76.65	https://www.thehersheycompany.com/	HSY	ザ・ハーシー・カンパニー	
cwbhp	BHP	オーストラリア・メルボルン	びーえいちぴー	⛏️	鉄鉱石や銅をほり出す世界最大級の資源の会社。日本の製鉄会社にも鉄鉱石を送っている。	-37.82	144.96	https://www.bhp.com/	BHP	BHPグループ	
cwatlassian	アトラシアン	オーストラリア・シドニー	あとらしあん	💼	チームで仕事を進めるためのソフトJiraやTrelloをつくる会社。シドニーの大学の同級生2人が始めた。	-33.87	151.21	https://www.atlassian.com/ja	TEAM	アトラシアン	
cwpetrobras	ペトロブラス	ブラジル・リオデジャネイロ	ぺとろぶらす	🛢️	ブラジルの石油会社。海の深いところから石油をほり出す技術にすぐれている。	-22.91	-43.17	https://petrobras.com.br/	PBR	ペトロブラス	
cwvale	ヴァーレ	ブラジル・リオデジャネイロ	ゔぁーれ	⛏️	鉄鉱石をほり出す世界最大級の会社。日本にも船で鉄鉱石をたくさん運んでいる。	-22.94	-43.18	https://vale.com/	VALE	ヴァーレ	
cwmercadolibre	メルカドリブレ	ウルグアイ・モンテビデオ	めるかどりぶれ	🛒	中南米でいちばん大きな通販サイトを運営する会社。1999年にアルゼンチンで生まれた。	-34.90	-56.16	https://www.mercadolibre.com/	MELI	メルカド・リブレ	
cwmondelez	モンデリーズ	アメリカ・イリノイ州シカゴ	もんでりーず	🍪	クッキーのオレオやチョコレートのミルカ、トブラローネなどのお菓子をつくる会社。	41.89	-87.63	https://www.mondelezinternational.com/	MDLZ	モンデリーズ・インターナショナル	
cwdbs	DBS銀行	シンガポール・マリーナベイ	でぃーびーえすぎんこう	🏦	シンガポールでいちばん大きな銀行。東南アジアを中心に、たくさんのお店を持っている。	1.28	103.85	https://www.dbs.com/	D05.SI	DBS銀行	
cwnaspers	ナスパーズ	南アフリカ・ケープタウン	なすぱーず	📰	南アフリカのメディアとインターネットの会社。早くからテンセントに出資したことで知られる。	-33.92	18.42	https://www.naspers.com/	NPSNY	ナスパーズ	
cwvingroup	ビングループ	ベトナム・ハノイ	びんぐるーぷ	🏙️	ベトナム最大級の会社。電気自動車のVinFastや、マンション、遊園地などを手がける。	21.04	105.89	https://vingroup.net/	VIC.VN	ビングループ	
