# 日本史の出来事。key	出来事	年・場所	よみ	絵文字	解説	緯度	経度	地図の目印	はじめのレベル(1か空)
jvheijo	平城京遷都	日本・710年 奈良	へいじょうきょうせんと	🏛️	710年、元明天皇が唐の長安をまねた平城京に都を移した。ここから約80年が奈良時代。なんと立派な平城京の語呂合わせで有名。	34.69	135.79	平城宮跡歴史公園	1
jvnagayao	長屋王の変	日本・729年 奈良(平城京)	ながやおうのへん	📜	729年、左大臣の長屋王が謀反の疑いをかけられて自害に追いこまれた。藤原四兄弟のしわざとされ、藤原氏が政治の実権をにぎった。	34.68	135.80	長屋王邸跡	
jvdaibutsu	東大寺大仏の開眼	日本・752年 奈良	とうだいじだいぶつのかいげん	🏛️	聖武天皇が仏教の力で国を守ろうと743年に大仏造立を命じ、752年に開眼供養が行われた。行基が協力し、インドの僧が目を入れた。	34.69	135.84	東大寺大仏殿	1
jvheian	平安京遷都	日本・794年 京都	へいあんきょうせんと	🏛️	794年、桓武天皇が長岡京から平安京へ都を移した。以後約400年が平安時代で、鳴くようぐいす平安京の語呂合わせで覚える。	35.01	135.74	平安京大極殿跡	1
jvkusuko	薬子の変	日本・810年 奈良(平城京)	くすこのへん	📜	810年、平城上皇が藤原薬子らと平城京に都を戻そうとして嵯峨天皇と対立した。天皇側が勝ち、薬子は自害。蔵人所が置かれるきっかけになった。	34.69	135.79	平城宮跡	
jvjowa	承和の変	日本・842年 京都	じょうわのへん	📜	842年、伴健岑と橘逸勢が皇太子を立てようと謀反を企てたとして流罪になった事件。藤原良房が他氏を退けて力をのばす始まりとなった。	35.02	135.76	京都御所	
jvotenmon	応天門の変	日本・866年 京都	おうてんもんのへん	🔥	866年、平安宮の応天門が放火され、大納言伴善男が犯人とされて流された。藤原良房は臣下で初めて摂政となり、伴氏は没落した。	35.01	135.74	平安神宮 応天門	
jvmasakado	平将門の乱	日本・939年 茨城(坂東)	たいらのまさかどのらん	⚔️	939年、関東の武士平将門が国府を攻め、新皇と名乗って朝廷に反乱した。翌年平貞盛と藤原秀郷にたおされた。武士の力を示した初めての大乱。	36.08	139.94	国王神社 坂東市	
jvtoi	刀伊の入寇	日本・1019年 福岡(博多)	といのにゅうこう	🚢	1019年、女真族の海賊である刀伊が対馬や壱岐、博多をおそった。大宰権帥の藤原隆家が武士を率いて撃退し、武士の実力が注目された。	33.60	130.40	筥崎宮	
jvzenkunen	前九年合戦	日本・1051年 岩手(衣川)	ぜんくねんかっせん	⚔️	1051年から東北の豪族安倍氏が朝廷に反乱し、源頼義と義家が清原氏の助けで1062年に平定した。源氏が東国武士と結びつくきっかけになった。	39.01	141.11	衣川古戦場	
jvhogen	保元の乱	日本・1156年 京都	ほうげんのらん	⚔️	1156年、崇徳上皇と後白河天皇の争いに藤原氏や源氏平氏の一族が分かれて戦った。天皇側が勝ち、武士の力なしに政治ができない時代になった。	35.01	135.77	白河北殿跡	
jvheiji	平治の乱	日本・1159年 京都	へいじのらん	⚔️	1159年、藤原信頼と源義朝が兵をあげたが平清盛にやぶれた。義朝は殺され、子の頼朝は伊豆へ流された。平氏の全盛期が始まる。	35.01	135.77	六波羅蜜寺	
jvichinotani	一ノ谷の戦い	日本・1184年 兵庫(神戸)	いちのたにのたたかい	⚔️	1184年、源義経が鵯越の逆落としで崖から奇襲し、平氏を海へ追い落とした。平敦盛が熊谷直実に討たれた話は平家物語で有名。	34.63	135.10	一ノ谷古戦場	
jvdannoura	壇ノ浦の戦い	日本・1185年 山口(下関)	だんのうらのたたかい	⚓	1185年、関門海峡で源義経の水軍が平氏をほろぼした。幼い安徳天皇は祖母に抱かれて海に沈み、三種の神器の剣も失われた。	33.96	130.95	壇ノ浦古戦場 みもすそ川公園	1
jvshugo	守護・地頭の設置	日本・1185年 神奈川(鎌倉)	しゅごじとうのせっち	📜	1185年、源頼朝が義経をとらえる名目で全国に守護と地頭を置く許しを得た。武士が地方を支配するしくみができ、鎌倉幕府の始まりとされる。	35.32	139.55	鶴岡八幡宮	
jvkamakura	鎌倉幕府の成立	日本・1192年 神奈川(鎌倉)	かまくらばくふのせいりつ	🏯	1192年、源頼朝が征夷大将軍に任じられ、鎌倉に武士の政権が確立した。将軍と御家人は御恩と奉公の関係で結ばれた。	35.32	139.55	源頼朝の墓 法華堂跡	1
jvjokyu	承久の乱	日本・1221年 京都(宇治)	じょうきゅうのらん	⚔️	1221年、後鳥羽上皇が幕府をたおそうと兵をあげたが、北条政子の演説で団結した御家人に敗れた。上皇は隠岐へ流され、六波羅探題が置かれた。	34.89	135.81	宇治川 宇治橋	1
jvgoseibai	御成敗式目の制定	日本・1232年 神奈川(鎌倉)	ごせいばいしきもくのせいてい	📜	1232年、執権北条泰時が武士の慣習をもとに51か条の法律を定めた。最初の武家法で、その後の武家の法律の手本になった。	35.32	139.55	北条泰時の墓 常楽寺	1
jvhoji	宝治合戦	日本・1247年 神奈川(鎌倉)	ほうじかっせん	⚔️	1247年、執権北条時頼が有力御家人の三浦泰村一族をほろぼした戦い。ライバルがいなくなり、北条氏の独裁である得宗専制へ進んだ。	35.32	139.56	法華堂跡 三浦一族の墓	
jvgenko	元寇	日本・1274年 福岡(博多)	げんこう	⚔️	1274年の文永の役と1281年の弘安の役で、元のフビライが2度日本に攻めてきた。執権北条時宗のもと御家人が戦い、暴風雨もあって元は退いた。	33.60	130.35	元寇防塁 西新	1
jvshimotsuki	霜月騒動	日本・1285年 神奈川(鎌倉)	しもつきそうどう	⚔️	1285年、御家人の代表安達泰盛が北条氏の家来の平頼綱にほろぼされた事件。以後は得宗の家来である御内人が幕府を動かすようになった。	35.32	139.55	鎌倉 甘縄神明神社	
jveinin	永仁の徳政令	日本・1297年 神奈川(鎌倉)	えいにんのとくせいれい	📜	1297年、元寇の後に貧しくなった御家人を救うため、幕府が売った土地をただで取り戻せる命令を出した。かえって混乱を招き、幕府の力が弱まった。	35.32	139.55	鎌倉幕府跡 宇津宮辻子	
jvshochu	正中の変	日本・1324年 京都	しょうちゅうのへん	📜	1324年、後醍醐天皇の倒幕計画が幕府に漏れて失敗した事件。天皇は無関係とされたが、側近の日野資朝が佐渡へ流された。	35.02	135.76	京都御所	
jvgenkonohen	元弘の変	日本・1331年 京都(笠置)	げんこうのへん	⚔️	1331年、後醍醐天皇が笠置山にこもって再び倒幕をはかったが敗れ、隠岐へ流された。楠木正成が赤坂城で戦い続け、倒幕の火が広がった。	34.76	135.94	笠置山 笠置寺	
jvkamakurametsubo	鎌倉幕府の滅亡	日本・1333年 神奈川(鎌倉)	かまくらばくふのめつぼう	🔥	1333年、足利尊氏が六波羅探題を、新田義貞が鎌倉を攻め落とし、北条高時らが東勝寺で自害して鎌倉幕府はほろんだ。	35.32	139.56	東勝寺跡 腹切りやぐら	
jvkenmu	建武の新政	日本・1334年 京都	けんむのしんせい	📜	1333年に幕府をたおした後醍醐天皇が天皇中心の政治を始めた。武士を軽んじたため不満が高まり、二条河原の落書にも批判され、2年半で失敗した。	35.02	135.76	京都御所	1
jvminatogawa	湊川の戦い	日本・1336年 兵庫(神戸)	みなとがわのたたかい	⚔️	1336年、九州から攻め上った足利尊氏を楠木正成が湊川で迎え撃ち、敗れて自害した。尊氏は京都に入り、後醍醐天皇は吉野へのがれた。	34.68	135.17	湊川神社	
jvkanno	観応の擾乱	日本・1350年 京都	かんのうのじょうらん	⚔️	1350年から、足利尊氏と弟の直義、執事高師直が争った室町幕府の内乱。南朝も巻きこんで全国に広がり、守護の力が強まる原因になった。	35.02	135.76	等持院	
jvnanbokucho	南北朝の合一	日本・1392年 京都	なんぼくちょうのごういつ	🕊️	1392年、3代将軍足利義満が南朝の後亀山天皇を説得し、約60年続いた南朝と北朝の分裂を終わらせた。義満は日明貿易も始めた。	35.03	135.73	鹿苑寺 金閣	
jvshocho	正長の土一揆	日本・1428年 滋賀(大津)	しょうちょうのつちいっき	✊	1428年、近江坂本の馬借の蜂起をきっかけに、農民が借金の帳消しを求めて土倉や酒屋をおそった。日本で初めての大規模な土一揆。	34.83	135.84	柳生の徳政碑文	
jvkakitsu	嘉吉の乱	日本・1441年 京都	かきつのらん	⚔️	1441年、6代将軍足利義教が守護の赤松満祐に自分の屋敷で殺された事件。将軍の権威は大きく落ち、直後に嘉吉の土一揆も起きた。	35.01	135.76	赤松満祐邸跡 西洞院	
jvonin	応仁の乱	日本・1467年 京都	おうにんのらん	🔥	1467年、将軍の跡継ぎ争いに細川勝元と山名宗全の対立が結びつき、11年続いた大乱。京都は焼け野原になり、戦国時代が始まった。	35.03	135.75	応仁の乱勃発地 上御霊神社	1
jvyamashiro	山城の国一揆	日本・1485年 京都(南山城)	やましろのくにいっき	✊	1485年、南山城の国人と農民が争い続ける畠山氏の軍を追い出し、8年間自分たちで国を治めた。下剋上を象徴する出来事。	34.80	135.80	平等院 宇治	
jvkaga	加賀の一向一揆	日本・1488年 石川	かがのいっこういっき	✊	1488年、浄土真宗の信者たちが守護の富樫政親をたおし、約100年間加賀を治めた。百姓の持ちたる国と呼ばれた。	36.56	136.66	金沢城公園	
jvmeio	明応の政変	日本・1493年 京都	めいおうのせいへん	📜	1493年、管領細川政元が将軍足利義材を追放して義澄を立てたクーデター。将軍が家臣にすげかえられ、戦国時代の始まりともされる。	35.02	135.76	京都御所	
jvteppo	鉄砲伝来	日本・1543年 鹿児島(種子島)	てっぽうでんらい	💥	1543年、種子島に流れ着いた中国船のポルトガル人が鉄砲を伝えた。領主の種子島時堯が買い取って作らせ、戦い方と城のつくりを大きく変えた。	30.44	130.96	鉄砲館 種子島開発総合センター	1
jvkirisuto	キリスト教伝来	日本・1549年 鹿児島	きりすときょうでんらい	⛩️	1549年、イエズス会の宣教師フランシスコ・ザビエルが鹿児島に上陸してキリスト教を伝えた。大名の中にもキリシタン大名が生まれた。	31.59	130.56	ザビエル公園 鹿児島	1
jvkawanakajima	川中島の戦い	日本・1561年 長野	かわなかじまのたたかい	⚔️	1553年から5回、武田信玄と上杉謙信が信濃の川中島で戦った。1561年の戦いが最も激しく、一騎打ちの伝説が残る。	36.58	138.19	川中島古戦場史跡公園	
jvokehazama	桶狭間の戦い	日本・1560年 愛知	おけはざまのたたかい	⚔️	1560年、織田信長がわずかな兵で今川義元の大軍を奇襲してたおした。信長が天下統一へ動き出すきっかけとなった戦い。	35.06	136.98	桶狭間古戦場公園	1
jvnagashino	長篠の戦い	日本・1575年 愛知	ながしののたたかい	💥	1575年、織田信長と徳川家康の連合軍が大量の鉄砲と馬防柵で武田勝頼の騎馬隊を破った。鉄砲が主役になった戦いとして有名。	34.92	137.56	長篠設楽原古戦場	
jvhonnoji	本能寺の変	日本・1582年 京都	ほんのうじのへん	🔥	1582年6月2日、家臣の明智光秀が京都の本能寺に泊まる織田信長を裏切っておそい、信長は自害した。天下統一を目前にした死だった。	35.01	135.75	本能寺跡 京都	1
jvkatanagari	刀狩令	日本・1588年 京都(聚楽第)	かたながりれい	📜	1588年、豊臣秀吉が百姓から刀や鉄砲を取り上げた。一揆を防ぎ、武士と百姓の身分をはっきり分ける兵農分離が進んだ。	35.02	135.74	聚楽第跡	1
jvodawara	小田原攻め	日本・1590年 神奈川(小田原)	おだわらぜめ	🏯	1590年、豊臣秀吉が20万を超える大軍で北条氏の小田原城を囲んで降伏させ、天下統一を完成した。一夜城の伝説でも知られる。	35.25	139.15	小田原城	
jvbunroku	文禄・慶長の役	日本・1592年 佐賀(名護屋)	ぶんろくけいちょうのえき	🚢	1592年と1597年、豊臣秀吉が明の征服をめざして朝鮮に大軍を送った。佐賀の名護屋城が出撃の拠点。秀吉の死で撤退し、豊臣氏の力を弱めた。	33.53	129.87	名護屋城跡	
jvsekigahara	関ヶ原の戦い	日本・1600年 岐阜	せきがはらのたたかい	⚔️	1600年、徳川家康の東軍と石田三成の西軍が天下分け目の戦いをした。小早川秀秋の裏切りもあり半日で東軍が勝ち、家康が天下を取った。	35.37	136.47	関ヶ原古戦場	1
jvedobakufu	江戸幕府の成立	日本・1603年 東京	えどばくふのせいりつ	🏯	1603年、徳川家康が征夷大将軍となり江戸に幕府を開いた。以後約260年続く江戸時代の始まりで、大名は親藩譜代外様に分けられた。	35.69	139.75	皇居 江戸城跡	1
jvosakanojin	大坂の陣	日本・1615年 大阪	おおさかのじん	🔥	1614年の冬の陣と1615年の夏の陣で、徳川家康が大坂城の豊臣秀頼を攻めほろぼした。真田幸村が奮戦したが落城し、戦国の世が終わった。	34.69	135.53	大阪城	
jvbukeshohatto	武家諸法度の制定	日本・1615年 京都(伏見)	ぶけしょはっとのせいてい	📜	1615年、2代将軍徳川秀忠の名で大名を統制する法律が伏見城で出された。城の修理や結婚を制限し、3代家光のとき参勤交代が加えられた。	34.94	135.78	伏見桃山城	
jvshimabara	島原の乱	日本・1637年 長崎(島原)	しまばらのらん	✊	1637年、重い年貢とキリシタン弾圧に苦しむ島原と天草の農民が天草四郎を大将に立ちあがった。原城にこもり4か月戦ったが全滅した。	32.63	130.25	原城跡	1
jvsakoku	鎖国の完成	日本・1641年 長崎(出島)	さこくのかんせい	⚓	1639年にポルトガル船を禁じ、1641年にオランダ商館を長崎の出島へ移して鎖国が完成した。以後200年以上、貿易は長崎などに限られた。	32.74	129.87	出島 長崎	1
jvkeian	慶安の変	日本・1651年 東京(江戸)	けいあんのへん	📜	1651年、軍学者の由井正雪が浪人を集めて幕府転覆をはかったが発覚した事件。幕府は浪人を増やさぬよう末期養子の禁を緩め、文治政治へ向かった。	35.68	139.76	江戸城跡	
jvmeireki	明暦の大火	日本・1657年 東京(江戸)	めいれきのたいか	🔥	1657年、振袖火事とも呼ばれる大火事で江戸の大半が焼け、江戸城の天守も失われた。約10万人が亡くなり、その後の町づくりで広小路や火除地ができた。	35.71	139.79	回向院 両国	
jvako	赤穂事件	日本・1702年 東京(江戸)	あこうじけん	⚔️	1702年、主君浅野内匠頭のかたきを討つため大石内蔵助ら赤穂浪士47人が吉良邸に討ち入った。忠臣蔵として歌舞伎や映画になり今も人気。	35.69	139.80	吉良邸跡 本所松坂町公園	
jvkyoho	享保の改革	日本・1716年 東京(江戸)	きょうほうのかいかく	📜	1716年から8代将軍徳川吉宗が幕府の財政を立て直した改革。目安箱を置き、公事方御定書を作り、新田開発やさつまいもの栽培を進めた。	35.69	139.75	皇居 江戸城跡	
jvhoreki	宝暦事件	日本・1758年 京都	ほうれきじけん	📜	1758年、竹内式部が若い公家に天皇中心の考えを説いたとして京都を追放された事件。尊王論を幕府が初めて弾圧したもの。	35.02	135.76	京都御所	
jvtenmei	天明の打ちこわし	日本・1787年 東京(江戸)	てんめいのうちこわし	✊	1787年、天明の大ききんで米の値段が上がり、江戸や大坂で町人が米屋をおそった。田沼意次は失脚し、松平定信の寛政の改革が始まった。	35.69	139.77	日本橋	
jvkansei	寛政の改革	日本・1787年 東京(江戸)	かんせいのかいかく	📜	1787年から老中松平定信が行った改革。倹約と米の備蓄を命じ、朱子学以外の学問を禁じた。厳しすぎて白河の清きに魚もすみかねてと皮肉られた。	35.69	139.75	皇居 江戸城跡	
jvoshio	大塩平八郎の乱	日本・1837年 大阪	おおしおへいはちろうのらん	🔥	1837年、天保のききんで苦しむ人々を救うため、元役人で学者の大塩平八郎が大坂で兵をあげた。1日で鎮圧されたが、幕府に大きな衝撃を与えた。	34.69	135.51	大塩平八郎終焉の地 靱本町	1
jvbansha	蛮社の獄	日本・1839年 東京(江戸)	ばんしゃのごく	📜	1839年、外国船を追い払う幕府の方針を批判した蘭学者の渡辺崋山と高野長英が処罰された事件。開国を求める声への弾圧だった。	35.68	139.77	江戸城跡	
jvtenpo	天保の改革	日本・1841年 東京(江戸)	てんぽうのかいかく	📜	1841年から老中水野忠邦が行った改革。株仲間を解散させ、人返し令や上知令を出したが反発が強く、2年で失敗した。幕府の力の限界を示した。	35.69	139.75	皇居 江戸城跡	
jvperry	ペリー来航	日本・1853年 神奈川(浦賀)	ぺりーらいこう	🚢	1853年、アメリカのペリーが4隻の黒船で浦賀に来て開国を求めた。泰平の眠りをさます上喜撰の狂歌が残る。翌年再来し開国へ。	35.23	139.71	ペリー公園 久里浜	1
jvwashin	日米和親条約	日本・1854年 神奈川(下田)	にちべいわしんじょうやく	📜	1854年、再び来たペリーと幕府が結んだ条約。下田と函館を開き、200年以上続いた鎖国が終わった。下田の了仙寺で交渉が行われた。	34.68	138.94	了仙寺 下田	
jvshuko	日米修好通商条約	日本・1858年 東京(江戸)	にちべいしゅうこうつうしょうじょうやく	📜	1858年、大老井伊直弼が天皇の許しなくハリスと結んだ条約。関税自主権がなく領事裁判権を認めた不平等条約で、横浜など5港で貿易が始まった。	35.66	139.76	開港広場 横浜	
jvansei	安政の大獄	日本・1858年 東京(江戸)	あんせいのたいごく	📜	1858年から、大老井伊直弼が条約に反対する人々を厳しく処罰した。吉田松陰や橋本左内が処刑され、これへの反発が桜田門外の変を招いた。	35.72	139.79	小塚原刑場跡 回向院	
jvsakurada	桜田門外の変	日本・1860年 東京	さくらだもんがいのへん	⚔️	1860年3月、雪の朝に江戸城桜田門の外で大老井伊直弼が水戸藩の浪士らに暗殺された。幕府の権威は大きく落ちた。	35.68	139.75	桜田門	1
jvnamamugi	生麦事件	日本・1862年 神奈川(横浜)	なまむぎじけん	⚔️	1862年、横浜近くの生麦村で薩摩藩の島津久光の行列を横切ったイギリス人が斬られた事件。翌年の薩英戦争の原因になった。	35.49	139.67	生麦事件碑	
jvsatsuei	薩英戦争	日本・1863年 鹿児島	さつえいせんそう	💥	1863年、生麦事件の報復でイギリス艦隊が鹿児島を砲撃した。薩摩は大きな被害を受けたが、外国の強さを知って攘夷をやめ、イギリスと接近した。	31.60	130.56	薩英戦争砲台跡 祇園之洲公園	
jvkinmon	禁門の変	日本・1864年 京都	きんもんのへん	🔥	1864年、京都を追われた長州藩が御所の蛤御門で会津と薩摩の兵と戦って敗れた。長州は朝敵となり、第一次長州征討が行われた。	35.03	135.76	蛤御門 京都御苑	
jvsatcho	薩長同盟	日本・1866年 京都	さっちょうどうめい	🕊️	1866年、坂本龍馬らの仲立ちで対立していた薩摩の西郷隆盛と長州の木戸孝允が同盟を結んだ。倒幕への大きな一歩になった。	35.03	135.75	薩長同盟所縁之地 小松帯刀寓居跡	
jvtaisei	大政奉還	日本・1867年 京都(二条城)	たいせいほうかん	🏯	1867年10月、15代将軍徳川慶喜が二条城で政権を朝廷に返した。約260年続いた江戸幕府が終わり、明治維新が始まる。	35.01	135.75	二条城 二の丸御殿	1
jvosei	王政復古の大号令	日本・1867年 京都	おうせいふっこのだいごうれい	📜	1867年12月、天皇中心の新政府をつくることが宣言され、幕府と摂政関白が廃止された。その夜の小御所会議で慶喜に領地の返上を求めた。	35.03	135.76	京都御所 小御所	
jvtoba	鳥羽・伏見の戦い	日本・1868年 京都	とばふしみのたたかい	⚔️	1868年1月、旧幕府軍と新政府軍が京都の南で戦い、錦の御旗を立てた新政府軍が勝った。戊辰戦争の始まりで、慶喜は江戸へ逃げ帰った。	34.93	135.76	鳥羽伏見の戦い跡 城南宮	1
jvgokajo	五箇条の御誓文	日本・1868年 京都	ごかじょうのごせいもん	📜	1868年3月、明治天皇が神に誓う形で新政府の方針を示した。広く会議を興し万機公論に決すべしで始まり、世論を重んじる姿勢を掲げた。	35.03	135.76	京都御所 紫宸殿	
jvgoryokaku	五稜郭の戦い	日本・1869年 北海道(函館)	ごりょうかくのたたかい	🏯	1869年、榎本武揚や土方歳三ら旧幕府軍が函館の五稜郭にこもって戦い、降伏した。約1年半続いた戊辰戦争がここで終わった。	41.80	140.76	五稜郭公園	
jvhaihan	廃藩置県	日本・1871年 東京	はいはんちけん	📜	1871年、政府が藩を廃止して府と県を置き、中央から知事を送った。大名の反対を抑えるため薩長土の兵を集めて実施し、中央集権が完成した。	35.68	139.75	皇居	1
jvchiso	地租改正	日本・1873年 東京	ちそかいせい	🌾	1873年、政府が土地の値段の3パーセントを現金で納めさせる税のしくみに変えた。収入は安定したが農民の負担は重く、各地で反対一揆が起きた。	35.68	139.75	皇居	
jvseinan	西南戦争	日本・1877年 鹿児島	せいなんせんそう	⚔️	1877年、政府を去った西郷隆盛を大将に鹿児島の士族が起こした最大の士族反乱。熊本城を落とせず、西郷は城山で自害した。	31.60	130.55	西郷隆盛終焉の地 城山	1
jvchichibu	秩父事件	日本・1884年 埼玉(秩父)	ちちぶじけん	✊	1884年、不景気と借金に苦しむ秩父の農民が困民党を組織して蜂起した。自由党員も加わり数千人規模になったが、軍隊に鎮圧された。	35.99	139.08	秩父神社	
jvkenpo	大日本帝国憲法発布	日本・1889年 東京	だいにっぽんていこくけんぽうはっぷ	📜	1889年2月11日、伊藤博文らがドイツの憲法を手本に作った憲法が天皇から国民に与えられる形で発布された。アジア初の近代的な憲法。	35.68	139.75	皇居 宮殿	1
jvnisshin	日清戦争	日本・1894年 広島	にっしんせんそう	⚔️	1894年、朝鮮をめぐって日本と清が戦い、日本が勝った。大本営が広島に置かれ、下関条約で台湾と多額の賠償金を得たが、三国干渉で遼東半島は返した。	34.40	132.46	広島大本営跡 広島城	1
jvashio	足尾鉱毒事件	日本・1891年 栃木(足尾)	あしおこうどくじけん	🏭	足尾銅山から流れ出た有害物質が渡良瀬川を汚し、田畑と人々を苦しめた日本初の公害事件。田中正造が議会で訴え、天皇に直訴までした。	36.63	139.45	足尾銅山観光	
jvnichiro	日露戦争	日本・1904年 長崎(対馬沖)	にちろせんそう	⚓	1904年、満州と韓国をめぐって日本とロシアが戦った。1905年の日本海海戦で東郷平八郎がバルチック艦隊を破り、ポーツマス条約で講和した。	34.39	129.44	日露友好の丘 対馬	1
jvtaigyaku	大逆事件	日本・1910年 東京	たいぎゃくじけん	📜	1910年、明治天皇の暗殺を計画したとして社会主義者が大量に検挙され、翌年幸徳秋水ら12人が処刑された事件。多くは無実で、社会主義運動は冬の時代に。	35.69	139.76	東京地方裁判所	
jvkome	米騒動	日本・1918年 富山(魚津)	こめそうどう	🌾	1918年、米の値段が急に上がり、富山の漁村の主婦たちが米の積み出しに反対したのをきっかけに全国へ広がった。寺内内閣がたおれ原敬内閣ができた。	36.83	137.41	米騒動発祥の地 魚津	1
jvkanto	関東大震災	日本・1923年 東京	かんとうだいしんさい	💥	1923年9月1日、マグニチュード7.9の地震が関東をおそい、火災で約10万人が亡くなった。混乱の中で朝鮮人が殺される事件も起きた。9月1日は防災の日。	35.70	139.79	横網町公園 東京都慰霊堂	1
jvtoranomon	虎の門事件	日本・1923年 東京	とらのもんじけん	💥	1923年12月、摂政宮であった皇太子が虎ノ門で難波大助に狙撃された事件。無事だったが山本権兵衛内閣が総辞職した。	35.67	139.75	虎ノ門	
jvfutsusenkyo	普通選挙法の成立	日本・1925年 東京	ふつうせんきょほうのせいりつ	🗳️	1925年、加藤高明内閣のもとで満25歳以上のすべての男子に選挙権が与えられた。同時に社会主義を取りしまる治安維持法も作られた。	35.68	139.74	国会議事堂	
jvketsumei	血盟団事件	日本・1932年 東京	けつめいだんじけん	💥	1932年、井上日召を中心とする右翼団体が一人一殺をかかげ、前大蔵大臣の井上準之助と三井の団琢磨を暗殺した。テロの時代の始まり。	35.67	139.77	三井本館	
jvgoichigo	五・一五事件	日本・1932年 東京	ごいちごじけん	💥	1932年5月15日、海軍の青年将校らが首相官邸をおそい、犬養毅首相を射殺した。話せばわかるの言葉が有名。政党内閣は終わった。	35.67	139.74	首相官邸	
jvniniroku	二・二六事件	日本・1936年 東京	ににろくじけん	💥	1936年2月26日、陸軍の青年将校が約1400人の兵を率いて首相官邸などをおそい、高橋是清蔵相らを殺害した。鎮圧後、軍部の発言力がさらに強まった。	35.67	139.74	二・二六事件慰霊像 渋谷	1
jvkushu	東京大空襲	日本・1945年 東京	とうきょうだいくうしゅう	🔥	1945年3月10日、アメリカ軍のB29約300機が東京の下町を焼夷弾で攻撃し、一夜で約10万人が亡くなった。空襲は全国の都市に広がった。	35.70	139.81	東京都復興記念館 横網町公園	
jvokinawasen	沖縄戦	日本・1945年 沖縄	おきなわせん	⚔️	1945年3月から約3か月、アメリカ軍が沖縄に上陸して激しい地上戦が行われた。住民を含め20万人以上が亡くなった。6月23日は慰霊の日。	26.10	127.72	平和祈念公園 糸満	1
jvhiroshima	広島原爆投下	日本・1945年 広島	ひろしまげんばくとうか	💥	1945年8月6日午前8時15分、人類史上初めて原子爆弾が広島に落とされ、その年のうちに約14万人が亡くなった。原爆ドームは世界遺産。	34.40	132.45	原爆ドーム	1
jvnagasaki	長崎原爆投下	日本・1945年 長崎	ながさきげんばくとうか	💥	1945年8月9日午前11時2分、広島に続いて長崎に原子爆弾が落とされ、約7万人が亡くなった。平和公園の平和祈念像が祈りを伝える。	32.77	129.86	長崎原爆落下中心地碑	1
jvshusen	終戦	日本・1945年 東京	しゅうせん	🕊️	1945年8月14日にポツダム宣言を受け入れ、15日正午に昭和天皇の玉音放送で国民に伝えられた。9月2日に降伏文書に調印し、太平洋戦争が終わった。	35.68	139.75	皇居前広場	1
