# 世界の首都。key	首都名	国名	よみ	絵文字(国旗)	解説	緯度	経度	地図の目印	はじめのレベル(1か空)
caplondon	ロンドン	イギリス	ろんどん	🇬🇧	テムズ川のほとりにあるイギリスの首都。時計塔ビッグ・ベン、バッキンガム宮殿、大英博物館がある。	51.51	-0.13	ビッグ・ベン	1
capdublin	ダブリン	アイルランド	だぶりん	🇮🇪	アイルランド島の東海岸にある首都。トリニティ・カレッジには9世紀の「ケルズの書」が保管されている。	53.35	-6.26	トリニティ・カレッジ	
capparis	パリ	フランス	ぱり	🇫🇷	セーヌ川のほとりにあるフランスの首都。エッフェル塔、凱旋門、ルーブル美術館があり、芸術と花の都と呼ばれる。	48.86	2.35	エッフェル塔	1
capberlin	ベルリン	ドイツ	べるりん	🇩🇪	ドイツの首都。冷戦時代には壁で東西に分けられていた。ブランデンブルク門は統一のシンボル。	52.52	13.40	ブランデンブルク門	1
capamsterdam	アムステルダム	オランダ	あむすてるだむ	🇳🇱	運河の町として知られるオランダの首都。国会や王宮はハーグにある。アンネ・フランクの家や自転車で有名。	52.37	4.90	アンネ・フランクの家	1
capbrussels	ブリュッセル	ベルギー	ぶりゅっせる	🇧🇪	ベルギーの首都で、EU(ヨーロッパ連合)の本部がある。世界一美しい広場といわれるグラン・プラスや小便小僧が有名。	50.85	4.35	グラン・プラス	1
capluxembourg	ルクセンブルク	ルクセンブルク	るくせんぶるく	🇱🇺	国と同じ名前の首都。深い谷にかこまれた要塞の町で、1人あたりの所得が世界トップクラス。	49.61	6.13		
capbern	ベルン	スイス	べるん	🇨🇭	スイスの首都。チューリッヒやジュネーブより小さいが、アーレ川に囲まれた中世の旧市街は世界遺産。	46.95	7.45	ベルン旧市街	1
capvienna	ウィーン	オーストリア	うぃーん	🇦🇹	ドナウ川のほとりにある音楽の都。モーツァルトやベートーベンが活躍し、シェーンブルン宮殿がある。	48.21	16.37	シェーンブルン宮殿	1
capvaduz	ファドゥーツ	リヒテンシュタイン	ふぁどぅーつ	🇱🇮	スイスとオーストリアにはさまれた小さな国の首都。丘の上に侯爵の住む城が立つ。	47.14	9.52		
capmonaco	モナコ	モナコ	もなこ	🇲🇨	地中海に面した世界で2番目に小さい国。国全体が都市で、F1グランプリやカジノで有名。	43.73	7.42	モンテカルロ・カジノ	
caprome	ローマ	イタリア	ろーま	🇮🇹	古代ローマ帝国から続く「永遠の都」。コロッセオやトレビの泉があり、中にバチカン市国がある。	41.90	12.50	コロッセオ	1
capvatican	バチカン	バチカン	ばちかん	🇻🇦	ローマの中にある世界でいちばん小さい国。カトリックの総本山でローマ教皇が住む。サン・ピエトロ大聖堂が有名。	41.90	12.45	サン・ピエトロ大聖堂	1
capsanmarino	サンマリノ	サンマリノ	さんまりの	🇸🇲	イタリアに囲まれた世界最古の共和国の首都。ティターノ山の上にあり、3つの塔が町を見下ろす。	43.94	12.45		
capvalletta	バレッタ	マルタ	ばれった	🇲🇹	地中海の島国マルタの首都。16世紀に騎士団が築いた要塞都市で、町全体が世界遺産。	35.90	14.51		
capmadrid	マドリード	スペイン	まどりーど	🇪🇸	イベリア半島のほぼ中央にあるスペインの首都。プラド美術館や王宮があり、サッカーの強豪クラブでも有名。	40.42	-3.70	プラド美術館	1
caplisbon	リスボン	ポルトガル	りすぼん	🇵🇹	テージョ川の河口にあるヨーロッパ大陸の西のはしの首都。大航海時代の港で、ベレンの塔が船出を見送った。	38.72	-9.14	ベレンの塔	1
capandorralavella	アンドララベリャ	アンドラ	あんどららべりゃ	🇦🇩	ピレネー山脈にある小国アンドラの首都。標高1000mをこえるヨーロッパでいちばん高い首都。	42.51	1.52		
capathens	アテネ	ギリシャ	あてね	🇬🇷	古代ギリシャ文明の中心で、民主主義やオリンピックが生まれた町。丘の上にパルテノン神殿が立つ。	37.98	23.73	パルテノン神殿	1
capnicosia	ニコシア	キプロス	にこしあ	🇨🇾	地中海の島国キプロスの首都。町のまん中に境界線が通り、南北に分かれた世界で唯一の首都。	35.17	33.36		
capcopenhagen	コペンハーゲン	デンマーク	こぺんはーげん	🇩🇰	シェラン島にあるデンマークの首都。アンデルセンの童話の人魚姫の像や、自転車の多さで知られる。	55.68	12.57	人魚姫の像	1
caposlo	オスロ	ノルウェー	おすろ	🇳🇴	フィヨルドの奥にあるノルウェーの首都。毎年12月にノーベル平和賞の授賞式が市庁舎で行われる。	59.91	10.75	オスロ市庁舎	1
capstockholm	ストックホルム	スウェーデン	すとっくほるむ	🇸🇪	14の島の上に広がる「北欧のベニス」。ノーベル賞の授賞式と晩さん会が毎年12月に開かれる。	59.33	18.07	ストックホルム市庁舎	1
caphelsinki	ヘルシンキ	フィンランド	へるしんき	🇫🇮	バルト海に面したフィンランドの首都。白いヘルシンキ大聖堂がシンボル。デザインとサウナの国。	60.17	24.94	ヘルシンキ大聖堂	1
capreykjavik	レイキャビク	アイスランド	れいきゃびく	🇮🇸	世界でいちばん北にある首都。温泉や地熱を使った暖房が広がり、冬にはオーロラが見える。	64.15	-21.94	ハットルグリムス教会	
captallinn	タリン	エストニア	たりん	🇪🇪	バルト海に面したエストニアの首都。中世の城壁が残る旧市街は世界遺産。IT先進国として知られる。	59.44	24.75	タリン旧市街	
capriga	リガ	ラトビア	りが	🇱🇻	バルト三国でいちばん大きな都市。ハンザ同盟の港町として栄え、アール・ヌーボー建築の旧市街が世界遺産。	56.95	24.11	リガ旧市街	
capvilnius	ビリニュス	リトアニア	びりにゅす	🇱🇹	バルト三国のいちばん南、リトアニアの首都。バロック様式の教会が多い旧市街は世界遺産。	54.69	25.28		
capwarsaw	ワルシャワ	ポーランド	わるしゃわ	🇵🇱	ビスワ川のほとりにあるポーランドの首都。第二次世界大戦で壊された旧市街を、市民が元どおりに再建した。	52.23	21.01	ワルシャワ旧市街	1
capprague	プラハ	チェコ	ぷらは	🇨🇿	「百塔の町」と呼ばれる美しい古都。プラハ城とカレル橋があり、旧市街の天文時計も人気。	50.08	14.44	プラハ城	1
capbratislava	ブラチスラバ	スロバキア	ぶらちすらば	🇸🇰	ドナウ川のほとりにあるスロバキアの首都。ウィーンまで60kmほどしかなく、首都どうしがとても近い。	48.15	17.11	ブラチスラバ城	
capbudapest	ブダペスト	ハンガリー	ぶだぺすと	🇭🇺	ドナウ川の西のブダと東のペストがひとつになった町。国会議事堂やくさり橋の夜景は「ドナウの真珠」。	47.50	19.04	ハンガリー国会議事堂	1
capbucharest	ブカレスト	ルーマニア	ぶかれすと	🇷🇴	ルーマニアの首都。かつて「東欧の小パリ」と呼ばれた。世界で2番目に大きい行政の建物、国民の館がある。	44.43	26.10	ルーマニア国民の館	
capsofia	ソフィア	ブルガリア	そふぃあ	🇧🇬	ビトシャ山のふもとにあるブルガリアの首都。金色のドームのアレクサンドル・ネフスキー大聖堂がシンボル。	42.70	23.32	アレクサンドル・ネフスキー大聖堂	
capljubljana	リュブリャナ	スロベニア	りゅぶりゃな	🇸🇮	アルプスのふもとにあるスロベニアの首都。竜の橋が有名で、竜は町のシンボル。緑が多い小さな首都。	46.06	14.51		
capzagreb	ザグレブ	クロアチア	ざぐれぶ	🇭🇷	クロアチアの首都。ふたつの塔を持つ大聖堂と、屋根に紋章がえがかれた聖マルコ教会が有名。	45.81	15.98	ザグレブ大聖堂	
capsarajevo	サラエボ	ボスニア・ヘルツェゴビナ	さらえぼ	🇧🇦	1914年に第一次世界大戦のきっかけとなる事件が起きた町。1984年には冬季オリンピックが開かれた。	43.86	18.41	ラテン橋	
capbelgrade	ベオグラード	セルビア	べおぐらーど	🇷🇸	ドナウ川とサバ川が合流する場所にあるセルビアの首都。名前は「白い町」の意味。	44.79	20.45		
cappodgorica	ポドゴリツァ	モンテネグロ	ぽどごりつぁ	🇲🇪	2006年に独立したモンテネグロの首都。名前は「小さな丘のふもと」の意味。アドリア海の近く。	42.44	19.26		
capskopje	スコピエ	北マケドニア	すこぴえ	🇲🇰	バルダル川のほとりにある北マケドニアの首都。マザー・テレサが生まれた町として知られる。	41.99	21.43		
captirana	ティラナ	アルバニア	てぃらな	🇦🇱	アドリア海に近いアルバニアの首都。建物がカラフルに塗られたことで知られる。	41.33	19.82		
capkyiv	キーウ	ウクライナ	きーう	🇺🇦	ドニプロ川のほとりにあるウクライナの首都。1000年以上の歴史があり、黄金のドームの聖ソフィア大聖堂が世界遺産。	50.45	30.52	聖ソフィア大聖堂	1
capchisinau	キシナウ	モルドバ	きしなう	🇲🇩	ルーマニアとウクライナにはさまれたモルドバの首都。ワインの産地として知られ、緑の多い町。	47.01	28.86		
capminsk	ミンスク	ベラルーシ	みんすく	🇧🇾	ベラルーシの首都。第二次世界大戦後に再建され、広い大通りと大きな建物が並ぶ。	53.90	27.57		
capmoscow	モスクワ	ロシア	もすくわ	🇷🇺	世界でいちばん広い国ロシアの首都。城壁に囲まれたクレムリンと、赤の広場、たまねぎ形の屋根の聖ワシリイ大聖堂。	55.75	37.62	クレムリン	1
capwashington	ワシントン	アメリカ	わしんとん	🇺🇸	アメリカの首都。どの州にも属さない特別区で、ホワイトハウスや国会議事堂がある。初代大統領の名前から。	38.90	-77.04	ホワイトハウス	1
capottawa	オタワ	カナダ	おたわ	🇨🇦	オタワ川のほとりにあるカナダの首都。トロントやモントリオールより小さい。冬は運河が世界最大級のスケートリンクに。	45.42	-75.70	カナダ国会議事堂	1
capmexicocity	メキシコシティ	メキシコ	めきしこしてぃ	🇲🇽	標高2200mの高原にあるメキシコの首都。アステカ帝国の都テノチティトランの上に築かれた。	19.43	-99.13	ソカロ	1
capguatemalacity	グアテマラシティ	グアテマラ	ぐあてまらしてぃ	🇬🇹	中央アメリカでいちばん大きな都市。火山にかこまれた高原にあり、マヤ文明の遺跡への入り口。	14.63	-90.51		
capbelmopan	ベルモパン	ベリーズ	べるもぱん	🇧🇿	1970年にハリケーンの被害をさけて内陸に造られた首都。人口2万人ほどの小さな町。	17.25	-88.77		
capsansalvador	サンサルバドル	エルサルバドル	さんさるばどる	🇸🇻	中央アメリカでいちばん小さい国の首都。火山のふもとにあり、名前は「聖なる救世主」の意味。	13.69	-89.19		
captegucigalpa	テグシガルパ	ホンジュラス	てぐしがるぱ	🇭🇳	山にかこまれた盆地にあるホンジュラスの首都。銀の鉱山の町として発展した。	14.07	-87.19		
capmanagua	マナグア	ニカラグア	まなぐあ	🇳🇮	マナグア湖のほとりにあるニカラグアの首都。地震が多く、1972年の大地震で町の中心が壊れた。	12.13	-86.25		
capsanjose	サンホセ	コスタリカ	さんほせ	🇨🇷	軍隊を持たない国コスタリカの首都。コーヒーの産地の高原にあり、一年中春のような気候。	9.93	-84.08		
cappanamacity	パナマシティ	パナマ	ぱなましてぃ	🇵🇦	太平洋と大西洋を結ぶパナマ運河の太平洋側の入り口にある首都。高層ビルが並ぶ金融の町。	8.98	-79.52	パナマ運河 ミラフローレス閘門	
caphavana	ハバナ	キューバ	はばな	🇨🇺	カリブ海の島国キューバの首都。クラシックカーが走り、スペイン時代の旧市街は世界遺産。	23.11	-82.37	ハバナ旧市街	
capkingston	キングストン	ジャマイカ	きんぐすとん	🇯🇲	カリブ海の島国ジャマイカの首都。レゲエ音楽の生まれた町で、ボブ・マーリーの博物館がある。	17.97	-76.79		
capportauprince	ポルトープランス	ハイチ	ぽるとーぷらんす	🇭🇹	イスパニョーラ島の西にあるハイチの首都。2010年の大地震で大きな被害を受けた。	18.54	-72.34		
capsantodomingo	サントドミンゴ	ドミニカ共和国	さんとどみんご	🇩🇴	コロンブスの弟が1496年に築いた、アメリカ大陸でいちばん古いヨーロッパ人の町。旧市街は世界遺産。	18.47	-69.90	サントドミンゴ植民都市	
capnassau	ナッソー	バハマ	なっそー	🇧🇸	700の島からなるバハマの首都。ニュープロビデンス島にあり、クルーズ船が集まるリゾート。	25.05	-77.34		
capbridgetown	ブリッジタウン	バルバドス	ぶりっじたうん	🇧🇧	カリブ海の東のはしにある島国バルバドスの首都。イギリス風の町並みが世界遺産。	13.10	-59.62		
capportofspain	ポートオブスペイン	トリニダード・トバゴ	ぽーとおぶすぺいん	🇹🇹	南アメリカ大陸のすぐそばにある島国の首都。スチールパンという楽器とカーニバルで有名。	10.65	-61.51		
capsaintgeorges	セントジョージズ	グレナダ	せんとじょーじず	🇬🇩	「スパイスの島」と呼ばれるグレナダの首都。馬のひづめの形をした港がカリブ海でいちばん美しいといわれる。	12.05	-61.75		
capcastries	カストリーズ	セントルシア	かすとりーず	🇱🇨	カリブ海の島国セントルシアの首都。ふたつのとがった山ピトン山が島のシンボル。	14.01	-60.99		
capkingstown	キングスタウン	セントビンセント・グレナディーン	きんぐすたうん	🇻🇨	カリブ海の島国の首都。西半球でいちばん古い植物園があり、島は映画パイレーツ・オブ・カリビアンの撮影地。	13.16	-61.22		
capsaintjohns	セントジョンズ	アンティグア・バーブーダ	せんとじょんず	🇦🇬	カリブ海の島国の首都。365のビーチがあるといわれるアンティグア島にある。	17.12	-61.85		
capbasseterre	バセテール	セントクリストファー・ネービス	ばせてーる	🇰🇳	南北アメリカでいちばん小さい国の首都。フランス語で「低い土地」の意味。	17.30	-62.72		
caproseau	ロゾー	ドミニカ国	ろぞー	🇩🇲	火山と熱帯雨林の島ドミニカ国の首都。ドミニカ共和国とは別の国。名前はフランス語で「あし(植物)」の意味。	15.30	-61.39		
capbrasilia	ブラジリア	ブラジル	ぶらじりあ	🇧🇷	1960年に内陸の高原に造られた計画都市。飛行機の形の町並みで、建築家ニーマイヤーの建物が世界遺産。	-15.79	-47.88	ブラジリア大聖堂	1
capbuenosaires	ブエノスアイレス	アルゼンチン	ぶえのすあいれす	🇦🇷	ラプラタ川の河口にある「南米のパリ」。タンゴが生まれた町で、大通りにオベリスコがそびえる。	-34.60	-58.38	オベリスコ	1
capsantiago	サンティアゴ	チリ	さんてぃあご	🇨🇱	アンデス山脈のふもとにある細長い国チリの首都。雪をかぶった山を背景に高層ビルが並ぶ。	-33.45	-70.67	アルマス広場 サンティアゴ	1
caplima	リマ	ペルー	りま	🇵🇪	太平洋に面したペルーの首都。スペインが築いた植民地の中心で、旧市街は世界遺産。世界的な美食の町。	-12.05	-77.04	リマ歴史地区	1
capbogota	ボゴタ	コロンビア	ぼごた	🇨🇴	標高2600mのアンデスの高原にあるコロンビアの首都。黄金博物館が有名で、コーヒーの国の中心。	4.71	-74.07	モンセラーテの丘	1
capquito	キト	エクアドル	きと	🇪🇨	赤道のすぐ南、標高2850mにある世界で2番目に高い首都。旧市街は最初の世界遺産のひとつ。	-0.18	-78.47	赤道記念碑	
capcaracas	カラカス	ベネズエラ	からかす	🇻🇪	カリブ海に近い谷間にあるベネズエラの首都。独立の英雄シモン・ボリバルが生まれた町。	10.48	-66.90		
caplapaz	ラパス	ボリビア	らぱす	🇧🇴	標高3600mをこえる世界でいちばん高い首都(政府所在地)。ロープウェイが市民の足。憲法上の首都はスクレ。	-16.50	-68.15		
capasuncion	アスンシオン	パラグアイ	あすんしおん	🇵🇾	パラグアイ川のほとりにある南米でいちばん古い都市のひとつ。名前は「聖母被昇天」の意味。	-25.28	-57.63		
capmontevideo	モンテビデオ	ウルグアイ	もんてびでお	🇺🇾	ラプラタ川の河口にあるウルグアイの首都。1930年に第1回サッカーワールドカップが開かれた。	-34.90	-56.16		
capgeorgetown	ジョージタウン	ガイアナ	じょーじたうん	🇬🇾	南米で唯一英語を公用語とする国ガイアナの首都。海面より低い土地で、木造の大聖堂がある。	6.80	-58.16		
capparamaribo	パラマリボ	スリナム	ぱらまりぼ	🇸🇷	オランダの植民地だったスリナムの首都。オランダ風の木造建築が並ぶ旧市街は世界遺産。	5.85	-55.20	パラマリボ歴史地区	
capcanberra	キャンベラ	オーストラリア	きゃんべら	🇦🇺	シドニーとメルボルンが首都を争ったため、その間に造られた計画都市。人工湖のほとりに国会議事堂がある。	-35.28	149.13	オーストラリア国会議事堂	1
capwellington	ウェリントン	ニュージーランド	うぇりんとん	🇳🇿	北島の南のはしにあるニュージーランドの首都。風が強い町として知られ、国会議事堂はビーハイブと呼ばれる。	-41.29	174.78	ニュージーランド国会議事堂	1
capportmoresby	ポートモレスビー	パプアニューギニア	ぽーともれすびー	🇵🇬	ニューギニア島の南岸にある首都。800以上の言語が話される国の中心。	-9.44	147.18		
capsuva	スバ	フィジー	すば	🇫🇯	南太平洋の島国フィジーの首都。ビティレブ島にあり、南太平洋大学がある地域の中心都市。	-18.14	178.44		
caphoniara	ホニアラ	ソロモン諸島	ほにあら	🇸🇧	ガダルカナル島にあるソロモン諸島の首都。第二次世界大戦の激戦地に築かれた町。	-9.43	159.95		
capportvila	ポートビラ	バヌアツ	ぽーとびら	🇻🇺	南太平洋の島国バヌアツの首都。バンジージャンプのもとになった儀式ナゴールで知られる国。	-17.73	168.32		
capapia	アピア	サモア	あぴあ	🇼🇸	南太平洋の島国サモアの首都。「宝島」の作者スティーブンソンが晩年を過ごした町。	-13.83	-171.76		
capnukualofa	ヌクアロファ	トンガ	ぬくあろふぁ	🇹🇴	南太平洋で唯一の王国トンガの首都。名前は「愛の住みか」の意味。ラグビーが盛ん。	-21.14	-175.20		
capfunafuti	フナフティ	ツバル	ふなふてぃ	🇹🇻	世界で4番目に小さい国ツバルの首都。海面上昇で沈む心配がある低い環礁の島。	-8.52	179.20		
captarawa	タラワ	キリバス	たらわ	🇰🇮	赤道のすぐ北にあるキリバスの首都。日付変更線の関係で世界で最初に朝が来る国のひとつ。	1.33	172.98		
capyaren	ヤレン	ナウル	やれん	🇳🇷	世界で3番目に小さい国ナウルの中心地区。正式な首都はないが、政府の建物がヤレンにある。リン鉱石で栄えた。	-0.55	166.92		
capmajuro	マジュロ	マーシャル諸島	まじゅろ	🇲🇭	環礁の島国マーシャル諸島の首都。細長い島に町が広がり、海面上昇の影響を受けている。	7.09	171.38		
cappalikir	パリキール	ミクロネシア連邦	ぱりきーる	🇫🇲	ポンペイ島にあるミクロネシア連邦の首都。島には海に浮かぶ石の都市ナンマドール遺跡がある。	6.92	158.16		
capngerulmud	マルキョク	パラオ	まるきょく	🇵🇼	2006年にコロールから移されたパラオの首都。人口300人ほどの世界でいちばん小さな首都のひとつ。	7.50	134.62		
capcairo	カイロ	エジプト	かいろ	🇪🇬	ナイル川のほとりにあるアフリカ最大級の都市。郊外のギザには三大ピラミッドとスフィンクスがある。	30.04	31.24	ギザのピラミッド	1
captripoli	トリポリ	リビア	とりぽり	🇱🇾	地中海に面したリビアの首都。古代からの港町で、名前はギリシャ語で「3つの町」の意味。	32.90	13.18		
captunis	チュニス	チュニジア	ちゅにす	🇹🇳	地中海に面したチュニジアの首都。古代の大国カルタゴの遺跡がすぐ近くにあり、旧市街メディナは世界遺産。	36.81	10.17	カルタゴ遺跡	
capalgiers	アルジェ	アルジェリア	あるじぇ	🇩🇿	地中海に面したアフリカでいちばん広い国の首都。白い建物が丘に広がり「白い町」と呼ばれる。	36.75	3.06		
caprabat	ラバト	モロッコ	らばと	🇲🇦	大西洋に面したモロッコの首都。カサブランカより小さいが王宮がある。ハッサンの塔が有名。	34.02	-6.84	ハッサンの塔	
capkhartoum	ハルツーム	スーダン	はるつーむ	🇸🇩	青ナイルと白ナイルが合流してナイル川になる場所にあるスーダンの首都。	15.50	32.56		
capjuba	ジュバ	南スーダン	じゅば	🇸🇸	2011年に独立した世界でいちばん新しい国の首都。白ナイル川のほとりにある。	4.85	31.58		
capaddisababa	アディスアベバ	エチオピア	あでぃすあべば	🇪🇹	標高2400mの高原にあるエチオピアの首都。アフリカ連合(AU)の本部があり「アフリカの首都」とも呼ばれる。	9.02	38.75	アフリカ連合本部	1
capasmara	アスマラ	エリトリア	あすまら	🇪🇷	紅海に面したエリトリアの首都。標高2300mにあり、イタリア時代の近代建築が世界遺産。	15.34	38.93		
capdjibouti	ジブチ	ジブチ	じぶち	🇩🇯	紅海の入り口にある国と同じ名前の首都。港が重要で、日本の自衛隊の拠点もある。	11.59	43.15		
capmogadishu	モガディシュ	ソマリア	もがでぃしゅ	🇸🇴	インド洋に面したソマリアの首都。古くからアラビアやインドとの貿易で栄えた港町。	2.05	45.32		
capnairobi	ナイロビ	ケニア	ないろび	🇰🇪	標高1700mの高原にあるケニアの首都。町のすぐそばにライオンやキリンがいる国立公園がある。	-1.29	36.82	ナイロビ国立公園	1
capkampala	カンパラ	ウガンダ	かんぱら	🇺🇬	ビクトリア湖の近くにあるウガンダの首都。7つの丘の上に町が広がる。	0.32	32.58		
capkigali	キガリ	ルワンダ	きがり	🇷🇼	「千の丘の国」ルワンダの首都。アフリカでいちばん清潔な町といわれ、ビニール袋が禁止されている。	-1.94	30.06		
capgitega	ギテガ	ブルンジ	ぎてが	🇧🇮	2019年にブジュンブラから移されたブルンジの首都。国のまん中の高原にある。	-3.43	29.93		
capdodoma	ドドマ	タンザニア	どどま	🇹🇿	国のまん中にあるタンザニアの首都。1970年代にダルエスサラームから移す計画が始まった。	-6.16	35.75		
caplilongwe	リロングウェ	マラウイ	りろんぐうぇ	🇲🇼	マラウイ湖で知られる国の首都。1975年にゾンバから移された。	-13.96	33.77		
caplusaka	ルサカ	ザンビア	るさか	🇿🇲	標高1300mの高原にあるザンビアの首都。銅の産地として知られる国の中心。	-15.42	28.28		
capharare	ハラレ	ジンバブエ	はられ	🇿🇼	ジンバブエの首都。ジャカランダの紫の花が咲く町。ビクトリアの滝は国の西のはしにある。	-17.83	31.05		
capmaputo	マプト	モザンビーク	まぷと	🇲🇿	インド洋に面したモザンビークの首都。エッフェルが設計したといわれる鉄の家がある。	-25.97	32.57		
