# key	名前	場所	よみ	Commons の検索語	解説	緯度	経度
lakedistrict	湖水地方	イギリス	こすいちほう	Lake District Windermere	湖と山がつづく美しい地方。「ピーターラビット」の作者がここに住み、物語の舞台にした。	54.37	-2.93
giantscauseway	ジャイアンツ・コーズウェイ	イギリス・北アイルランド	じゃいあんつこーずうぇい	Giant's Causeway	六角形の柱の岩が約4万本もならぶ海岸。火山の溶岩が冷えてできた。「巨人の道」という意味。	55.241	-6.512
moher	モハーの断崖	アイルランド	もはーのだんがい	Cliffs of Moher	高さ最大214m、長さ8kmの崖が大西洋にそびえる。アイルランドでいちばん人気の観光地。	52.972	-9.427
lochness	ネス湖	イギリス・スコットランド	ねすこ	Loch Ness Urquhart Castle	怪獣「ネッシー」の伝説で有名な細長い湖。深さは約230mあり、ほとりに古い城あとが立つ。	57.32	-4.44
warsaw	ワルシャワ旧市街	ポーランド	わるしゃわきゅうしがい	Warsaw Old Town Market Square	戦争でほとんどこわされた町を、絵や写真をもとに元どおりに建て直した。その努力で世界遺産になった。	52.250	21.012
krakow	クラクフ旧市街	ポーランド	くらくふきゅうしがい	Kraków Main Square Cloth Hall	ポーランドの古い都。ヨーロッパ最大級の中世の広場があり、まん中に織物会館が建つ。	50.062	19.937
meteora	メテオラ	ギリシャ	めておら	Meteora monasteries	高さ数百mの岩の柱の上に建つ修道院。「空中にうかぶ」という意味で、昔は はしごやロープで登った。	39.716	21.630
mykonos	ミコノス島	ギリシャ	みこのすとう	Mykonos windmills	白い壁と青い屋根の家、丘の上の風車で知られる島。エーゲ海の「白い宝石」とよばれる。	37.445	25.325
ephesus	エフェソス	トルコ	えふぇそす	Ephesus Library of Celsus	古代ギリシャ・ローマの大きな都市のあと。図書館のりっぱな正面や、2万5千人が入った劇場が残る。	37.939	27.341
pamukkale	パムッカレ	トルコ	ぱむっかれ	Pamukkale travertine terraces	温泉の石灰がつもってできた 真っ白な段々の池。「綿の城」という意味で、青い水がたまる。	37.924	29.123
kremlin	クレムリン	ロシア・モスクワ	くれむりん	Moscow Kremlin Spasskaya tower	ロシアの大統領がいる 城壁にかこまれた宮殿。赤い壁と金の塔、大きな時計のスパスカヤ塔がある。	55.752	37.617
hermitage	エルミタージュ美術館	ロシア・サンクトペテルブルク	えるみたーじゅびじゅつかん	Winter Palace Hermitage Saint Petersburg	皇帝の宮殿(冬宮)を使った 世界最大級の美術館。約300万点の作品を持ち、緑と白の建物が美しい。	59.940	30.313
helsinki	ヘルシンキ大聖堂	フィンランド	へるしんきだいせいどう	Helsinki Cathedral	白い壁に緑のドームの教会。高い階段の上に建ち、ヘルシンキのシンボル。	60.170	24.952
tallinn	タリン旧市街	エストニア	たりんきゅうしがい	Tallinn Old Town	中世の城壁と塔がそのまま残る町。「おとぎの国」のような赤い屋根の町並みが世界遺産。	59.437	24.745
nyhavn	ニューハウン	デンマーク・コペンハーゲン	にゅーはうん	Nyhavn Copenhagen	色とりどりの古い家が運河ぞいにならぶ港。童話作家アンデルセンもここに住んでいた。	55.680	12.591
gamlastan	ガムラスタン	スウェーデン・ストックホルム	がむらすたん	Gamla stan Stockholm	ストックホルムの古い町。島の上に中世の細い道と 色のちがう建物がならび、王宮もある。	59.325	18.071
geiranger	ガイランゲルフィヨルド	ノルウェー	がいらんげるふぃよるど	Geirangerfjord	氷河がけずった深い入り江。両側に高い崖がせまり、「七姉妹」など たくさんの滝が落ちる。世界遺産。	62.10	7.09
preikestolen	プレーケストーレン	ノルウェー	ぷれーけすとーれん	Preikestolen	フィヨルドの上 高さ604mにつき出した 平らな岩。「説教壇」という意味で、歩いて登れる。	58.986	6.190
bluelagoon	ブルーラグーン	アイスランド	ぶるーらぐーん	Blue Lagoon Iceland	地熱発電所の湯を使った 世界最大級の露天風呂。ミルクのような青白い湯で、溶岩にかこまれている。	63.880	-22.449
gullfoss	グトルフォス	アイスランド	ぐとるふぉす	Gullfoss waterfall	2段に落ちる大きな滝。「黄金の滝」という意味で、晴れた日には虹がかかる。	64.327	-20.121
dubrovnik	ドブロブニク	クロアチア	どぶろぶにく	Dubrovnik old town	「アドリア海の真珠」とよばれる 城壁にかこまれた町。オレンジ色の屋根がならび、城壁の上を歩ける。	42.641	18.108
plitvice	プリトヴィツェ湖群	クロアチア	ぷりとゔぃつぇこぐん	Plitvice Lakes	16の湖が滝でつながり、階段のように流れ落ちる。水はエメラルド色で、木の道を歩いて回る。	44.88	15.62
brussels	グラン・プラス	ベルギー・ブリュッセル	ぐらんぷらす	Grand Place Brussels	金でかざられた古い建物にかこまれた広場。2年に一度、花のじゅうたんで広場がうめつくされる。	50.847	4.352
bruges	ブルージュ	ベルギー	ぶるーじゅ	Bruges Rozenhoedkaai	運河がめぐる中世の町。「北のベニス」とよばれ、レンガの家と鐘楼が水にうつる。	51.208	3.227
amsterdam	アムステルダムの運河	オランダ	あむすてるだむのうんが	Amsterdam canal houses	町の中に運河が165本もあり、細長い家がならぶ。自転車で移動する人が多い。	52.372	4.893
keukenhof	キューケンホフ公園	オランダ	きゅーけんほふこうえん	Keukenhof tulips	春だけ開く 世界最大級の花の公園。約700万本のチューリップなどがいっせいにさく。	52.270	4.546
pena	ペーナ宮殿	ポルトガル・シントラ	ぺーなきゅうでん	Pena Palace Sintra	山の上に建つ赤と黄色のカラフルな宮殿。いろいろな様式がまざった おとぎ話のような姿。	38.788	-9.391
belem	ベレンの塔	ポルトガル・リスボン	べれんのとう	Belém Tower	大航海時代に船を見はるため 川のほとりに建てられた塔。白い石のかざりが美しく世界遺産。	38.692	-9.216
porto	ポルト	ポルトガル	ぽると	Porto Ribeira Dom Luís bridge	川ぞいにカラフルな家がならぶ港町。二階建ての鉄の橋「ドン・ルイス1世橋」がシンボル。	41.140	-8.611
seville	セビリア大聖堂	スペイン	せびりあだいせいどう	Seville Cathedral Giralda	世界でもっとも大きな ゴシック様式の大聖堂。コロンブスのお墓があり、高さ約100mの塔に登れる。	37.386	-5.993
toledo	トレド	スペイン	とれど	Toledo Spain panorama	川に三方をかこまれた丘の上の古い町。キリスト教・イスラム教・ユダヤ教の文化がまざっている。	39.857	-4.024
guell	グエル公園	スペイン・バルセロナ	ぐえるこうえん	Park Güell	建築家ガウディが作った公園。カラフルなタイルのトカゲやベンチがあり、街を見わたせる。	41.414	2.153
santiago	サンティアゴ大聖堂	スペイン	さんてぃあごだいせいどう	Santiago de Compostela Cathedral	聖ヤコブのお墓の上に建つ大聖堂。ヨーロッパ中から歩いてくる巡礼の道の ゴール。	42.881	-8.545
valletta	バレッタ	マルタ	ばれった	Valletta Malta	地中海の小さな島国の首都。はちみつ色の石の建物がならび、町ぜんたいが世界遺産。	35.899	14.514
monaco	モナコ	モナコ	もなこ	Monaco Monte Carlo harbour	世界で2番目に小さな国。港に豪華なヨットがならび、街の道を走るF1レースで有名。	43.738	7.425
praguecastle	プラハ城	チェコ	ぷらはじょう	Prague Castle Vltava	世界でもっとも大きな古い城。中に聖ヴィート大聖堂があり、川の向こうから見る姿が美しい。	50.091	14.401
stephansdom	シュテファン大聖堂	オーストリア・ウィーン	しゅてふぁんだいせいどう	Stephansdom Vienna	ウィーンのまん中に立つ 高さ137mの塔をもつ大聖堂。屋根の色つき瓦のもようが目をひく。	48.209	16.373
salzburg	ザルツブルク	オーストリア	ざるつぶるく	Salzburg Hohensalzburg	山の上の城が見おろす古い町。作曲家モーツァルトが生まれ、映画「サウンド・オブ・ミュージック」の舞台。	47.795	13.047
rila	リラ修道院	ブルガリア	りらしゅうどういん	Rila Monastery	山の中にある ブルガリアでいちばん大きな修道院。白黒のしま模様のアーチと 色あざやかな壁画で有名。	42.133	23.340
bran	ブラン城	ルーマニア	ぶらんじょう	Bran Castle	「ドラキュラ城」とよばれる 岩の上の城。小説のモデルになったといわれ、細い階段と塔がある。	45.515	25.367
domeofrock	岩のドーム	エルサレム	いわのどーむ	Dome of the Rock	金色のドームをもつ イスラム教の建物。エルサレムの旧市街の中心にあり、いくつもの宗教の聖地。	31.778	35.235
deadsea	死海	ヨルダン	しかい	Dead Sea salt shore	海面より約430m低い場所にある湖。塩の濃さが海の10倍で、体がぷかぷかとうく。	31.5	35.5
wadirum	ワディ・ラム	ヨルダン	わでぃらむ	Wadi Rum desert	赤い砂と岩山の砂漠。「月の谷」とよばれ、火星の映画の撮影にも使われた。	29.58	35.42
burj	ブルジュ・ハリファ	アラブ首長国連邦・ドバイ	ぶるじゅはりふぁ	Burj Khalifa	高さ828mで世界一高いビル。2010年に完成し、160階以上ある。展望台は555mの高さ。	25.197	55.274
zayed	シェイク・ザイード・グランドモスク	アラブ首長国連邦・アブダビ	しぇいくざいーどぐらんどもすく	Sheikh Zayed Grand Mosque domes minarets	真っ白な大理石でできた 世界最大級のモスク。82のドームがあり、中のじゅうたんは世界一大きい。	24.412	54.475
persepolis	ペルセポリス	イラン	ぺるせぽりす	Persepolis	約2500年前のペルシャ帝国の都のあと。大きな石の階段や柱、動物の彫刻が残る。世界遺産。	29.935	52.891
isfahan	イマーム広場	イラン・イスファハン	いまーむひろば	Naqsh-e Jahan Square Isfahan	世界で2番目に大きな広場。青いタイルのモスクにかこまれ、「世界の半分」とたたえられた町の中心。	32.657	51.677
marrakech	ジャマ・エル・フナ広場	モロッコ・マラケシュ	じゃまえるふなひろば	Jemaa el-Fnaa day	マラケシュの旧市街の広場。昼は市場、夜は大道芸人や屋台でにぎわう。	31.626	-7.989
chefchaouen	シャウエン	モロッコ	しゃうえん	Chefchaouen blue street	家も道も 青くぬられた山の町。「青い真珠」とよばれ、写真をとる人でにぎわう。	35.169	-5.264
hassan	ハッサン2世モスク	モロッコ・カサブランカ	はっさんにせいもすく	Hassan II Mosque	海にせり出すように建つ大きなモスク。塔の高さは210mで、世界でもっとも高い塔をもつモスクの一つ。	33.608	-7.633
sossusvlei	ソススフレイ	ナミビア	そすすふれい	Sossusvlei Deadvlei	世界最古の砂漠にある オレンジ色の砂丘。白い干上がった湖に 枯れた木が立つ「デッドフレイ」で有名。	-24.73	15.34
serengeti	セレンゲティ	タンザニア	せれんげてぃ	Serengeti wildebeest migration	ライオンやゾウがくらす広い草原。毎年150万頭のヌーが草を求めて大移動する。	-2.33	34.83
lalibela	ラリベラの岩窟教会	エチオピア	らりべらのがんくつきょうかい	Lalibela Church of Saint George	大きな一枚の岩を上からほって作った教会群。十字の形の聖ギオルギス教会がいちばん有名。	12.033	39.041
karnak	カルナック神殿	エジプト・ルクソール	かるなっくしんでん	Karnak Temple Great Hypostyle Hall	古代エジプト最大の神殿。高さ20m以上の柱が134本も林のようにならぶ大列柱室がある。	25.719	32.657
valleyofkings	王家の谷	エジプト・ルクソール	おうけのたに	Valley of the Kings	古代エジプトの王たちのお墓が集まる谷。少年王ツタンカーメンの墓が、宝物とともに見つかった。	25.740	32.601
capeofgoodhope	喜望峰	南アフリカ	きぼうほう	Cape of Good Hope	アフリカ大陸の南西のはしにある岬。1488年にヨーロッパの船がここを回って、インドへの道が開けた。	-34.357	18.474
boulders	ボルダーズビーチ	南アフリカ	ぼるだーずびーち	Boulders Beach penguins	大きな丸い岩と白い砂の浜。野生のアフリカペンギンが約2000羽くらし、すぐ近くで見られる。	-34.197	18.451
okavango	オカバンゴ・デルタ	ボツワナ	おかばんごでるた	Okavango Delta aerial	砂漠のまん中に川が広がってできた 世界最大級の内陸の三角州。ゾウやカバがくらす。	-19.28	22.90
masaimara	マサイマラ	ケニア	まさいまら	Masai Mara elephants	ケニアの草原の保護区。ライオン・ゾウ・キリンなどに会えるサファリで有名。マサイの人々の土地。	-1.49	35.14
tiantan	天壇	中国・北京	てんだん	Temple of Heaven Hall of Prayer	皇帝が豊作をいのった祭壇。青い瓦の丸い屋根が3段に重なる「祈年殿」が有名。	39.882	116.407
summerpalace	頤和園	中国・北京	いわえん	Summer Palace Beijing Kunming Lake	皇帝の夏の宮殿。大きな湖と丘があり、長さ728mの絵が描かれた回廊がつづく。	39.999	116.275
bund	外灘	中国・上海	わいたん	The Bund Shanghai	上海の川ぞいの通り。古い西洋風の建物がならび、川の向こうに超高層ビルがそびえる。	31.24	121.49
jiuzhaigou	九寨溝	中国	きゅうさいこう	Jiuzhaigou lake	山の谷に 青や緑にすきとおった湖が100以上ある。石灰がとけた水で、秋は紅葉がうつる。	33.26	103.92
zhangjiajie	張家界	中国	ちょうかかい	Zhangjiajie National Forest Park	高さ200m以上の岩の柱が3000本以上そびえる。映画「アバター」の浮かぶ山のモデルになった。	29.32	110.43
huangshan	黄山	中国	こうざん	Huangshan mountains	ふしぎな形の岩と松、雲海で知られる山。昔から山水画の題材になった。世界遺産。	30.13	118.17
leshan	楽山大仏	中国	らくさんだいぶつ	Leshan Giant Buddha	川ぞいの崖にほられた 高さ71mの世界最大の石の仏像。約1200年前に完成した。	29.545	103.773
lijiang	麗江古城	中国	れいこうこじょう	Lijiang Old Town	800年前からの町並みが残る。水路が町中を流れ、石だたみの道と木の家がつづく。世界遺産。	26.87	100.23
victoriapeak	ビクトリア・ピーク	香港	びくとりあぴーく	Victoria Peak Hong Kong daytime	香港でいちばん高い山。頂上からは高層ビルの森と港が見わたせ、急な坂をトラムで登る。	22.275	114.145
macau	聖ポール天主堂跡	マカオ	せいぽーるてんしゅどうあと	Ruins of St. Paul's Macau	火事で正面の壁だけが残った教会あと。石の壁に日本人が作ったといわれる彫刻がある。	22.198	113.541
taipei101	台北101	台湾・台北	たいぺいいちまるいち	Taipei 101	高さ508mの超高層ビル。竹の節のような形で、2004年の完成時は世界一高かった。	25.034	121.565
jiufen	九份	台湾	きゅうふん	Jiufen old street daytime	山の斜面に赤いちょうちんの店がならぶ町。金の採掘でにぎわい、今は茶芸館や屋台が人気。	25.109	121.845
taroko	太魯閣	台湾	たろこ	Taroko Gorge	大理石の岩が高くそびえる峡谷。川がけずった白い岩の谷に、道とトンネルが通っている。	24.16	121.49
gyeongbok	景福宮	韓国・ソウル	けいふくきゅう	Gyeongbokgung Geunjeongjeon	朝鮮王朝の王の宮殿。色あざやかな門と屋根があり、衛兵の交代式が見られる。	37.580	126.977
grandpalace	ワット・プラケオ	タイ・バンコク	わっとぷらけお	Wat Phra Kaew Grand Palace Bangkok	王宮の中にある寺。金色に光る仏塔と、ヒスイでできたエメラルド仏がまつられている。	13.751	100.492
ayutthaya	アユタヤ	タイ	あゆたや	Ayutthaya Wat Mahathat	400年つづいた王国の都のあと。木の根に包まれた仏像の頭や、たくさんの仏塔が残る。世界遺産。	14.357	100.568
doisuthep	ドイ・ステープ	タイ・チェンマイ	どいすてーぷ	Wat Phra That Doi Suthep	山の上にある金色の仏塔の寺。306段の階段を登ると、チェンマイの町を見わたせる。	18.805	98.922
railay	ライレイ	タイ・クラビ	らいれい	Railay Beach Krabi	石灰岩の崖にかこまれ、船でしか行けないビーチ。白い砂とエメラルドの海で、ロッククライミングでも有名。	8.01	98.84
hoian	ホイアン	ベトナム	ほいあん	Hoi An Ancient Town	昔の貿易港の町。黄色い壁の古い家と 色とりどりのランタンがならび、日本人が作ったといわれる橋がある。	15.877	108.327
hue	フエの王宮	ベトナム	ふえのおうきゅう	Hue Imperial City Ngo Mon	ベトナム最後の王朝の都。城壁の中に赤い門と宮殿があり、川のそばに建つ。世界遺産。	16.470	107.579
luangprabang	ルアンパバーン	ラオス	るあんぱばーん	Luang Prabang Wat Xieng Thong	メコン川ぞいの古い都。金色にかがやく寺が多く、朝にはお坊さんの托鉢の列が歩く。	19.886	102.135
petronas	ペトロナスツインタワー	マレーシア・クアラルンプール	ぺとろなすついんたわー	Petronas Twin Towers	高さ452mの2つの塔。41階と42階が橋でつながっていて、ツインタワーとしては世界一高い。	3.158	101.712
marinabay	マリーナベイ・サンズ	シンガポール	まりーなべいさんず	Marina Bay Sands	3つのビルの上に船のような屋上がのった ホテル。屋上のプールは地上200mの高さにある。	1.284	103.860
merlion	マーライオン	シンガポール	まーらいおん	Merlion statue Singapore	頭がライオン、体が魚の像。口から水を出しながら港を見ている、シンガポールのシンボル。	1.287	103.855
prambanan	プランバナン	インドネシア	ぷらんばなん	Prambanan temple	9世紀に建てられたヒンドゥー教の寺院群。高さ47mの塔をふくめ、とがった塔がならぶ。	-7.752	110.492
tanahlot	タナロット寺院	インドネシア・バリ島	たなろっとじいん	Tanah Lot	海の岩の上に建つ寺。潮が満ちると島になり、夕日とともに見る姿が有名。	-8.621	115.087
tegalalang	テガララン	インドネシア・バリ島	てがららん	Tegallalang rice terraces	谷の斜面に階段のように広がる田んぼ。1000年つづく水の分け方「スバック」で守られている。	-8.432	115.279
komodo	コモド島	インドネシア	こもどとう	Komodo dragon Komodo island	世界最大のトカゲ、コモドオオトカゲがすむ島。体長3m以上になり、この島のまわりにしかいない。	-8.55	119.49
bromo	ブロモ山	インドネシア	ぶろもさん	Mount Bromo	砂の海のまん中にそびえる火山。今も煙を上げていて、朝日に照らされる姿が人気。	-7.942	112.953
chocolatehills	チョコレートヒルズ	フィリピン	ちょこれーとひるず	Chocolate Hills Bohol	高さ30〜50mのまるい丘が1200以上ならぶ。乾季に草が茶色になり、チョコレートのように見える。	9.83	124.14
banaue	バナウェの棚田	フィリピン	ばなうぇのたなだ	Banaue Rice Terraces	2000年前から山の斜面に作られてきた田んぼ。「天国への階段」とよばれ世界遺産。	16.93	121.06
hawamahal	風の宮殿	インド・ジャイプール	かぜのきゅうでん	Hawa Mahal	ピンク色の壁に953の小さな窓がならぶ宮殿。宮殿の女性たちが外の様子を見るために作られた。	26.924	75.827
amber	アンベール城	インド・ジャイプール	あんべーるじょう	Amber Fort Jaipur	丘の上に建つ 黄色い石の城。ゾウに乗って坂を登り、鏡でかざられた部屋が有名。	26.985	75.851
varanasi	バラナシ	インド	ばらなし	Varanasi ghats Ganges	ガンジス川のほとりの聖なる町。川岸の階段(ガート)で人々が沐浴し、いのりをささげる。	25.31	83.01
ellora	エローラ石窟	インド	えろーらせっくつ	Ellora Kailasa temple	岩山をほって作った34の寺院。カイラーサ寺院は一枚の岩を上から下へ100年かけてほった。	20.026	75.179
gateway	インド門	インド・ムンバイ	いんどもん	Gateway of India Mumbai	港に立つ高さ26mの門。イギリス国王の来訪を記念して1924年に建てられた。	18.922	72.835
sigiriya	シギリヤ・ロック	スリランカ	しぎりやろっく	Sigiriya rock	高さ約200mの岩の上に王宮のあとがある。1500年前の壁画「シギリヤ・レディ」でも有名。	7.957	80.760
taktsang	タクツァン僧院	ブータン	たくつぁんそういん	Taktsang Paro	崖にはりつくように建つ寺。「虎の巣」という意味で、標高3000mの山道を歩いて登る。	27.492	89.363
boudhanath	ボダナート	ネパール・カトマンズ	ぼだなーと	Boudhanath stupa	世界最大級の仏塔。白いドームの上に「ブッダの目」が描かれていて、四方を見ている。	27.721	85.362
registan	レギスタン広場	ウズベキスタン・サマルカンド	れぎすたんひろば	Registan Samarkand	青いタイルでかざられた3つの学校(マドラサ)にかこまれた広場。シルクロードの中心だった。	39.655	66.976
baikal	バイカル湖	ロシア	ばいかるこ	Lake Baikal	深さ1642mで世界一深い湖。世界の淡水の約2割がここにあり、冬は透明な氷におおわれる。	53.5	108.0
yosemite	ヨセミテ	アメリカ	よせみて	Yosemite Valley Tunnel View	氷河がけずった大きな谷。高さ1000mの岩「エル・キャピタン」や、ハーフドームがそびえる。	37.746	-119.593
zion	ザイオン	アメリカ	ざいおん	Zion National Park canyon	赤い岩の崖が高さ600mもそびえる谷。川の中を歩く「ナローズ」というコースで有名。	37.30	-113.05
delicatearch	デリケート・アーチ	アメリカ	でりけーとあーち	Delicate Arch	赤い岩が自然にけずられてできた 高さ16mのアーチ。アーチーズ国立公園には2000以上のアーチがある。	38.744	-109.499
bryce	ブライスキャニオン	アメリカ	ぶらいすきゃにおん	Bryce Canyon amphitheater	オレンジ色の岩の柱「フードゥー」が何千本も立つ。朝日に照らされると赤くかがやく。	37.593	-112.187
horseshoe	ホースシューベンド	アメリカ	ほーすしゅーべんど	Horseshoe Bend	コロラド川が馬のひづめの形に大きく曲がる場所。高さ300mの崖の上から見おろす。	36.879	-111.510
hollywood	ハリウッドサイン	アメリカ・ロサンゼルス	はりうっどさいん	Hollywood Sign	丘の上に立つ高さ14mの白い文字。1923年に不動産の広告として作られ、映画の町のシンボルになった。	34.134	-118.322
alcatraz	アルカトラズ島	アメリカ・サンフランシスコ	あるかとらずとう	Alcatraz Island	湾にうかぶ小さな島。かつて「脱出できない刑務所」があり、今は見学できる。	37.827	-122.423
spaceneedle	スペースニードル	アメリカ・シアトル	すぺーすにーどる	Space Needle	1962年の万博で建てられた高さ184mの塔。UFOのような展望台がのっている。	47.620	-122.349
brooklyn	ブルックリン橋	アメリカ・ニューヨーク	ぶるっくりんばし	Brooklyn Bridge	1883年にできた石の塔をもつつり橋。完成したときは世界一長いつり橋だった。歩いてわたれる。	40.706	-73.997
centralpark	セントラルパーク	アメリカ・ニューヨーク	せんとらるぱーく	Central Park aerial	高層ビルにかこまれた 大きな公園。広さは東京ドーム約73個分で、池や動物園がある。	40.782	-73.965
washington	ワシントン記念塔	アメリカ・ワシントン	わしんとんきねんとう	Washington Monument	初代大統領ワシントンを記念した高さ169mの塔。白い石でできていて、池にうつる姿が有名。	38.889	-77.035
waikiki	ワイキキビーチ	アメリカ・ハワイ	わいききびーち	Waikiki Beach Diamond Head	ハワイでいちばん有名なビーチ。ホテルがならぶ浜からダイヤモンドヘッドが見え、サーフィンが人気。	21.277	-157.827
kilauea	キラウエア火山	アメリカ・ハワイ	きらうえあかざん	Kilauea volcano Hawaii caldera	世界でもっとも活発な火山の一つ。火口から溶岩が流れ出し、新しい土地を作りつづけている。	19.421	-155.287
napali	ナパリコースト	アメリカ・ハワイ	なぱりこーすと	Na Pali Coast	カウアイ島の北西にそびえる 緑の崖の海岸。道が無く、船やヘリコプターから見る。	22.18	-159.65
denali	デナリ	アメリカ・アラスカ	でなり	Denali mountain	標高6190mで北アメリカでいちばん高い山。「偉大なもの」という意味の先住民の言葉。	63.069	-151.007
deathvalley	デスバレー	アメリカ	ですばれー	Death Valley Zabriskie Point	北アメリカでいちばん暑く低い場所。気温56.7℃の世界記録があり、しま模様の岩の丘が広がる。	36.42	-116.87
louise	レイクルイーズ	カナダ	れいくるいーず	Lake Louise Alberta	氷河がとけたエメラルド色の湖。カナディアンロッキーの山にかこまれ、湖のほとりにホテルがある。	51.417	-116.217
moraine	モレーン湖	カナダ	もれーんこ	Moraine Lake	10の山にかこまれた青い湖。昔のカナダの20ドル札に描かれていた。	51.328	-116.182
cntower	CNタワー	カナダ・トロント	しーえぬたわー	CN Tower Toronto	高さ553mの塔。1976年から30年以上 世界一高い塔だった。ガラスの床の展望台がある。	43.643	-79.387
quebec	ケベック旧市街	カナダ	けべっくきゅうしがい	Quebec City Château Frontenac	城壁にかこまれた北アメリカで唯一の町。お城のようなホテルが崖の上に立ち、フランス語が話される。	46.812	-71.205
tulum	トゥルム遺跡	メキシコ	とぅるむいせき	Tulum ruins	カリブ海の崖の上に建つマヤの遺跡。青い海を見おろす神殿があり、ビーチで泳げる。	20.215	-87.429
guanajuato	グアナフアト	メキシコ	ぐあなふあと	Guanajuato colorful city	銀で栄えた山の町。色とりどりの家が谷にひしめき、町の下を地下道が通る。世界遺産。	21.019	-101.257
havana	ハバナ旧市街	キューバ	はばなきゅうしがい	Havana old town street	カラフルな古い建物と、1950年代のアメリカ車が走る町。世界遺産。	23.136	-82.359
panama	パナマ運河	パナマ	ぱなまうんが	Panama Canal Miraflores locks	太平洋と大西洋をむすぶ全長80kmの運河。船を水の階段(閘門)で持ち上げて山をこえる。	8.995	-79.591
arenal	アレナル火山	コスタリカ	あれなるかざん	Arenal Volcano	きれいな円すいの形をした火山。ふもとに温泉があり、ジャングルにはナマケモノもいる。	10.463	-84.703
