# 偉人。key	名前	国・時代	よみ	Wikipediaの題名(肖像)	プロフィール	緯度	経度	名言	名言の解説	はじめのレベル(1)	生まれた所
newton	ニュートン	イギリス・1642〜1727	にゅーとん	アイザック・ニュートン	りんごが落ちるのを見て万有引力を発見したと伝えられる物理学者。運動の法則を作り、近代の科学のもとを築いた。	52.81	-0.62	私が遠くを見ることができたのは、巨人の肩の上に立っていたからだ。	自分の発見は、先に研究した人たち(巨人)の積み重ねがあったからできた、という感謝の言葉。	1	ウールスソープ(イギリス)
galileo	ガリレオ	イタリア・1564〜1642	がりれお	ガリレオ・ガリレイ	望遠鏡で木星の衛星を見つけ、地球が太陽のまわりを回っていると主張した天文学者。「近代科学の父」。	43.72	10.4	それでも地球は動く。	地動説を取り消すよう裁判で命じられたあとに、つぶやいたと伝えられる言葉。本当に言ったかはわからないが、真実を曲げない心を表している。	1	ピサ(イタリア)
columbus	コロンブス	イタリア・1451〜1506	ころんぶす	クリストファー・コロンブス	1492年、大西洋を西へ進んでアメリカ大陸にたどり着いた探検家。地球が丸いと信じて航海に出た。	44.41	8.93	だれでも、やってしまえば簡単なこと。それを最初にやるのが難しいのだ。	「コロンブスの卵」の話。卵を立てられるかと聞かれ、底を少しつぶして立てた。やり方を見れば簡単でも、最初に思いつくのはすごいこと。	1	ジェノバ(イタリア)
shakespeare	シェイクスピア	イギリス・1564〜1616	しぇいくすぴあ	ウィリアム・シェイクスピア	「ロミオとジュリエット」「ハムレット」などを書いた劇作家。英語で書かれた作品の中で、もっとも有名な作家。	52.19	-1.71	生きるべきか、死ぬべきか、それが問題だ。	「ハムレット」の中で主人公が悩む場面の言葉。人生の大きな決断の前で迷う気持ちを表した、世界一有名なせりふ。	1	ストラトフォード(イギリス)
picasso	ピカソ	スペイン・1881〜1973	ぴかそ	パブロ・ピカソ	20世紀を代表する画家。ものをいろいろな角度から見て描く「キュビスム」を作った。生涯に作った作品は10万点以上。	36.72	-4.42	子どもはだれでも芸術家だ。問題は、大人になっても芸術家でいられるかどうかだ。	子どもは自由な発想で絵を描ける。大きくなってもその自由な心をなくさないことが大切だ、という意味。	1	マラガ(スペイン)
gogh	ゴッホ	オランダ・1853〜1890	ごっほ	フィンセント・ファン・ゴッホ	「ひまわり」「星月夜」を描いた画家。生きているあいだに売れた絵は1枚だけだったが、今は世界中で愛されている。	51.47	4.66	偉大なことは、衝動ではなく、小さなことの積み重ねで成しとげられる。	すごいことは一気にできるのではなく、毎日の小さな努力が積み重なってできる、という意味。弟テオへの手紙に書いた。	1	ズンデルト(オランダ)
monet	モネ	フランス・1840〜1926	もね	クロード・モネ	光の変化を描いた「印象派」の画家。同じ「睡蓮」の池を、朝と夕方で何百枚も描いた。	48.86	2.35	みんなが私の芸術について議論し、理解したふりをする。ただ愛せばいいのに。	絵はむずかしく考えて解説するものではなく、見て心が動けばそれでいい、という意味。		パリ(フランス)
napoleon	ナポレオン	フランス・1769〜1821	なぽれおん	ナポレオン・ボナパルト	フランス革命のあと皇帝になり、ヨーロッパの大部分を支配した軍人。法律の本「ナポレオン法典」も作った。	41.93	8.74	余の辞書に、不可能という文字はない。	できないことなどない、やればできる、という強い意志を表す言葉。アルプス山脈を軍隊でこえたときの話とともに伝えられている。	1	アジャクシオ(フランス)
jeanne	ジャンヌ・ダルク	フランス・1412ごろ〜1431	じゃんぬだるく	ジャンヌ・ダルク	百年戦争のとき、17歳でフランス軍を率いてイギリス軍に勝った少女。「オルレアンの乙女」と呼ばれる。	48.44	5.67	私は恐れていません。私はこのために生まれたのですから。	自分のやるべきことを信じているから、こわくない、という言葉。農民の娘が国を救う戦いに出た強さを表している。	1	ドンレミ(フランス)
curie	マリー・キュリー	ポーランド・1867〜1934	まりーきゅりー	マリ・キュリー	ラジウムとポロニウムを発見した科学者。女性で初めてノーベル賞を受け、物理学賞と化学賞の2回受賞した。	52.23	21.01	人生に恐れるものは何もありません。理解すべきものがあるだけです。	わからないからこわいだけで、ちゃんと理解すれば恐れる必要はない、という科学者らしい言葉。	1	ワルシャワ(ポーランド)
anne	アンネ・フランク	ドイツ・1929〜1945	あんねふらんく	アンネ・フランク	ナチスから隠れて暮らした2年間を「アンネの日記」に書いた少女。15歳で強制収容所で亡くなったが、日記は世界中で読まれている。	50.11	8.68	それでも私は、人の心は本当は善良なのだと信じています。	ひどい目にあっていても、人間の心の中にはやさしさがあると信じる、という日記の言葉。	1	フランクフルト(ドイツ)
teresa	マザー・テレサ	北マケドニア・1910〜1997	まざーてれさ	マザー・テレサ	インドのコルカタで、貧しい人や病気の人のために一生をささげた修道女。1979年にノーベル平和賞を受けた。	41.99	21.43	大きなことはできません。小さなことを、大きな愛でするだけです。	世界を変えるような大きなことでなくても、目の前のことを心をこめてやることが大切だ、という意味。	1	スコピエ(北マケドニア)
franklin	ベンジャミン・フランクリン	アメリカ・1706〜1790	べんじゃみんふらんくりん	ベンジャミン・フランクリン	たこを使った実験でかみなりが電気だと証明した科学者で、アメリカ独立宣言を作った政治家でもある。避雷針を発明した。	42.36	-71.06	時は金なり。	時間はお金と同じくらい大切で、むだにしてはいけない、という意味。今では日本でもことわざのように使われている。	1	ボストン(アメリカ)
socrates	ソクラテス	ギリシャ・前469ごろ〜前399	そくらてす	ソクラテス	古代ギリシャの哲学者。人と対話しながら「本当の正しさとは何か」を考えた。裁判で死刑になっても自分の考えを曲げなかった。	37.98	23.73	私は、自分が何も知らないということを知っている。	「無知の知」と呼ばれる言葉。自分は知らないと自覚しているぶん、知ったつもりの人より賢い、という考え。学びの出発点。	1	アテネ(ギリシャ)
plato	プラトン	ギリシャ・前427〜前347	ぷらとん	プラトン	ソクラテスの弟子で、学校「アカデメイア」を作った哲学者。目に見えるものの奥に本当の姿(イデア)があると考えた。	37.98	23.73	はじめが、仕事のいちばん大切な部分だ。	何かを始めるときの最初の一歩と土台作りがいちばん大事だ、という意味。		アテネ(ギリシャ)
aristotle	アリストテレス	ギリシャ・前384〜前322	ありすとてれす	アリストテレス	プラトンの弟子で、アレクサンドロス大王の先生。生き物・政治・論理など、あらゆる学問のもとを作り「万学の祖」と呼ばれる。	40.53	23.75	人間は、社会的な動物である。	人はひとりでは生きられず、仲間と社会を作って生きる生き物だ、という意味。		スタゲイラ(ギリシャ)
confucius	孔子	中国・前551〜前479	こうし	孔子	中国の思想家で、儒教のもとを作った。弟子たちが言葉を集めた「論語」は、日本でも長く読まれてきた。	35.6	116.99	己の欲せざるところ、人に施すことなかれ。	自分がされていやなことは、人にもしてはいけない、という教え。「論語」の中でもいちばん有名な言葉の一つ。	1	曲阜(中国)
laozi	老子	中国・前6世紀ごろ	ろうし	老子	中国の思想家で、道教のもとになった「老子」を書いたとされる。無理をせず自然のままに生きることを説いた。	33.86	115.48	千里の道も一歩から。	どんなに遠い道のりも、最初の一歩から始まる。大きな目標も、まず目の前の小さなことから始めよう、という意味。	1	鹿邑(中国)
buddha	ブッダ（釈迦）	ネパール・前5世紀ごろ	ぶっだ	釈迦	仏教を開いた人。王子として生まれたが、苦しみの原因を知るために出家し、さとりを開いた。	27.47	83.28	自らを灯火とせよ。	人にたよるのではなく、自分自身をよりどころにして生きなさい、という最後の教え。「自灯明」と呼ばれる。	1	ルンビニ(ネパール)
alexander	アレクサンドロス大王	マケドニア・前356〜前323	あれくさんどろすたいおう	アレクサンドロス3世	20歳で王になり、ギリシャからインドまでの大帝国を築いた。東と西の文化が混ざるきっかけを作った。	40.76	22.52	挑戦する者にとって、不可能なことは何もない。	やってみようと決めた人には、できないことはない、という意味。33歳で亡くなるまで世界の果てをめざした王の言葉。		ペラ(ギリシャ)
caesar	カエサル	ローマ・前100〜前44	かえさる	ガイウス・ユリウス・カエサル	古代ローマの将軍・政治家。ガリア(今のフランス)を征服し、ローマの実権をにぎった。「シーザー」とも呼ばれる。	41.9	12.5	賽は投げられた。	もう後もどりはできない、という意味。ルビコン川をわたってローマに攻めこむと決めたときの言葉。サイコロを投げたら結果を待つしかない。	1	ローマ(イタリア)
marcopolo	マルコ・ポーロ	イタリア・1254〜1324	まるこぽーろ	マルコ・ポーロ	中国(元)まで旅をして「東方見聞録」を書いた商人。日本を「黄金の国ジパング」としてヨーロッパに伝えた。	45.44	12.33	私は、見たことの半分も語っていない。	亡くなる前に言ったと伝えられる言葉。本に書いた以上に、旅で見たものはすばらしかった、という意味。		ベネチア(イタリア)
michelangelo	ミケランジェロ	イタリア・1475〜1564	みけらんじぇろ	ミケランジェロ・ブオナローティ	「ダビデ像」やシスティーナ礼拝堂の天井画を作った彫刻家・画家。ルネサンスを代表する芸術家。	43.64	11.99	私は大理石の中に天使を見た。そして、天使が自由になるまで彫った。	作品はゼロから作るのではなく、石の中にもうある形を取り出すだけだ、という考え。ものの中に隠れた良さを見つける目を表す。		カプレーゼ(イタリア)
darwin	ダーウィン	イギリス・1809〜1882	だーうぃん	チャールズ・ダーウィン	ビーグル号で世界を回り、生き物が長い時間をかけて変わっていく「進化論」を発表した。「種の起源」を書いた。	52.71	-2.75	無知は、知識よりもしばしば自信を生む。	よく知らない人ほど自信満々に言い切り、よく知っている人ほど慎重になる、という意味。		シュルーズベリー(イギリス)
pasteur	パスツール	フランス・1822〜1895	ぱすつーる	ルイ・パスツール	目に見えない微生物が病気や腐敗の原因だと明らかにした科学者。狂犬病のワクチンを作り、牛乳の殺菌法にも名前が残る。	47.09	5.49	幸運は、準備された心にのみ宿る。	チャンスはだれにでも来るが、それを生かせるのは日ごろから準備している人だけだ、という意味。		ドール(フランス)
nobel	ノーベル	スウェーデン・1833〜1896	のーべる	アルフレッド・ノーベル	ダイナマイトを発明して大金持ちになり、その財産で「ノーベル賞」を作った。人類に役立った人をたたえる賞。	59.33	18.07	1000のアイデアのうち1つでも良いものがあれば、私は満足だ。	たくさん失敗しても、その中に1つ本物があればいい、という発明家らしい考え。	1	ストックホルム(スウェーデン)
bell	グラハム・ベル	イギリス・1847〜1922	ぐらはむべる	アレクサンダー・グラハム・ベル	電話を発明した科学者。耳の不自由な人のための教育にも力を入れ、ヘレン・ケラーとサリバン先生を引き合わせた。	55.95	-3.19	一つのドアが閉まると、別のドアが開く。だが私たちは閉まったドアばかり見て、開いたドアに気づかないことが多い。	失敗してもほかの道がある。だめだったことばかり見ていると、新しいチャンスを見のがすという意味。	1	エディンバラ(イギリス)
ford	ヘンリー・フォード	アメリカ・1863〜1947	へんりーふぉーど	ヘンリー・フォード	流れ作業で自動車を安く大量に作り、ふつうの人が車を持てるようにした。フォード社を作った人。	42.32	-83.18	できると思えばできる。できないと思えばできない。どちらも正しい。	うまくいくかどうかは、自分がどう思うかで決まる、という意味。気持ちが結果を作るという考え。		ディアボーン(アメリカ)
jobs	スティーブ・ジョブズ	アメリカ・1955〜2011	すてぃーぶじょぶず	スティーブ・ジョブズ	アップルを作り、iPhone や Mac を世に出した人。世界の暮らしを変えた製品を次々に生み出した。	37.77	-122.42	ハングリーであれ。愚かであれ。	満足せずに求め続け、人にどう思われても自分の道を行け、という意味。2005年の大学の卒業式のスピーチの最後の言葉。	1	サンフランシスコ(アメリカ)
disney	ウォルト・ディズニー	アメリカ・1901〜1966	うぉるとでぃずにー	ウォルト・ディズニー	ミッキーマウスを生み出し、ディズニーランドを作った人。世界で初めての長編アニメ映画「白雪姫」も作った。	41.88	-87.63	夢見ることができれば、それは実現できる。	心の中で思いえがけることは、努力すれば本当にできる、という意味。ディズニーの考え方を表す言葉として広まった。	1	シカゴ(アメリカ)
chaplin	チャップリン	イギリス・1889〜1977	ちゃっぷりん	チャールズ・チャップリン	山高帽とちょびひげの姿で世界中を笑わせた喜劇王。「モダン・タイムス」「独裁者」など、笑いの中に社会への思いをこめた。	51.51	-0.13	人生はクローズアップで見れば悲劇だが、ロングショットで見れば喜劇だ。	つらいことも、少しはなれて見ればおかしく思える。悩みすぎず、ちょっと引いて見てみよう、という意味。	1	ロンドン(イギリス)
hepburn	オードリー・ヘプバーン	ベルギー・1929〜1993	おーどりーへっぷばーん	オードリー・ヘプバーン	「ローマの休日」で世界を魅了した女優。晩年はユニセフの大使として、貧しい国の子どもたちのために働いた。	50.85	4.35	不可能なことなんてない。impossible という言葉自体が I'm possible と言っているのだから。	「不可能」という英語を区切ると「私はできる」になる、という言葉遊び。どんなときも前向きに考えよう、という意味。		ブリュッセル(ベルギー)
armstrong	アームストロング	アメリカ・1930〜2012	あーむすとろんぐ	ニール・アームストロング	1969年、アポロ11号で人類として初めて月に立った宇宙飛行士。	40.57	-84.19	これは一人の人間にとっては小さな一歩だが、人類にとっては偉大な飛躍である。	月に降り立った瞬間の言葉。一歩は小さいが、人類の歴史にとってはとても大きな出来事だ、という意味。	1	ワパコネタ(アメリカ)
gagarin	ガガーリン	ソ連・1934〜1968	ががーりん	ユーリイ・ガガーリン	1961年、人類で初めて宇宙へ行った宇宙飛行士。地球を1周して無事に帰ってきた。	55.55	35.07	地球は青かった。	宇宙から地球をながめたときの言葉。日本ではこの形で有名になった。人類が初めて外から見た地球の姿を伝えた。	1	クルシノ(ロシア)
tesla	テスラ	クロアチア・1856〜1943	てすら	ニコラ・テスラ	交流の電気や無線の技術を作った発明家。今の電気の送り方は、テスラの仕組みがもとになっている。	44.58	15.32	現在は彼らのものだが、未来は私のものだ。	今は認められなくても、自分の研究はいつか世界を変える、という強い自信。実際に電気の未来はテスラの方式になった。		スミリャン(クロアチア)
ruth	ベーブ・ルース	アメリカ・1895〜1948	べーぶるーす	ベーブ・ルース	メジャーリーグで714本のホームランを打った野球の伝説。「野球の神様」と呼ばれる。	39.29	-76.61	三振をこわがって、バットをふらないでいてはいけない。	失敗をおそれて何もしないのがいちばんもったいない、という意味。ホームラン王は三振の数も多かった。	1	ボルチモア(アメリカ)
pele	ペレ	ブラジル・1940〜2022	ぺれ	ペレ	17歳でワールドカップに優勝し、生涯に1000点以上をとったサッカーの王様。ワールドカップ優勝3回はペレだけ。	-21.69	-45.25	成功は偶然ではない。努力、忍耐、学び、犠牲、そして何より、自分のしていることを愛することだ。	才能だけでは成功しない。練習を続け、好きな気持ちを持ち続けることが大切だ、という意味。	1	トレス・コラソンイス(ブラジル)
ali	モハメド・アリ	アメリカ・1942〜2016	もはめどあり	モハメド・アリ	ボクシングの世界ヘビー級王者。リングの外でも人種差別や戦争に反対し、行動した。	38.25	-85.76	蝶のように舞い、蜂のように刺す。	軽やかに動き、するどく打つ、という自分のボクシングを表した言葉。強さと美しさの両方をめざした。	1	ルイビル(アメリカ)
goethe	ゲーテ	ドイツ・1749〜1832	げーて	ヨハン・ヴォルフガング・フォン・ゲーテ	「ファウスト」「若きウェルテルの悩み」を書いたドイツを代表する作家。詩人・科学者・政治家でもあった。	50.11	8.68	涙とともにパンを食べた者でなければ、人生の味はわからない。	つらい経験をした人ほど、本当の喜びや人のやさしさがわかる、という意味。		フランクフルト(ドイツ)
andersen	アンデルセン	デンマーク・1805〜1875	あんでるせん	ハンス・クリスチャン・アンデルセン	「人魚姫」「みにくいアヒルの子」「マッチ売りの少女」を書いた童話作家。貧しい靴屋の家に生まれた。	55.4	10.39	旅することは、生きることだ。	新しい場所へ行き、新しいものを見ることが人生を豊かにする、という意味。生涯に30回近く外国を旅した。	1	オーデンセ(デンマーク)
tolstoy	トルストイ	ロシア・1828〜1910	とるすとい	レフ・トルストイ	「戦争と平和」「アンナ・カレーニナ」を書いたロシアの作家。晩年は農民のように質素に暮らした。	54.07	37.52	だれもが世界を変えようと考えるが、だれも自分を変えようとは考えない。	世界を良くしたいなら、人を変えようとする前に、まず自分自身を変えることから始めよう、という意味。		ヤースナヤ・ポリャーナ(ロシア)
dostoevsky	ドストエフスキー	ロシア・1821〜1881	どすとえふすきー	フョードル・ドストエフスキー	「罪と罰」「カラマーゾフの兄弟」を書いた作家。人の心の深いところを描いた。	55.75	37.62	美は、世界を救う。	「白痴」の中の言葉。美しいものや美しい心こそが、人と世界を良いほうへ動かす力になる、という意味。		モスクワ(ロシア)
hemingway	ヘミングウェイ	アメリカ・1899〜1961	へみんぐうぇい	アーネスト・ヘミングウェイ	「老人と海」「誰がために鐘は鳴る」を書いた作家。短く力強い文章で知られ、ノーベル文学賞を受けた。	41.89	-87.79	人間は負けるようには造られていない。破壊されることはあっても、負けはしないのだ。	「老人と海」の言葉。体はぼろぼろになっても、心まで負けなければ負けではない、という意味。		オークパーク(アメリカ)
exupery	サン＝テグジュペリ	フランス・1900〜1944	さんてぐじゅぺり	アントワーヌ・ド・サン＝テグジュペリ	「星の王子さま」を書いた作家で、飛行機のパイロットでもあった。飛行中に行方不明になった。	45.76	4.84	大切なものは、目に見えない。	「星の王子さま」でキツネが教える言葉。心や友情のように、本当に大事なものは目では見えず、心で見るしかない、という意味。	1	リヨン(フランス)
hugo	ヴィクトル・ユゴー	フランス・1802〜1885	ゔぃくとるゆごー	ヴィクトル・ユーゴー	「レ・ミゼラブル」「ノートルダム・ド・パリ」を書いた作家。貧しい人の味方で、政治家としても活動した。	47.24	6.02	音楽は、言葉では言い表せないが、沈黙もできないことを表す。	うれしさや悲しさなど、言葉にできない気持ちを音楽は伝えられる、という意味。		ブザンソン(フランス)
dante	ダンテ	イタリア・1265〜1321	だんて	ダンテ・アリギエーリ	「神曲」を書いた詩人。地獄・煉獄・天国を旅する長い詩で、イタリア文学のもとを作った。	43.77	11.26	ここに入る者、一切の望みを捨てよ。	「神曲」で地獄の門に書かれている言葉。今では「もう後もどりできない場所」のたとえとしても使われる。		フィレンツェ(イタリア)
cervantes	セルバンテス	スペイン・1547〜1616	せるばんてす	ミゲル・デ・セルバンテス	「ドン・キホーテ」を書いた作家。風車を巨人だと思って突撃する騎士の物語は、世界で最初の近代小説といわれる。	40.48	-3.36	ペンは、心の舌である。	書くことは、心の中の思いを声に出すのと同じだ、という意味。言葉にできない気持ちも文章なら伝えられる。		アルカラ・デ・エナーレス(スペイン)
twain	マーク・トウェイン	アメリカ・1835〜1910	まーくとうぇいん	マーク・トウェイン	「トム・ソーヤーの冒険」「ハックルベリー・フィンの冒険」を書いた作家。ミシシッピ川のほとりで育った。	39.49	-91.79	今から20年後、あなたはやったことよりも、やらなかったことに失望するだろう。	失敗をこわがってやらずにいると、あとで後悔する。だから思い切ってやってみよう、という意味。		フロリダ村(アメリカ)
dickens	ディケンズ	イギリス・1812〜1870	でぃけんず	チャールズ・ディケンズ	「クリスマス・キャロル」「オリバー・ツイスト」を書いた作家。子どものころ工場で働き、貧しい人の暮らしを描いた。	50.8	-1.09	それは最良の時代であり、最悪の時代であった。	「二都物語」の書き出し。同じ時代でも、見る人によって良くも悪くも見える、という意味。世界一有名な書き出しの一つ。		ポーツマス(イギリス)
bach	バッハ	ドイツ・1685〜1750	ばっは	ヨハン・ゼバスティアン・バッハ	「G線上のアリア」などを作曲した「音楽の父」。教会のオルガン奏者として、生涯に1000曲以上を作った。	50.98	10.32	正しい鍵盤を、正しいときに押せば、楽器はひとりでに鳴る。	むずかしそうに見える演奏も、一つ一つ正しくやることの積み重ねだ、という意味。バッハらしいユーモアもある。		アイゼナハ(ドイツ)
chopin	ショパン	ポーランド・1810〜1849	しょぱん	フレデリック・ショパン	「ピアノの詩人」と呼ばれる作曲家。「英雄ポロネーズ」「子犬のワルツ」など、ピアノの名曲を数多く残した。	52.25	20.31	シンプルさこそ、最終の到達点である。	いろいろな技を身につけたあとにたどり着くのは、飾らない簡単な表現だ、という意味。		ジェラゾヴァ・ヴォラ(ポーランド)
lennon	ジョン・レノン	イギリス・1940〜1980	じょんれのん	ジョン・レノン	ビートルズのメンバーとして世界中で愛された音楽家。「イマジン」で平和を歌った。	53.41	-2.98	人生とは、君がほかの計画を立てるのに忙しいときに起きていることだ。	先のことばかり考えていると、今この瞬間を見のがしてしまう、という意味。息子のために作った歌の中の言葉。	1	リバプール(イギリス)
mandela	マンデラ	南アフリカ・1918〜2013	まんでら	ネルソン・マンデラ	人種差別の制度と戦い、27年間も牢屋に入れられたあと、南アフリカで初めての黒人の大統領になった。	-31.93	28.79	何事も、成しとげるまでは不可能に見える。	むずかしそうに見えることも、やりとげてしまえば当たり前になる。だからあきらめるな、という意味。	1	ムベゾ(南アフリカ)
churchill	チャーチル	イギリス・1874〜1965	ちゃーちる	ウィンストン・チャーチル	第二次世界大戦のとき、イギリスの首相として国民をはげまし続けた政治家。ノーベル文学賞も受けた。	51.84	-1.36	成功とは、失敗に失敗を重ねても、情熱を失わないことである。	何度失敗しても、やる気をなくさずに続けることが成功だ、という意味。		ブレナム宮殿(イギリス)
kennedy	ケネディ	アメリカ・1917〜1963	けねでぃ	ジョン・F・ケネディ	アメリカ第35代大統領。43歳の若さで大統領になり、月へ人を送る計画を始めた。	42.33	-71.12	国があなたに何をしてくれるかを問うのではなく、あなたが国のために何ができるかを問おう。	してもらうことを待つのではなく、自分から社会のためにできることをしよう、という就任演説の言葉。	1	ブルックライン(アメリカ)
gwashington	ワシントン	アメリカ・1732〜1799	わしんとん	ジョージ・ワシントン	アメリカ独立戦争で軍を率い、初代大統領になった「建国の父」。首都の名前にもなっている。	38.19	-76.93	うそはつけません。私が桜の木を切りました。	子どものころ、父の大切な桜の木を切ってしまい、正直に打ち明けたという話。作り話だとわかっているが、正直さの手本として語りつがれている。	1	ウェストモアランド郡(アメリカ)
elizabeth1	エリザベス1世	イギリス・1533〜1603	えりざべすいっせい	エリザベス1世 (イングランド女王)	イギリスの黄金時代を作った女王。スペインの無敵艦隊を破り、シェイクスピアが活躍した時代を治めた。	51.48	0.0	私は、イングランドと結婚したのです。	結婚をしないのかと聞かれて答えた言葉。自分の人生は国のためにある、という覚悟を表している。		グリニッジ(イギリス)
antoinette	マリー・アントワネット	オーストリア・1755〜1793	まりーあんとわねっと	マリー・アントワネット	フランス王ルイ16世の王妃。ぜいたくな暮らしが国民の反感を買い、フランス革命で処刑された。	48.21	16.37	パンがなければ、お菓子を食べればいいじゃない。	実はアントワネットの言葉ではなく、革命の前から広まっていた作り話。本当に言ったのか調べることの大切さを教えてくれる有名な例。		ウィーン(オーストリア)
louis14	ルイ14世	フランス・1638〜1715	るいじゅうよんせい	ルイ14世 (フランス王)	ベルサイユ宮殿を建てた「太陽王」。72年間も王の座にいて、フランスをヨーロッパ一の強い国にした。	48.9	2.09	朕は国家なり。	王である自分こそが国そのものだ、という意味。本当に言ったかはわからないが、王にすべての力が集まった時代を表す言葉。		サン＝ジェルマン＝アン＝レー(フランス)
hippocrates	ヒポクラテス	ギリシャ・前460ごろ〜前370ごろ	ひぽくらてす	ヒポクラテス	病気は神のたたりではなく体の中に原因があると考えた「医学の父」。医者の心がまえを説いた「ヒポクラテスの誓い」で知られる。	36.85	27.23	人生は短く、学びの道は長い。	一生かけても学び終わらないほど、学問の道は長い。だから時間をむだにするな、という意味。		コス島(ギリシャ)
archimedes	アルキメデス	ギリシャ・前287ごろ〜前212	あるきめです	アルキメデス	おふろで浮力の原理を発見し「エウレカ(わかった)」とさけんだ数学者・物理学者。てこの原理でも知られる。	37.08	15.29	われに支点をあたえよ。さらば地球を動かさん。	てこを使えばどんな重いものも動かせる、という意味。小さな力でも仕組みを使えば大きなことができる。	1	シラクサ(イタリア)
pythagoras	ピタゴラス	ギリシャ・前582ごろ〜前496ごろ	ぴたごらす	ピタゴラス	三平方の定理(ピタゴラスの定理)で知られる数学者。音楽の音の高さも数で表せることを見つけた。	37.75	26.98	万物は、数である。	世界のあらゆるものは数の決まりでできている、という考え。音楽も星の動きも数で説明できることを見つけた。		サモス島(ギリシャ)
