# 日本の会社。key	会社名	本社	よみ	絵文字	解説	緯度	経度	公式サイト	ティッカー	Wikipedia題名	はじめのレベル(1か空)
cjsevenandi	セブン&アイ・ホールディングス	日本・東京都千代田区	せぶんあんどあいほーるでぃんぐす	🏪	コンビニのセブン-イレブンを運営する会社。セブン-イレブンはアメリカ生まれだが、日本で大きく育ち、いまは世界中に店がある。	35.69	139.74	https://www.7andi.com/	3382.T	セブン&アイ・ホールディングス	1
cjaeon	イオン	日本・千葉県千葉市	いおん	🛒	全国にイオンモールやスーパーをもつ会社。電子マネーのWAONも出していて、本社は千葉市の幕張にある。	35.65	140.04	https://www.aeon.info/	8267.T	イオン (企業)	1
cjmcdonalds	日本マクドナルドホールディングス	日本・東京都新宿区	にほんまくどなるどほーるでぃんぐす	🍔	日本のマクドナルドを運営する会社。1971年に東京の銀座に1号店を開き、いまは全国に約3000の店がある。	35.69	139.69	https://www.mcd-holdings.co.jp/	2702.T	日本マクドナルドホールディングス	1
cjnissin	日清食品ホールディングス	日本・東京都新宿区	にっしんしょくひんほーるでぃんぐす	🍜	世界で初めてのインスタントラーメン、チキンラーメンとカップヌードルを生んだ会社。発明したのは安藤百福さん。	35.69	139.71	https://www.nissin.com/jp/	2897.T	日清食品ホールディングス	1
cjcapcom	カプコン	日本・大阪府大阪市	かぷこん	👾	ストリートファイターやモンスターハンター、ロックマン、逆転裁判などのゲームをつくる大阪の会社。	34.68	135.51	https://www.capcom.co.jp/	9697.T	カプコン	1
cjjreast	JR東日本	日本・東京都渋谷区	じぇいあーるひがしにほん	🚃	関東や東北などで電車や新幹線を走らせる鉄道会社。山手線やはやぶさ、交通系ICカードのSuicaもこの会社のもの。	35.69	139.70	https://www.jreast.co.jp/	9020.T	東日本旅客鉄道	1
cjjal	日本航空	日本・東京都品川区	にほんこうくう	✈️	日本を代表する航空会社のひとつ。赤い鶴のマークをつけた飛行機で、国内や世界の都市へ人や荷物を運んでいる。	35.62	139.75	https://www.jal.com/ja/	9201.T	日本航空	1
cjana	ANAホールディングス	日本・東京都港区	えーえぬえーほーるでぃんぐす	🛫	青い飛行機の全日空(ANA)をもつ会社。新しい旅客機ボーイング787で、世界で初めてお客さんを乗せて飛んだ。	35.66	139.76	https://www.ana.co.jp/group/	9202.T	ANAホールディングス	1
cjtoeianimation	東映アニメーション	日本・東京都中野区	とうえいあにめーしょん	📺	プリキュアやドラゴンボール、ワンピースのアニメをつくる会社。日本でとても古いアニメ会社のひとつ。	35.71	139.67	https://corp.toei-anim.co.jp/ja/	4816.T	東映アニメーション	1
cjmeiji	明治ホールディングス	日本・東京都中央区	めいじほーるでぃんぐす	🍫	明治ミルクチョコレートやきのこの山、ヨーグルトなどをつくる会社。病院で使う薬の会社も仲間にもっている。	35.68	139.77	https://www.meiji.com/	2269.T	明治ホールディングス	
cjsquareenix	スクウェア・エニックス・ホールディングス	日本・東京都新宿区	すくうぇあえにっくすほーるでぃんぐす	⚔️	ドラゴンクエストやファイナルファンタジー、キングダムハーツなどのゲームで知られる会社。本社は東京の新宿にある。	35.69	139.71	https://www.hd.square-enix.com/jpn/	9684.T	スクウェア・エニックス・ホールディングス	
cjkonami	コナミグループ	日本・東京都中央区	こなみぐるーぷ	🃏	桃太郎電鉄やパワフルプロ野球、遊戯王のカードで知られる会社。スポーツクラブの運営もしている。	35.67	139.77	https://www.konami.com/ja/	9766.T	コナミグループ	
cjsegasammy	セガサミーホールディングス	日本・東京都品川区	せがさみーほーるでぃんぐす	🦔	青いハリネズミのソニックやぷよぷよで知られるセガをもつ会社。セガはむかしゲーム機のメガドライブもつくっていた。	35.62	139.73	https://www.segasammy.co.jp/ja/	6460.T	セガサミーホールディングス	
cjkoeitecmo	コーエーテクモホールディングス	日本・神奈川県横浜市	こーえーてくもほーるでぃんぐす	🏯	信長の野望や三國志、真・三國無双など、歴史を題材にしたゲームで有名な会社。本社は神奈川県横浜市にある。	35.55	139.64	https://www.koeitecmo.co.jp/	3635.T	コーエーテクモホールディングス	
cjkadokawa	KADOKAWA	日本・東京都千代田区	かどかわ	📚	本や雑誌、マンガ、ライトノベル、アニメ、ゲームまでつくる出版社。動画サイトのニコニコ動画を運営する会社も仲間。	35.70	139.75	https://group.kadokawa.co.jp/	9468.T	KADOKAWA	
cjtoho	東宝	日本・東京都千代田区	とうほう	🦖	怪獣ゴジラの映画をつくった映画会社。全国に映画館のTOHOシネマズをもち、アニメや演劇もつくっている。	35.67	139.76	https://www.toho.co.jp/	9602.T	東宝	
cjntt	NTT	日本・東京都千代田区	えぬてぃーてぃー	☎️	日本の電話やインターネットの土台をつくる会社。携帯電話のドコモもこのグループで、光ファイバーの回線を全国に広げた。	35.69	139.77	https://group.ntt/jp/	9432.T	NTT	
cjkddi	KDDI	日本・東京都千代田区	けーでぃーでぃーあい	📱	携帯電話のauやUQモバイルを運営する通信会社。海の底に通信ケーブルをしく仕事もしている。	35.70	139.75	https://www.kddi.com/	9433.T	KDDI	
cjsoftbank	ソフトバンク	日本・東京都港区	そふとばんく	🐕	携帯電話のソフトバンクやワイモバイルを運営する通信会社。白い犬のお父さんが出てくるCMで知られる。	35.66	139.76	https://www.softbank.jp/corp/	9434.T	ソフトバンク	
cjsoftbankgroup	ソフトバンクグループ	日本・東京都港区	そふとばんくぐるーぷ	💻	孫正義さんがつくった会社。世界中の新しいIT企業にお金を出していて、スマホの頭脳を設計するアームという会社ももっている。	35.66	139.76	https://group.softbank/	9984.T	ソフトバンクグループ	
cjrakuten	楽天グループ	日本・東京都世田谷区	らくてんぐるーぷ	🛍️	インターネットの買い物サイト楽天市場をつくった会社。携帯電話や銀行、プロ野球の東北楽天ゴールデンイーグルスもある。	35.61	139.63	https://corp.rakuten.co.jp/	4755.T	楽天グループ	
cjlycorp	LINEヤフー	日本・東京都千代田区	らいんやふー	💬	連絡アプリのLINEと、検索サイトのYahoo! JAPANを運営する会社。ニュースや地図、買い物のサービスもある。	35.68	139.74	https://www.lycorp.co.jp/ja/	4689.T	LINEヤフー	
cjmercari	メルカリ	日本・東京都港区	めるかり	📦	使わなくなった物をスマホで売ったり買ったりできるフリマアプリ、メルカリをつくった会社。	35.66	139.73	https://about.mercari.com/	4385.T	メルカリ	
cjhitachi	日立製作所	日本・東京都千代田区	ひたちせいさくしょ	🚄	1910年に茨城県日立市の鉱山で生まれた会社。鉄道の車両や発電所、コンピューターのしくみをつくっている。	35.68	139.77	https://www.hitachi.co.jp/	6501.T	日立製作所	
cjcanon	キヤノン	日本・東京都大田区	きやのん	📷	カメラやプリンター、コピー機をつくる会社。社名は観音さまにちなんでつけた、むかしのカメラの名前カンノンから生まれた。	35.57	139.69	https://global.canon/ja/	7751.T	キヤノン	
cjfujifilm	富士フイルムホールディングス	日本・東京都港区	ふじふいるむほーるでぃんぐす	🎞️	写真のフィルムの会社から始まり、いまはチェキやデジタルカメラのほか、薬や化粧品、病院の機械までつくっている。	35.67	139.73	https://holdings.fujifilm.com/ja	4901.T	富士フイルムホールディングス	
cjnikon	ニコン	日本・東京都品川区	にこん	🔭	カメラやレンズ、けんび鏡で世界に知られる会社。宇宙飛行士が宇宙で使うカメラや、半導体をつくる機械もつくっている。	35.60	139.72	https://www.jp.nikon.com/	NINOY	ニコン	
cjcasio	カシオ計算機	日本・東京都渋谷区	かしおけいさんき	⌚	電卓から始まった会社。こわれにくい腕時計のG-SHOCKや電子辞書、電子キーボードで知られる。	35.68	139.68	https://www.casio.co.jp/	6952.T	カシオ計算機	
cjepson	セイコーエプソン	日本・長野県諏訪市	せいこーえぷそん	🖨️	プリンターやプロジェクターをつくる会社。長野県の諏訪湖のほとりに本社があり、時計づくりから始まった。	36.04	138.11	https://www.epson.jp/	6724.T	セイコーエプソン	
cjseiko	セイコーグループ	日本・東京都中央区	せいこーぐるーぷ	🕰️	腕時計のセイコーで知られる会社。1969年に世界で初めてクオーツ式の腕時計を売り出した。本社は東京の銀座。	35.67	139.77	https://www.seiko.co.jp/	8050.T	セイコーグループ	
cjyamaha	ヤマハ	日本・静岡県浜松市	やまは	🎹	ピアノやギター、ドラムなどをつくる、世界でいちばん大きな楽器の会社。音楽教室も開いていて、本社は浜松市にある。	34.72	137.73	https://www.yamaha.com/ja/	7951.T	ヤマハ	
cjyamahamotor	ヤマハ発動機	日本・静岡県磐田市	やまははつどうき	🚤	バイクやボート、水上バイク、電動アシスト自転車をつくる会社。楽器のヤマハから分かれて生まれた。	34.72	137.85	https://global.yamaha-motor.com/jp/	7272.T	ヤマハ発動機	
cjsuzuki	スズキ	日本・静岡県浜松市	すずき	🚙	軽自動車やバイクをつくる浜松の会社。インドでは車がとてもよく売れていて、ジムニーやスイフトが人気。	34.68	137.70	https://www.suzuki.co.jp/	7269.T	スズキ	
cjsubaru	SUBARU	日本・東京都渋谷区	すばる	✨	車をつくる会社。社名はおうし座の星の集まり、すばるから来ていて、マークにも六つの星がえがかれている。	35.65	139.71	https://www.subaru.co.jp/	7270.T	SUBARU	
cjmazda	マツダ	日本・広島県安芸郡府中町	まつだ	🏎️	広島の自動車メーカー。オープンカーのロードスターや、ロータリーエンジンの車で知られる。	34.38	132.51	https://www.mazda.co.jp/	7261.T	マツダ	
cjnissan	日産自動車	日本・神奈川県横浜市	にっさんじどうしゃ	🚘	横浜に本社がある自動車メーカー。電気自動車のリーフを早くから売り出し、セレナやノートも人気。	35.46	139.63	https://www.nissan-global.com/JP/	7201.T	日産自動車	
cjdenso	デンソー	日本・愛知県刈谷市	でんそー	⚙️	車の部品をつくる世界でも大きな会社。QRコードは、この会社の部署が工場で部品を管理するために発明した。	34.99	137.00	https://www.denso.com/jp/ja/	6902.T	デンソー	
cjbridgestone	ブリヂストン	日本・東京都中央区	ぶりぢすとん	🛞	車や飛行機のタイヤで世界トップクラスの会社。社名は創業者の石橋さんの名字を英語にして、ならべかえたもの。	35.68	139.77	https://www.bridgestone.co.jp/	5108.T	ブリヂストン	
cjshimano	シマノ	日本・大阪府堺市	しまの	🚲	自転車のギアやブレーキなどの部品で世界中に知られる会社。つり道具もつくっていて、本社は大阪府堺市にある。	34.57	135.48	https://www.shimano.com/ja/	7309.T	シマノ	
cjasics	アシックス	日本・兵庫県神戸市	あしっくす	👟	ランニングシューズやスポーツ用品をつくる神戸の会社。社名は健全な体に健全な心をという意味のラテン語の頭文字から。	34.69	135.19	https://corp.asics.com/jp	7936.T	アシックス	
cjdaikin	ダイキン工業	日本・大阪府大阪市	だいきんこうぎょう	❄️	エアコンで世界トップクラスの会社。大阪に本社があり、水のしずくのキャラクター、ぴちょんくんが有名。	34.70	135.50	https://www.daikin.co.jp/	6367.T	ダイキン工業	
cjkomatsu	コマツ	日本・東京都港区	こまつ	🚜	ブルドーザーやショベルカーなど、工事で使う大きな機械をつくる会社。名前は石川県の小松市で生まれたことから。	35.66	139.76	https://home.komatsu/jp/	6301.T	小松製作所	
cjkubota	クボタ	日本・大阪府大阪市	くぼた	🌾	トラクターや田植え機、コンバインなど農業の機械をつくる会社。水道管やポンプもつくり、世界の農業をささえている。	34.66	135.49	https://www.kubota.co.jp/	6326.T	クボタ	
cjmhi	三菱重工業	日本・東京都千代田区	みつびしじゅうこうぎょう	🚀	ロケットのH-IIAやH3、発電所の機械、大きな船などをつくる会社。日本のものづくりを長く引っぱってきた。	35.68	139.76	https://www.mhi.com/jp/	7011.T	三菱重工業	
cjkhi	川崎重工業	日本・兵庫県神戸市	かわさきじゅうこうぎょう	🚅	新幹線の車両やカワサキのバイク、飛行機の部品、船などをつくる会社。液体の水素を運ぶ船を世界で初めてつくった。	34.68	135.18	https://www.khi.co.jp/	7012.T	川崎重工業	
cjmakita	マキタ	日本・愛知県安城市	まきた	🔧	電動ドリルや電動のこぎり、充電式のそうじ機など、電動工具で世界的な会社。本社は愛知県安城市にある。	34.95	137.08	https://www.makita.co.jp/	6586.T	マキタ	
cjtoto	TOTO	日本・福岡県北九州市	とーと	🚽	トイレや洗面所、おふろをつくる会社。おしりを洗うトイレのウォシュレットで有名で、本社は北九州市にある。	33.88	130.88	https://jp.toto.com/	5332.T	TOTO	
cjnitori	ニトリホールディングス	日本・北海道札幌市	にとりほーるでぃんぐす	🛋️	家具やカーテン、食器などをお手ごろな値段で売るお店ニトリを運営する会社。北海道の札幌で生まれた。	43.10	141.35	https://www.nitorihd.co.jp/	9843.T	ニトリホールディングス	
cjryohin	良品計画	日本・東京都文京区	りょうひんけいかく	📓	無印良品のお店を運営する会社。シンプルな服や文房具、家具、食べ物まで、くらしの物をたくさん売っている。	35.71	139.75	https://www.ryohin-keikaku.jp/	7453.T	良品計画	
cjabcmart	ABCマート	日本・東京都渋谷区	えーびーしーまーと	👞	靴のお店ABCマートを運営する会社。スニーカーやスポーツシューズ、ブーツなどを全国のお店で売っている。	35.66	139.70	https://www.abc-mart.co.jp/	2670.T	ABCマート	
cjzensho	ゼンショーホールディングス	日本・東京都港区	ぜんしょーほーるでぃんぐす	🍚	牛丼のすき家や回転ずしのはま寿司、ココスなどのお店を運営する会社。外食の会社として日本でいちばん大きい。	35.63	139.74	https://www.zensho.co.jp/	7550.T	ゼンショーホールディングス	
cjskylark	すかいらーくホールディングス	日本・東京都武蔵野市	すかいらーくほーるでぃんぐす	🍝	ファミリーレストランのガストやバーミヤン、ジョナサンなどを運営する会社。本社は東京都武蔵野市にある。	35.71	139.56	https://www.skylark.co.jp/	3197.T	すかいらーくホールディングス	
cjyamazaki	山崎製パン	日本・東京都千代田区	やまざきせいぱん	🍞	食パンやランチパック、菓子パンをつくる日本でいちばん大きなパンの会社。春のパンまつりが有名。	35.69	139.78	https://www.yamazakipan.co.jp/	2212.T	山崎製パン	
cjajinomoto	味の素	日本・東京都中央区	あじのもと	🧂	うまみ調味料の味の素をつくった会社。うまみは池田菊苗博士が昆布だしから見つけ、この会社の始まりにつながった。	35.68	139.77	https://www.ajinomoto.co.jp/	2802.T	味の素	
cjkikkoman	キッコーマン	日本・千葉県野田市	きっこーまん	🍶	しょうゆで世界的に有名な会社。千葉県野田市に本社があり、赤いキャップの食卓用しょうゆびんが知られている。	35.95	139.87	https://www.kikkoman.com/jp/	2801.T	キッコーマン	
cjkewpie	キユーピー	日本・東京都渋谷区	きゆーぴー	🥚	日本で初めてマヨネーズをつくって売った会社。キユーピー人形のマークが目印で、ドレッシングもつくっている。	35.66	139.70	https://www.kewpie.com/	2809.T	キユーピー	
cjkirin	キリンホールディングス	日本・東京都中野区	きりんほーるでぃんぐす	🦒	ビールや午後の紅茶などの飲み物をつくる会社。キリンという名前は、中国の伝説の動物、麒麟から来ている。	35.71	139.66	https://www.kirinholdings.com/jp/	2503.T	キリンホールディングス	
cjasahi	アサヒグループホールディングス	日本・東京都墨田区	あさひぐるーぷほーるでぃんぐす	🥤	ビールのスーパードライや、カルピス、三ツ矢サイダーなどをつくる会社。本社は東京の浅草の近くにある。	35.71	139.80	https://www.asahigroup-holdings.com/	2502.T	アサヒグループホールディングス	
cjsuntory	サントリービバレッジ&フード	日本・東京都港区	さんとりーびばれっじあんどふーど	💧	天然水やBOSS、伊右衛門、なっちゃんなどの飲み物をつくる会社。サントリーのグループの一員。	35.64	139.75	https://www.suntory.co.jp/softdrink/	2587.T	サントリービバレッジ&フード	
cjnipponham	日本ハム	日本・大阪府大阪市	にっぽんはむ	🌭	ハムやソーセージのシャウエッセンなどをつくる大阪の会社。プロ野球の北海道日本ハムファイターズの親会社。	34.70	135.50	https://www.nipponham.co.jp/	2282.T	日本ハム	
cjtoyosuisan	東洋水産	日本・東京都港区	とうようすいさん	🦊	マルちゃんのブランドで、赤いきつねと緑のたぬきや、マルちゃん正麺などをつくる会社。	35.63	139.74	https://www.maruchan.co.jp/	2875.T	東洋水産	
cjkao	花王	日本・東京都中央区	かおう	🧴	せっけんやシャンプー、洗剤のアタック、紙おむつのメリーズなどをつくる会社。月の顔のマークが目印。	35.68	139.78	https://www.kao.com/jp/	4452.T	花王	
cjshiseido	資生堂	日本・東京都中央区	しせいどう	💄	1872年に東京の銀座で薬局として始まった化粧品の会社。いまは世界の多くの国で化粧品を売っている。	35.67	139.76	https://corp.shiseido.com/jp/	4911.T	資生堂	
cjunicharm	ユニ・チャーム	日本・東京都港区	ゆにちゃーむ	👶	紙おむつのムーニーやマミーポコ、マスク、ペットのトイレ用品などをつくる会社。	35.65	139.74	https://www.unicharm.co.jp/	8113.T	ユニ・チャーム	
cjlion	ライオン	日本・東京都台東区	らいおん	🪥	歯みがきのクリニカや、洗剤のトップ、ハンドソープのキレイキレイをつくる会社。本社は東京の蔵前にある。	35.70	139.79	https://www.lion.co.jp/	4912.T	ライオン (企業)	
cjkobayashi	小林製薬	日本・大阪府大阪市	こばやしせいやく	🧊	あったらいいなをかたちにする会社。熱さまシートやブルーレット、消臭元など、名前がおもしろい商品が多い。	34.69	135.50	https://www.kobayashi.co.jp/	4967.T	小林製薬	
cjtakeda	武田薬品工業	日本・東京都中央区	たけだやくひんこうぎょう	💊	江戸時代に大阪の道修町で薬の店として始まった、日本でいちばん大きな薬の会社。世界中で薬を売っている。	35.69	139.78	https://www.takeda.com/ja-jp/	TAK	武田薬品工業	
cjotsuka	大塚ホールディングス	日本・東京都千代田区	おおつかほーるでぃんぐす	🧃	ポカリスエットやカロリーメイト、オロナミンCをつくる大塚製薬をもつ会社。病院の薬もつくっている。	35.69	139.77	https://www.otsuka.com/jp/	4578.T	大塚ホールディングス	
cjmufg	三菱UFJフィナンシャル・グループ	日本・東京都千代田区	みつびしゆーえふじぇいふぃなんしゃるぐるーぷ	🏦	日本でいちばん大きな銀行のグループ。三菱UFJ銀行を中心に、世界の多くの国で銀行の仕事をしている。	35.68	139.76	https://www.mufg.jp/	MUFG	三菱UFJフィナンシャル・グループ	
cjsmfg	三井住友フィナンシャルグループ	日本・東京都千代田区	みついすみともふぃなんしゃるぐるーぷ	💳	三井住友銀行を中心にした銀行のグループ。クレジットカードの三井住友カードもこのグループの仲間。	35.68	139.76	https://www.smfg.co.jp/	SMFG	三井住友フィナンシャルグループ	
cjmizuho	みずほフィナンシャルグループ	日本・東京都千代田区	みずほふぃなんしゃるぐるーぷ	🌾	みずほ銀行を中心にした銀行のグループ。みずほは、みずみずしい稲の穂という意味の古い言葉。	35.69	139.77	https://www.mizuho-fg.co.jp/	MFG	みずほフィナンシャルグループ	
cjjapanpost	日本郵政	日本・東京都千代田区	にっぽんゆうせい	📮	郵便局やゆうちょ銀行、かんぽ生命をまとめる会社。全国に約2万4000の郵便局があり、手紙や荷物を届けている。	35.69	139.77	https://www.japanpost.jp/	6178.T	日本郵政	
cjmitsubishicorp	三菱商事	日本・東京都千代田区	みつびししょうじ	🌏	世界中でエネルギーや食べ物、金属などの取り引きをする総合商社。コンビニのローソンの経営にもかかわっている。	35.68	139.76	https://www.mitsubishicorp.com/jp/ja/	8058.T	三菱商事	
cjitochu	伊藤忠商事	日本・大阪府大阪市	いとうちゅうしょうじ	🧵	伊藤忠兵衛が麻の布を売る商売から始めた総合商社。コンビニのファミリーマートの親会社でもある。	34.70	135.50	https://www.itochu.co.jp/ja/	8001.T	伊藤忠商事	
cjjrcentral	JR東海	日本・愛知県名古屋市	じぇいあーるとうかい	🚅	東京から新大阪まで東海道新幹線を走らせる鉄道会社。リニア中央新幹線の建設もすすめている。	35.17	136.88	https://jr-central.co.jp/	9022.T	東海旅客鉄道	
cjjrwest	JR西日本	日本・大阪府大阪市	じぇいあーるにしにほん	🚆	近畿や中国、北陸地方で電車を走らせる鉄道会社。山陽新幹線や、交通系ICカードのICOCAもこの会社のもの。	34.70	135.50	https://www.westjr.co.jp/	9021.T	西日本旅客鉄道	
cjtokyometro	東京メトロ	日本・東京都中央区	とうきょうめとろ	🚇	東京の地下鉄を走らせる会社。銀座線は、アジアで初めての地下鉄として1927年に開業した。	35.68	139.79	https://www.tokyometro.jp/	9023.T	東京地下鉄	
cjhankyuhanshin	阪急阪神ホールディングス	日本・大阪府大阪市	はんきゅうはんしんほーるでぃんぐす	🐯	大阪と神戸、京都を結ぶ阪急電鉄と阪神電車をもつ会社。宝塚歌劇団やプロ野球の阪神タイガースも仲間。	34.70	135.50	https://www.hankyu-hanshin.co.jp/	9042.T	阪急阪神ホールディングス	
cjyamato	ヤマトホールディングス	日本・東京都中央区	やまとほーるでぃんぐす	🐈‍⬛	クロネコヤマトの宅急便で知られる会社。家から家へ荷物を届ける宅急便は、1976年にこの会社が始めた。	35.67	139.77	https://www.yamato-hd.co.jp/	9064.T	ヤマトホールディングス	
cjnipponsteel	日本製鉄	日本・東京都千代田区	にっぽんせいてつ	🏗️	鉄をつくる日本でいちばん大きな会社。車や橋、ビルに使われる鋼を、大きな溶鉱炉でつくっている。	35.68	139.76	https://www.nipponsteel.com/	5401.T	日本製鉄	
cjeneos	ENEOSホールディングス	日本・東京都千代田区	えねおすほーるでぃんぐす	⛽	ガソリンスタンドのENEOSで知られる石油の会社。ガソリンや灯油をつくり、水素ステーションも運営している。	35.69	139.77	https://www.hd.eneos.co.jp/	5020.T	ENEOSホールディングス	
cjkeyence	キーエンス	日本・大阪府大阪市	きーえんす	📡	工場で使うセンサーや計測器をつくる大阪の会社。自分では工場をもたず、アイデアと開発で勝負している。	34.74	135.53	https://www.keyence.co.jp/	6861.T	キーエンス	
cjmurata	村田製作所	日本・京都府長岡京市	むらたせいさくしょ	🔌	スマホやパソコンの中で使われる小さな電子部品をつくる京都の会社。部品の中には、ごまつぶよりずっと小さい物もある。	34.93	135.70	https://www.murata.com/ja-jp	6981.T	村田製作所	
cjkyocera	京セラ	日本・京都府京都市	きょうせら	🔪	セラミックの部品やスマホ、太陽電池、セラミックの包丁をつくる京都の会社。稲盛和夫さんがつくった。	34.95	135.75	https://www.kyocera.co.jp/	6971.T	京セラ	
cjomron	オムロン	日本・京都府京都市	おむろん	🌡️	体温計や血圧計をつくる京都の会社。駅の自動改札機を世界で初めて使えるようにした会社のひとつ。	34.99	135.76	https://www.omron.com/jp/ja/	6645.T	オムロン	
cjtokyoelectron	東京エレクトロン	日本・東京都港区	とうきょうえれくとろん	🧪	半導体をつくるための大きな装置をつくる会社。スマホやパソコンのチップづくりに欠かせない機械を世界に届けている。	35.67	139.74	https://www.tel.co.jp/	8035.T	東京エレクトロン	
cjcyberagent	サイバーエージェント	日本・東京都渋谷区	さいばーえーじぇんと	🐎	インターネットテレビのABEMAや、ゲームのウマ娘をつくる会社のグループ。本社は東京の渋谷にある。	35.66	139.70	https://www.cyberagent.co.jp/	4751.T	サイバーエージェント	
cjobayashi	大林組	日本・東京都港区	おおばやしぐみ	🗼	東京スカイツリーや大きなビル、トンネルなどをつくる建設会社。宇宙エレベーターの計画も発表している。	35.63	139.74	https://www.obayashi.co.jp/	1802.T	大林組	
cjsecom	セコム	日本・東京都渋谷区	せこむ	🛡️	日本で初めての警備会社。家や会社に機械をつけて、何かあると警備員がかけつける安全のしくみをつくった。	35.67	139.71	https://www.secom.co.jp/	9735.T	セコム	
cjmelco	三菱電機	日本・東京都千代田区	みつびしでんき	🛰️	エアコンの霧ヶ峰やエレベーター、人工衛星までつくる電気の会社。日本の気象衛星ひまわりもつくった。	35.68	139.76	https://www.mitsubishielectric.co.jp/	6503.T	三菱電機	
