# からだ。key	名前	分類	よみ	絵文字	解説	地図(front|head|cell)	x	y	Wikipedia題名	はじめのレベル(1か空)
boncarpal	手根骨	骨	しゅこんこつ	🦴	手首にある小さな8個の骨のあつまり。手首をやわらかく曲げたりひねったりできるのは、この骨の組み合わせのおかげ。	front	0.175	0.49	手	
bonmetacarpal	中手骨	骨	ちゅうしゅこつ	🦴	手のひらの中にある5本の骨。手首の手根骨と指の骨をつなぎ、にぎるときに手のひらの形をつくる。	front	0.16	0.525	中手骨	
bonphalanx	指の骨	骨	ゆびのほね	🦴	指をつくる小さな骨(指骨)。親指は2個、ほかの指は3個ずつで、片手で14個。指先の細かい動きはこの骨と筋肉のおかげ。	front	0.15	0.555	指骨	
bonfemur	大腿骨	骨	だいたいこつ	🦴	太ももにある、体の中でいちばん長くて太い骨。身長の約4分の1の長さがあり、上は骨盤、下はひざにつながる。	front	0.42	0.65	大腿骨	
bonpatella	ひざの皿	骨	ひざのさら	🦴	ひざの前にある丸い骨(しつがい骨)。太ももの筋肉のけんの中にうまっていて、ひざを守りながら足をのばす力を強くする。	front	0.42	0.74	膝蓋骨	
bontibia	けい骨	骨	けいこつ	🦴	すねの内側にある太い骨。体重をささえる大切な骨で、ぶつけると「弁慶の泣きどころ」と言われるほどいたい。	front	0.43	0.83	脛骨	
bonfibula	ひ骨	骨	ひこつ	🦴	すねの外側にあるけい骨より細い骨。体重はあまりささえず、足首の外くるぶしをつくり、筋肉のつけ根になる。	front	0.39	0.85	腓骨	
bontarsal	足根骨	骨	そっこんこつ	🦴	足首からかかとにかけての7個の骨。体重を受けとめ、足のアーチ(土ふまず)のうしろ半分をつくる。	front	0.42	0.94	足	
bonmetatarsal	中足骨	骨	ちゅうそくこつ	🦴	足のこうにある5本の長い骨。土ふまずのアーチをつくり、走るときやジャンプするときに地面をける力をつたえる。	front	0.45	0.95	中足骨	
boncalcaneus	かかとの骨	骨	かかとのほね	🦴	足の骨の中でいちばん大きい骨(しょう骨)。歩くとき最初に地面につき、うしろにはアキレスけんがついている。	front	0.39	0.955	踵骨	
bonbone	骨	骨	ほね	🦴	体をささえ、脳や心臓を守り、筋肉といっしょに体を動かす。大人の体には約206個。中の骨ずいでは血液もつくられる。	front	0.63	0.665	骨	1
bonjoint	関節	関節	かんせつ	🦴	骨と骨のつなぎ目。ひじやひざのように曲がる場所で、骨のはしは軟骨でおおわれ、関節液でなめらかに動く。	front	0.58	0.74	関節	1
boncartilage	軟骨	関節	なんこつ	🦴	関節の骨のはしや、耳・鼻をつくるやわらかい骨。クッションのように骨どうしのぶつかりをやわらげている。	front	0.58	0.79	軟骨	
bonligament	じん帯	関節	じんたい	🦴	関節で骨と骨をつなぐじょうぶなひも。関節がぬけたり曲がりすぎたりしないよう守る。ねんざはこのじん帯のけが。	front	0.58	0.70	靭帯	
bonmarrow	骨ずい	骨	こつずい	🩸	骨の中心にあるやわらかい組織。赤血球・白血球・血小板はここでつくられ、1日に約2000億個の赤血球が生まれる。	front	0.40	0.60	骨髄	
bonperiosteum	骨膜	骨	こつまく	🦴	骨の表面をおおう、うすくてじょうぶな膜。血管と神経が通っていて、骨に栄養を送り、骨折した骨を直す。	front	0.40	0.79	骨膜	
bonshoulder	肩関節	関節	かたかんせつ	🦴	上腕骨とけんこう骨でできた関節。体の中でいちばん大きく動く関節で、うでをぐるりと一回転させられる。	front	0.68	0.22	肩関節	
bonelbow	ひじ関節	関節	ひじかんせつ	🦴	上腕骨ととう骨・尺骨でできた関節。ドアのちょうつがいのように一方向に曲げのばしし、うでを回す動きもここで起こる。	front	0.79	0.38	肘関節	
bonwrist	手首の関節	関節	てくびのかんせつ	🦴	前腕の骨と手根骨のあいだの関節。前後左右に曲げられ、手を回す動きと合わせて手を自由に動かせる。	front	0.82	0.50	手関節	
bonhip	股関節	関節	こかんせつ	🦴	骨盤と大腿骨のあいだの関節。ボールが受け皿にはまった形で、体重をささえながら足を前後左右に動かせる。	front	0.58	0.55	股関節	1
bonankle	足首の関節	関節	あしくびのかんせつ	🦴	すねの骨と足根骨のあいだの関節。つま先を上げ下げする動きをし、走る・ジャンプするときに大きな力を受ける。	front	0.56	0.93	足関節	
bondisc	ついかん板	骨	ついかんばん	🦴	背骨の骨と骨のあいだにはさまったクッション。ジャンプの衝撃をやわらげる。これがとび出すとヘルニアという。	front	0.55	0.29	椎間板	
bonskeleton	骨格	骨	こっかく	🦴	体の骨をぜんぶ合わせた体のわく組み。人の骨格は約206個の骨でできていて、体をささえ形をつくる。	front	0.30	0.66	骨格	
boncapsule	関節包	関節	かんせつほう	🦴	関節をふくろのように包む膜。中に関節液が入っていて、油のように骨のすべりをよくしている。	front	0.62	0.75	関節包	
bonthorax	胸郭	骨	きょうかく	🦴	ろっ骨・胸骨・背骨でできた胸のかご。心臓と肺を守り、呼吸のときに広がったりちぢんだりする。	front	0.64	0.27	胸郭	
bongrowthplate	骨端線	骨	こったんせん	🦴	子どもの長い骨の両はしにある軟骨の層。ここで骨がのびて身長が高くなり、大人になると固まって消える。	front	0.39	0.71	骨端軟骨	
boncheek	ほお骨	骨	ほおぼね	🦴	目の下のほおにある骨。顔の横はばをつくり、目を下から守る。笑うと表情筋がこの骨の上を動く。	head	0.25	0.50	頬骨	
bonnasal	鼻骨	骨	びこつ	🦴	鼻のつけ根にある小さな左右一対の骨。鼻の上半分は骨、下半分は軟骨でできていて、ぶつけると折れやすい骨のひとつ。	head	0.50	0.50	鼻骨	
bonhyoid	舌骨	骨	ぜっこつ	🦴	のどにあるU字形の小さな骨。ほかの骨とつながらず筋肉でぶら下がっていて、舌の動きや飲みこみをささえる。	head	0.50	0.86	舌骨	
bonossicle	耳小骨	骨	じしょうこつ	👂	耳のおくにある体でいちばん小さな3つの骨(つち骨・きぬた骨・あぶみ骨)。鼓膜のふるえを大きくして内耳に伝える。	head	0.82	0.42	耳小骨	
musmuscle	筋肉	筋肉	きんにく	💪	ちぢんで骨を動かす体の動力。体には約600個あり、体重の約40%をしめる。関節をはさんで一対で働く。	front	0.75	0.33	筋肉	1
musskeletal	骨格筋	筋肉	こっかくきん	💪	骨についていて体を動かす筋肉。自分の意思で動かせる随意筋で、けんで骨につながる。うでや足の筋肉はみなこれ。	front	0.72	0.27	骨格筋	
mussmooth	平滑筋	筋肉	へいかつきん	💪	胃や腸、血管のかべにある筋肉。自分の意思では動かせず、食べ物を送ったり血管の太さを変えたりする。	front	0.60	0.43	平滑筋	
muscardiac	心筋	筋肉	しんきん	❤️	心臓のかべをつくる筋肉。自分の意思とは関係なく、生まれてから死ぬまで休まずに動きつづける。	front	0.44	0.27	心筋	
musbiceps	上腕二頭筋	筋肉	じょうわんにとうきん	💪	二の腕の前側にある筋肉。ひじを曲げると「力こぶ」になる。上腕三頭筋と反対に働く。	front	0.80	0.29	上腕二頭筋	
mustriceps	上腕三頭筋	筋肉	じょうわんさんとうきん	💪	二の腕のうしろ側にある筋肉。ひじをのばすときに働き、上腕二頭筋と反対の動きをする。	front	0.805	0.335	上腕三頭筋	
musdeltoid	三角筋	筋肉	さんかくきん	💪	肩をおおう三角形の筋肉。うでを横に上げるときに働き、肩の丸い形をつくっている。注射をよくうつ場所でもある。	front	0.71	0.24	三角筋	
muspectoral	大胸筋	筋肉	だいきょうきん	💪	胸をおおう大きな筋肉。うでを前におし出すときに働き、うで立てふせでよくきたえられる。	front	0.58	0.26	大胸筋	
musabs	腹筋	筋肉	ふっきん	💪	おなかの前にある筋肉。上体を起こすときに働き、内臓を守り、せきをするときやおなかに力を入れるときにも使う。	front	0.47	0.40	腹直筋	
musoblique	腹斜筋	筋肉	ふくしゃきん	💪	わき腹をななめに走る筋肉。体をひねったり横に曲げたりするときに働き、腹筋といっしょにおなかを守る。	front	0.60	0.47	外腹斜筋	
musback	背筋	筋肉	はいきん	💪	背中にある筋肉。背骨にそって走り、体を起こしたり、良いしせいをたもったりする。腹筋と反対に働く。	front	0.34	0.36	脊柱起立筋	
mustrapezius	僧帽筋	筋肉	そうぼうきん	💪	首から肩、背中の上をおおうひし形の筋肉。肩をすくめたり、けんこう骨を動かしたりする。肩こりはここの筋肉。	front	0.355	0.215	僧帽筋	
musgluteus	大殿筋	筋肉	だいでんきん	💪	おしりにある体の中でいちばん大きな筋肉。足をうしろにふるときに働き、立つ・走る・階段をのぼる力のもと。	front	0.62	0.54	大殿筋	
musquad	大腿四頭筋	筋肉	だいたいしとうきん	💪	太ももの前側にある4つの筋肉の集まり。ひざをのばすときに働き、キックやジャンプの力を生む。	front	0.60	0.63	大腿四頭筋	
mushamstring	ハムストリング	筋肉	はむすとりんぐ	💪	太もものうしろ側にある筋肉のグループ。ひざを曲げるときに働く。ダッシュで肉ばなれしやすい場所。	front	0.615	0.71	ハムストリング	
muscalf	ふくらはぎの筋肉	筋肉	ふくらはぎのきんにく	💪	すねのうしろのふくらんだ筋肉(ひふく筋)。つま先立ちするときに働き、足の血液を心臓に送りかえすポンプの役目もする。	front	0.61	0.83	腓腹筋	
mustibialis	前けい骨筋	筋肉	ぜんけいこつきん	💪	すねの前側にある筋肉。つま先を上に持ち上げるときに働き、歩くときにつまずかないようにしている。	front	0.56	0.85	前脛骨筋	
musachilles	アキレスけん	筋肉	あきれすけん	🦶	ふくらはぎの筋肉とかかとの骨をつなぐ、体でいちばん太くて強いけん。切れると歩けなくなる。	front	0.62	0.905	アキレス腱	
musdiaphragm	横かくまく	筋肉	おうかくまく	🫁	胸とおなかを分ける、ドームのような形の筋肉。下がると肺がふくらんで息を吸い、上がると息をはく。	front	0.47	0.36	横隔膜	1
mustendon	けん	筋肉	けん	💪	筋肉と骨をつなぐ白くてじょうぶなひも。筋肉がちぢむ力をけんが骨に伝えて、体が動く。	front	0.835	0.415	腱	
musmasseter	咬筋	筋肉	こうきん	🦷	ほおにある、ものをかむための筋肉。体重ほどの強い力でかむことができる、体の中でいちばん力の強い筋肉のひとつ。	head	0.22	0.68	咬筋	
musface	表情筋	筋肉	ひょうじょうきん	😊	顔の皮ふについていて、笑ったりおこったりする表情をつくる筋肉。顔には30種類以上ある。	head	0.30	0.62	表情筋	
musflexor	屈筋	筋肉	くっきん	💪	関節を曲げるときに働く筋肉。うでを曲げる上腕二頭筋がその代表。のばす筋肉(伸筋)と対になって働く。	front	0.795	0.445	屈筋	
musextensor	伸筋	筋肉	しんきん	💪	関節をのばすときに働く筋肉。うでをのばす上腕三頭筋がその代表。屈筋と反対の動きをする。	front	0.825	0.465	伸筋	
mussphincter	括約筋	筋肉	かつやくきん	💪	管や出口をしめる輪の形の筋肉。胃の出口、こう門、ぼうこうの出口などにあり、中身が勝手に出ないようにしている。	front	0.46	0.60	括約筋	
musvoluntary	随意筋	筋肉	ずいいきん	💪	自分の意思で動かせる筋肉。うでや足の骨格筋がこれで、脳からの命令が運動神経を通って伝わると動く。	front	0.25	0.26	随意筋	
musinvoluntary	不随意筋	筋肉	ふずいいきん	💪	自分の意思では動かせない筋肉。心筋や、胃・腸・血管の平滑筋がこれで、自律神経が動かしている。	front	0.20	0.28	不随意筋	
musfiber	筋繊維	筋肉	きんせんい	🔬	筋肉をつくる細長い細胞。1本の太さは髪の毛くらいで、たばになって筋肉をつくる。運動でこれが太くなる。	front	0.28	0.52	筋細胞	
muslat	広背筋	筋肉	こうはいきん	💪	背中の下の方を広くおおう筋肉。うでをうしろや下に引くときに働き、けんすいや水泳で使う。	front	0.34	0.45	広背筋	
musadductor	内転筋	筋肉	ないてんきん	💪	太ももの内側にある筋肉。開いた足を閉じるときに働き、サッカーのインサイドキックで使う。	front	0.535	0.69	大内転筋	
orgmouth	口	臓器(消化)	くち	👄	食べ物の入り口。歯でかみくだき、舌でまぜ、だ液と合わせて飲みこみやすくする。消化はここから始まる。	head	0.50	0.72	口	1
orgteeth	歯	臓器(消化)	は	🦷	食べ物をかみくだく。子どもの乳歯は20本、大人の永久歯は親知らずを入れて32本。体でいちばんかたい。	head	0.50	0.68	歯	1
orgtongue	舌	感覚器	した	👅	口の中にある筋肉のかたまり。食べ物をまぜて飲みこみ、味を感じ、言葉を話すときにも大切な働きをする。	head	0.50	0.78	舌	1
orgsalivary	だ液せん	臓器(消化)	だえきせん	👄	だ液をつくって口の中に出す器官。耳の下、あごの下、舌の下の3つがあり、1日に約1リットルのだ液を出す。	head	0.30	0.70	唾液腺	
orgesophagus	食道	臓器(消化)	しょくどう	🍚	口と胃をつなぐ約25センチの管。筋肉が波のように動く(ぜん動運動)ので、さかさまになっても食べ物は胃へ進む。	front	0.53	0.22	食道	1
orgstomach	胃	臓器(消化)	い	🍚	食べ物を胃液でどろどろにして消化する、ふくろの形をした臓器。強い酸(塩酸)を出し、おもにタンパク質を消化する。	front	0.55	0.40	胃	1
orgsmallint	小腸	臓器(消化)	しょうちょう	🍚	胃につづく長さ約6〜7メートルの管。消化の仕上げをして、栄養分を吸収する。内側はひだとじゅう毛で表面積がとても広い。	front	0.50	0.485	小腸	1
orglargeint	大腸	臓器(消化)	だいちょう	🍚	小腸につづく約1.5メートルの管。おもに水分を吸収して便をつくる。中には多くの腸内細菌がすんでいる。	front	0.375	0.465	大腸	1
orgduodenum	十二指腸	臓器(消化)	じゅうにしちょう	🍚	胃のすぐ下にある小腸の始まりの部分。指12本分の長さから名前がついた。ここに胆汁とすい液が流れこむ。	front	0.46	0.43	十二指腸	
orgliver	かん臓	臓器(消化)	かんぞう	🥩	体の中でいちばん大きな臓器。胆汁をつくり、栄養をたくわえ、アルコールなどの毒を分解する。500以上の仕事をする化学工場。	front	0.42	0.38	肝臓	1
orggallbladder	胆のう	臓器(消化)	たんのう	🍚	かん臓の下にある小さなふくろ。かん臓でつくられた胆汁をためて、こくして、食事のときに十二指腸へ出す。	front	0.39	0.40	胆嚢	
orgpancreas	すい臓	臓器(消化)	すいぞう	🍚	胃のうしろにある細長い臓器。3大栄養素すべてを消化するすい液と、血糖値を下げるインスリンをつくる。	front	0.53	0.45	膵臓	1
orgrectum	直腸	臓器(消化)	ちょくちょう	🍚	大腸の最後の部分でこう門につながる。便がここにたまると、脳に「トイレに行きたい」という信号が送られる。	front	0.55	0.53	直腸	
organus	こう門	臓器(消化)	こうもん	🍚	消化管の出口。便を体の外へ出す。まわりを括約筋がとりまき、ふだんはしっかり閉じている。	front	0.46	0.64	肛門	
orgappendix	虫垂	臓器(消化)	ちゅうすい	🍚	大腸の始まり(盲腸)からたれ下がる細い管。ここが炎症を起こすのが「もうちょう」の病気で、正しくは虫垂炎という。	front	0.37	0.50	虫垂	
orgpharynx	のど	臓器(消化)	のど	👄	口と鼻のおくにある、食べ物と空気の通り道(いんとう)。飲みこむときは、ふたが気管をふさいで食べ物を食道へ送る。	head	0.50	0.92	咽頭	1
orgnose	鼻	臓器(呼吸)	はな	👃	空気の入り口。においを感じ、吸った空気をあたためてしめらせ、ほこりを鼻毛でとる。	head	0.50	0.58	鼻	1
orgnasal	鼻こう	臓器(呼吸)	びこう	👃	鼻の中の空間。ねばねばした粘膜とせん毛が、空気の中のほこりや細菌をつかまえて肺に入れないようにしている。	head	0.40	0.56	鼻腔	
orgtrachea	気管	臓器(呼吸)	きかん	🫁	のどから肺へ空気を送る管。つぶれないよう軟骨の輪でできていて、内側のせん毛がほこりを外へおし出す。	front	0.47	0.20	気管	1
orgbronchus	気管支	臓器(呼吸)	きかんし	🫁	気管が左右に分かれて肺に入った管。木の枝のように細かく分かれていき、先は肺胞につながる。	front	0.43	0.235	気管支	
orglung	肺	臓器(呼吸)	はい	🫁	胸の左右にある呼吸の臓器。空気から酸素をとり入れ、二酸化炭素を出す。自分ではふくらめず、横かくまくとろっ骨が動かす。	front	0.40	0.32	肺	1
orgalveolus	肺胞	臓器(呼吸)	はいほう	🫁	気管支の先にある小さなふくろ。まわりを毛細血管がとり囲み、ここで酸素と二酸化炭素の交換をする。肺全体で約3億個。	front	0.62	0.32	肺胞	
orglarynx	こうとう	臓器(呼吸)	こうとう	👄	のどの中の、気管の入り口。中に声帯があり、声を出す。男子は成長すると大きくなり「のどぼとけ」になる。	head	0.50	0.96	喉頭	
orgheart	心臓	臓器(循環)	しんぞう	❤️	血液を全身に送るポンプ。にぎりこぶしくらいの大きさで、1分に約70回、1日に約10万回もはく動している。	front	0.46	0.31	心臓	1
orgartery	動脈	臓器(循環)	どうみゃく	🩸	心臓から出ていく血液が流れる血管。かべが厚くて弾力があり、心臓のはく動が脈はくとして伝わる。	front	0.78	0.52	動脈	1
orgvein	静脈	臓器(循環)	じょうみゃく	🩸	心臓へもどる血液が流れる血管。かべがうすく、血液が逆流しないように弁がついている。	front	0.80	0.57	静脈	1
orgcapillary	毛細血管	臓器(循環)	もうさいけっかん	🩸	全身にはりめぐらされたとても細い血管。かべは細胞1個分のうすさで、ここで酸素や栄養が細胞にわたされる。	front	0.86	0.62	毛細血管	1
orgvessel	血管	臓器(循環)	けっかん	🩸	血液が流れる管。動脈・静脈・毛細血管があり、全部つなぐと約10万キロメートル、地球を2周半する長さ。	front	0.74	0.56	血管	1
orgaorta	大動脈	臓器(循環)	だいどうみゃく	🩸	心臓の左心室から出る体でいちばん太い動脈。親指ほどの太さで、全身へ血液を送り出す本線になる。	front	0.50	0.29	大動脈	
orgatrium	心房	臓器(循環)	しんぼう	❤️	心臓の上半分にある2つの部屋。全身や肺からもどってきた血液を受けとり、下の心室へ送る。	front	0.43	0.30	心房	
orgventricle	心室	臓器(循環)	しんしつ	❤️	心臓の下半分にある2つの部屋。強い筋肉で血液をおし出す。右心室は肺へ、左心室は全身へ送る。	front	0.44	0.345	心室	
orglymphvessel	リンパ管	臓器(循環)	りんぱかん	🩸	全身にはりめぐらされ、リンパ液を流す管。細胞のまわりの余分な液を集め、最後は静脈に流しこむ。	front	0.72	0.62	リンパ管	
orglymphnode	リンパ節	臓器(循環)	りんぱせつ	🩸	リンパ管のとちゅうにある豆のようなふくらみ。白血球が集まり、細菌やウイルスをくいとめる。かぜで首がはれるのはここ。	front	0.30	0.24	リンパ節	
orgspleen	ひ臓	臓器(循環)	ひぞう	🩸	胃の左どなりにあるこぶし大の臓器。古くなった赤血球をこわし、血液をたくわえ、免疫の働きもする。	front	0.60	0.37	脾臓	
orgkidney	じん臓	臓器(排出)	じんぞう	🫘	背中側の腰の上に左右1つずつある、そら豆の形の臓器。血液をろ過して尿をつくる。こしとる液(原尿)は1日に約180リットル。	front	0.435	0.458	腎臓	1
orgbladder	ぼうこう	臓器(排出)	ぼうこう	💧	じん臓でつくられた尿をためるふくろ。大人で約500ミリリットルたまり、200ミリリットルくらいでトイレに行きたくなる。	front	0.50	0.59	膀胱	1
orgureter	尿管	臓器(排出)	にょうかん	💧	じん臓とぼうこうをつなぐ細い管。左右に1本ずつあり、できた尿をぜん動運動でぼうこうへ送る。長さは約25センチ。	front	0.44	0.56	尿管	
orgurethra	尿道	臓器(排出)	にょうどう	💧	ぼうこうにたまった尿を体の外へ出す管。出口は括約筋でしめられていて、自分の意思でひらく。	front	0.50	0.645	尿道	
orgnephron	ネフロン	臓器(排出)	ねふろん	🔬	じん臓で尿をつくる最小の単位。糸球体とボーマンのう、細尿管からなり、1つのじん臓に約100万個ある。	front	0.33	0.48	ネフロン	
orgskin	皮ふ	感覚器	ひふ	✋	体の表面をおおう、体でいちばん大きな器官。細菌や紫外線から体を守り、体温を調節し、さわった感じを伝える。	front	0.86	0.70	皮膚	1
orgsweatgland	汗せん	臓器(排出)	かんせん	💦	皮ふの中にあって汗をつくる器官。全身に約200万〜500万個あり、汗が蒸発するときに体温を下げる。	front	0.84	0.76	汗腺	
orguterus	子宮	臓器(生殖)	しきゅう	🤰	女性の下腹部にある、赤ちゃんが育つ部屋。受精卵がここにくっつき、約38週かけて育つ。	front	0.56	0.585	子宮	
orgovary	卵巣	臓器(生殖)	らんそう	🥚	女性の体で卵(卵子)をつくる器官。子宮の左右に1つずつあり、約1か月に1回、卵を送り出す。	front	0.62	0.575	卵巣	
orgtestis	精巣	臓器(生殖)	せいそう	🔬	男性の体で精子をつくる器官。左右に1つずつあり、男性ホルモンもつくる。思春期に働きが活発になる。	front	0.50	0.68	精巣	
orgeye	目	感覚器	め	👁️	光を感じて物を見る器官。カメラのように水晶体で光を集め、網膜に像をうつす。左右2つで遠近がわかる。	head	0.35	0.45	眼	1
orgear	耳	感覚器	みみ	👂	音を聞く器官。音のふるえが鼓膜から耳小骨を通り、うずまき管で神経の信号に変わる。体のかたむきも感じる。	head	0.88	0.50	耳	1
orgretina	網膜	感覚器	もうまく	👁️	目のおくにある光を感じる膜。カメラのフィルムにあたり、ここにうつった像が視神経で脳に送られる。	head	0.65	0.45	網膜	
orglens	水晶体	感覚器	すいしょうたい	👁️	目の中にあるレンズ。厚さを変えてピントを合わせる。年をとってにごると白内障という。	head	0.65	0.40	水晶体	
orgcornea	角膜	感覚器	かくまく	👁️	目のいちばん前にある透明な膜。光を最初に集め、目を守る。血管がないので移植ができる。	head	0.65	0.50	角膜	
orgiris	こう彩	感覚器	こうさい	👁️	ひとみのまわりの色のついた部分。ひとみの大きさを変えて目に入る光の量を調節する。カメラのしぼりにあたる。	head	0.70	0.44	虹彩	
orgpupil	ひとみ	感覚器	ひとみ	👁️	目のまん中の黒い部分(どうこう)。光が入る穴で、明るい所では小さく、暗い所では大きくなる。	head	0.60	0.42	瞳孔	
orgopticnerve	視神経	脳・神経	ししんけい	👁️	網膜が受けとった光の信号を脳へ送る神経。左右の目から出て脳のうしろの部分へつながる。	head	0.70	0.36	視神経	
orgeardrum	鼓膜	感覚器	こまく	👂	耳のおくにあるうすい膜。音が当たるとふるえ、そのふるえを耳小骨に伝える。大きな音や耳かきで破れることがある。	head	0.82	0.53	鼓膜	
orgcochlea	うずまき管	感覚器	うずまきかん	👂	内耳にあるカタツムリのような形の管。中は液体で満たされ、音のふるえを神経の信号に変えて脳へ送る。	head	0.78	0.48	蝸牛	
orgsemicircular	三半規管	感覚器	さんはんきかん	👂	内耳にある3つの輪の形の管。頭や体の回転を感じ、バランスをとる。ぐるぐる回って目が回るのはここのせい。	head	0.76	0.42	三半規管	
orgtastebud	味らい	感覚器	みらい	👅	舌の表面にある味を感じる小さな器官。あまい・しょっぱい・すっぱい・にがい・うまみの5つの味を感じる。	head	0.44	0.80	味蕾	
orgeyelid	まぶた	感覚器	まぶた	👁️	目をおおう皮ふ。まばたきで目の表面をなみだでうるおし、ほこりや光から目を守る。1分間に約20回まばたきする。	head	0.35	0.38	眼瞼	
orgolfactory	きゅう上皮	感覚器	きゅうじょうひ	👃	鼻のいちばんおくにある、においを感じる細胞が集まった場所。空気中のにおいの分子をとらえ、脳に信号を送る。	head	0.56	0.53	嗅覚	
orgbrain	脳	脳・神経	のう	🧠	頭がい骨の中にある体の司令塔。考える・おぼえる・体を動かす命令を出す。重さは約1.3キログラムで、体のエネルギーの約20%を使う。	head	0.50	0.15	脳	1
orgcerebrum	大脳	脳・神経	だいのう	🧠	脳のいちばん大きな部分。考える、おぼえる、感じる、体を動かす命令を出す。表面のしわを広げると新聞紙1枚分。	head	0.40	0.13	大脳	
orgcerebellum	小脳	脳・神経	しょうのう	🧠	大脳のうしろ下にある小さな脳。体のバランスをとり、運動をなめらかにする。自転車の乗り方をおぼえているのはここ。	head	0.72	0.28	小脳	
orgbrainstem	脳幹	脳・神経	のうかん	🧠	大脳とせきずいをつなぐ部分。呼吸や心臓の動きなど、生きるために欠かせない働きを自動でコントロールする。	head	0.50	0.30	脳幹	
orgdiencephalon	間脳	脳・神経	かんのう	🧠	大脳と脳幹のあいだにある部分。視床と視床下部からなり、体温や自律神経、ホルモンの中心になる。	head	0.50	0.22	間脳	
orghypothalamus	視床下部	脳・神経	ししょうかぶ	🌡️	間脳の下の部分。体温・空腹・のどのかわき・ねむけを感じ、自律神経とホルモンの司令塔になる。	head	0.58	0.26	視床下部	
orgpituitary	脳下垂体	ホルモン	のうかすいたい	🧠	脳の下にぶら下がる小指の先ほどの器官。成長ホルモンなどを出し、ほかのホルモンの器官に命令を出す。	head	0.42	0.28	下垂体	
orgmedulla	延髄	脳・神経	えんずい	🧠	脳幹のいちばん下でせきずいにつながる。呼吸・心臓のはく動・飲みこみ・せきなど生命の中心を守る。	head	0.50	0.36	延髄	
orgspinalcord	せきずい	脳・神経	せきずい	🧠	背骨の中を通る太い神経のたば。脳と体をつなぎ、熱いものにさわったとき手を引く反射の中心にもなる。	front	0.53	0.255	脊髄	1
orgnerve	神経	脳・神経	しんけい	⚡	体中に電気の信号を伝えるひも。感じたことを脳に送り、脳の命令を筋肉に伝える。信号の速さは秒速100メートルにもなる。	front	0.76	0.44	神経	1
