# 世界史の出来事。key	出来事	年・場所	よみ	絵文字	解説	緯度	経度	地図の目印	はじめのレベル(1か空)
evmongol	モンゴル帝国の成立	1206年・モンゴル	もんごるていこくのせいりつ	🛡️	チンギス・ハンが モンゴルの部族を統一し、騎馬軍団でアジアからヨーロッパにまたがる 史上最大級の帝国を築いた。	47.20	102.85	カラコルム モンゴル	1
evmagnacarta	マグナ・カルタ	1215年・イングランド	まぐなかるた	📜	勝手に税をかける国王ジョンに対して、貴族たちが王の権力を制限する約束を認めさせた文書。イギリス立憲政治の出発点。	51.443	-0.565	ラニーミード イギリス	
evyuan	元の成立	1271年・中国	げんのせいりつ	👑	チンギス・ハンの孫フビライが 都を大都(いまの北京)に置いて建てた王朝。日本に2度攻めてきた「元寇」の元である。	39.97	116.39	北京 元大都城垣遺址公園	
evmarcopolo	マルコ・ポーロの旅	1271年〜・ヴェネツィア	まるこぽーろのたび	🚢	ヴェネツィアの商人マルコ・ポーロが 元のフビライに仕え、帰国後に「世界の記述(東方見聞録)」を残した。日本は「黄金の国ジパング」と紹介された。	45.434	12.339	ヴェネツィア サン・マルコ広場	
evblackdeath	黒死病の流行	1347年〜・ヨーロッパ	こくしびょうのりゅうこう	🔥	ペストが ヨーロッパ全土に広まり、人口の3分の1ほどが亡くなったといわれる。働き手が減り、農民の地位が上がるきっかけになった。	38.19	15.55	メッシーナ イタリア	
evhundredyears	百年戦争	1339〜1453年・フランス	ひゃくねんせんそう	⚔️	イギリスとフランスが 王位や領土をめぐって100年以上争った戦争。追いつめられたフランスを 少女ジャンヌ・ダルクが救った。	47.902	1.904	オルレアン フランス	
evtyler	ワット・タイラーの乱	1381年・イングランド	わっとたいらーのらん	✊	重い税に反発した農民が ワット・タイラーを指導者にロンドンへ攻めのぼった反乱。「アダムが耕しイヴが紡いだとき、だれが貴族だったか」は 説教師ジョン・ボールの言葉。	51.508	-0.076	ロンドン塔	
evming	明の成立	1368年・中国	みんのせいりつ	👑	農民出身の朱元璋(しゅげんしょう)が 元を北へ追いはらって建てた王朝。日本の室町幕府と 勘合貿易を行った。	32.06	118.85	南京 明孝陵	1
evzhenghe	鄭和の南海遠征	1405年〜・中国	ていわのなんかいえんせい	🚢	明の永楽帝の命令で 鄭和(ていわ)が大船団をひきいて 東南アジアからインド、アフリカ東岸まで 7回も遠征した。	32.05	118.73	南京 鄭和宝船遺址公園	
evconstantinople	ビザンツ帝国の滅亡	1453年・コンスタンティノープル	びざんつていこくのめつぼう	🏰	オスマン帝国が コンスタンティノープルを攻め落とし、1000年以上つづいた東ローマ(ビザンツ)帝国が滅んだ。街はイスタンブールとよばれる。	41.011	28.983	イスタンブール トプカプ宮殿	
evgutenberg	活版印刷術の発明	1450年ごろ・ドイツ	かっぱんいんさつじゅつのはつめい	📜	グーテンベルクが 金属の活字で本を印刷する技術を実用化した。聖書が安く広まり、ルネサンスや宗教改革を後おしした。	50.00	8.27	グーテンベルク博物館 マインツ	
evrenaissance	ルネサンス	14〜16世紀・イタリア	るねさんす	🎨	古代ギリシャ・ローマの文化を手本に、人間らしさを大切にする芸術や学問がイタリアで花開いた。レオナルド・ダ・ヴィンチやミケランジェロが活やく。	43.773	11.256	フィレンツェ 大聖堂	1
evreconquista	レコンキスタの完成	1492年・スペイン	れこんきすたのかんせい	🏰	キリスト教徒が イベリア半島をイスラム勢力から取りもどす運動が、グラナダの陥落で完成した。同じ年にコロンブスが出航した。	37.176	-3.588	アルハンブラ宮殿 グラナダ	
evcolumbus	コロンブスのアメリカ到達	1492年・カリブ海	ころんぶすのあめりかとうたつ	🚢	スペインの援助を受けたコロンブスが 大西洋を西へ進み、カリブ海の島に着いた。本人は死ぬまで そこをインドだと信じていた。	24.05	-74.50	サンサルバドル島 バハマ	1
evvascodagama	バスコ・ダ・ガマのインド航路	1498年・インド	ばすこだがまのいんどこうろ	⚓	ポルトガルのバスコ・ダ・ガマが アフリカ南端の喜望峰をまわって インドのカリカットに着いた。香辛料が直接手に入る道が開けた。	11.25	75.78	カリカット コーリコード	
evagediscovery	大航海時代	15〜17世紀・ポルトガル	だいこうかいじだい	🌍	ヨーロッパの人びとが 香辛料や金を求めて 大洋へ乗り出した時代。ポルトガルとスペインが先頭に立ち、世界がひとつにつながりはじめた。	38.694	-9.206	発見のモニュメント リスボン	1
evmagellan	マゼランの世界一周	1519〜1522年・世界	まぜらんのせかいいっしゅう	🚢	マゼランの船団が はじめて世界を一周し、地球が丸いことを証明した。マゼラン自身は フィリピンで亡くなり、部下が航海を終えた。	10.294	123.902	セブ マゼランクロス	
evluther	宗教改革	1517年・ドイツ	しゅうきょうかいかく	⛪	ルターが 免罪符を売るカトリック教会を批判する95か条の意見書を出した。聖書を大切にするプロテスタントが生まれ、キリスト教が二つに分かれた。	51.866	12.640	ヴィッテンベルク 城教会	1
evcalvin	カルヴァンの宗教改革	1541年・スイス	かるばんのしゅうきょうかいかく	⛪	カルヴァンが ジュネーブで きびしい信仰にもとづく改革を行った。働いて富をたくわえることを認めたので、商工業者に広く受け入れられた。	46.200	6.146	ジュネーブ 宗教改革記念碑	
evanglican	イギリス国教会の成立	1534年・イングランド	いぎりすこっきょうかいのせいりつ	⛪	離婚を認めない教皇と対立した国王ヘンリ8世が、ローマ教会から離れて 国王を長とするイギリス国教会をつくった。	51.280	1.083	カンタベリー大聖堂	
evaztec	アステカ帝国の滅亡	1521年・メキシコ	あすてかていこくのめつぼう	🏛️	スペイン人コルテスが わずかな兵で アステカ帝国の都テノチティトランを攻め落とした。その上に いまのメキシコシティが築かれた。	19.435	-99.132	テンプロ・マヨール メキシコシティ	
evinca	インカ帝国の滅亡	1533年・ペルー	いんかていこくのめつぼう	🏛️	スペイン人ピサロが アンデスの大帝国インカを滅ぼした。山の上の都市マチュピチュは スペイン人に見つからず、いまも残っている。	-13.163	-72.545	マチュピチュ	
evmughal	ムガル帝国の成立	1526年・インド	むがるていこくのせいりつ	👑	バーブルが北インドに建てたイスラムの王朝。第3代アクバルが 全盛期を築き、のちにタージ・マハルが造られた。	28.593	77.251	フマユーン廟 デリー	
evnantes	ナントの勅令	1598年・フランス	なんとのちょくれい	📜	フランス王アンリ4世が プロテスタント(ユグノー)に信仰の自由を認めた命令。長くつづいた宗教戦争を終わらせた。	47.216	-1.550	ナント ブルターニュ公城	
evthirtyyears	三十年戦争	1618〜1648年・ドイツ	さんじゅうねんせんそう	⚔️	ドイツの宗教対立からはじまり、ヨーロッパの多くの国を巻きこんだ最後で最大の宗教戦争。ドイツの人口は大きく減った。	50.091	14.402	プラハ城	
evwestphalia	ウェストファリア条約	1648年・ドイツ	うぇすとふぁりあじょうやく	📜	三十年戦争を終わらせた条約。各国が対等な主権をもつという いまの国際関係のしくみが ここから はじまったといわれる。	51.962	7.628	ミュンスター 市庁舎	
evqing	清の成立	1636年・中国	しんのせいりつ	👑	満州族のヌルハチが建てた後金が 国名を清と改め、明の滅亡後に中国全土を支配した。康熙帝・乾隆帝のころ最盛期をむかえ、約300年つづいた。	41.796	123.451	瀋陽故宮	
evpuritan	ピューリタン革命	1642〜1649年・イギリス	ぴゅーりたんかくめい	✊	議会と国王が対立し、クロムウェルひきいる議会側が勝利。国王チャールズ1世は処刑され、一時 王のいない共和政になった。	51.505	-0.126	ロンドン ホワイトホール	
evglorious	名誉革命	1688年・イギリス	めいよかくめい	👑	議会が 国王を追放し オランダから新しい王をむかえた革命。血を流さなかったので この名がある。翌年の権利の章典で 議会政治が確立した。	51.500	-0.125	ロンドン 国会議事堂	1
evlouis14	ルイ十四世の絶対王政	1661年〜・フランス	るいじゅうよんせいのぜったいおうせい	👑	「太陽王」ルイ14世が 貴族をおさえて 王がすべてを決める絶対王政の頂点を築いた。ヴェルサイユ宮殿は その力の象徴。	48.805	2.120	ヴェルサイユ宮殿	
evsevenyears	七年戦争	1756〜1763年・ヨーロッパ	しちねんせんそう	⚔️	プロイセンとオーストリアの対立に 各国が加わった戦争。同時に北アメリカやインドでも イギリスとフランスが植民地を争った。	52.404	13.038	サンスーシ宮殿 ポツダム	
evplassey	プラッシーの戦い	1757年・インド	ぷらっしーのたたかい	⚔️	イギリス東インド会社が フランスと結んだベンガルの太守をやぶった戦い。イギリスがインドを植民地にしていく出発点となった。	23.80	88.25	プラッシー 西ベンガル	
evindustrial	産業革命	18世紀後半・イギリス	さんぎょうかくめい	🏭	蒸気機関を使った機械で綿織物を大量に作れるようになり、工場と都市が発達した。イギリスは「世界の工場」とよばれた。	53.478	-2.255	マンチェスター 科学産業博物館	1
evamericanrev	アメリカ独立戦争	1775〜1783年・アメリカ	あめりかどくりつせんそう	🗽	イギリスの重い税に反発した13の植民地が戦い、1776年に独立宣言を出した。総司令官ワシントンが 初代大統領になった。	39.949	-75.150	独立記念館 フィラデルフィア	1
evfrenchrev	フランス革命	1789年・フランス	ふらんすかくめい	🔥	パリの民衆がバスティーユ牢獄をおそい、革命がはじまった。人権宣言が出され、国王ルイ16世は処刑。自由と平等の考えが世界に広まった。	48.853	2.369	バスティーユ広場 パリ	1
evnapoleon	ナポレオンの皇帝即位	1804年・フランス	なぽれおんのこうていそくい	👑	革命の混乱の中で人気を集めた軍人ナポレオンが 皇帝になった。ヨーロッパの大半を支配し、法律(ナポレオン法典)を各地に広めた。	48.853	2.350	ノートルダム大聖堂 パリ	1
evhaiti	ハイチの独立	1804年・ハイチ	はいちのどくりつ	✊	フランスの植民地で 黒人奴隷たちが立ち上がり、世界ではじめて 黒人による共和国をつくった。ラテンアメリカ独立の先がけ。	18.54	-72.34	ポルトープランス	
evvienna	ウィーン会議	1814〜1815年・オーストリア	うぃーんかいぎ	📜	ナポレオンのあとのヨーロッパの秩序を決めた会議。舞踏会ばかりで話が進まず「会議は踊る、されど進まず」といわれた。	48.207	16.366	ウィーン ホーフブルク宮殿	
evwaterloo	ワーテルローの戦い	1815年・ベルギー	わーてるろーのたたかい	⚔️	島から脱出して復活したナポレオンが、イギリス・プロイセン軍に最後の敗北をした戦い。ナポレオンは大西洋の孤島へ流された。	50.678	4.405	ワーテルロー ライオンの丘	
evlatinamerica	ラテンアメリカの独立	1810〜1820年代・南アメリカ	らてんあめりかのどくりつ	✊	ボリバルやサン・マルティンの指導で、スペインやポルトガルの植民地だった中南米の国ぐにが次つぎと独立した。	4.598	-74.076	ボゴタ ボリバル広場	
evmonroe	モンロー宣言	1823年・アメリカ	もんろーせんげん	📜	アメリカ大統領モンローが「アメリカ大陸とヨーロッパは たがいに干渉しない」と宣言した。アメリカ外交の基本方針となった。	38.898	-77.037	ホワイトハウス ワシントン	
evjuly	七月革命	1830年・フランス	しちがつかくめい	🔥	パリの民衆が 国王シャルル10世を追放した革命。ドラクロワの絵「民衆を導く自由の女神」は この革命をえがいている。	48.853	2.369	パリ 七月革命記念柱	
evopium	アヘン戦争	1840〜1842年・中国	あへんせんそう	⚔️	清がアヘンの密輸を取りしまったことから イギリスと戦争になり、清が敗北。南京条約で香港をゆずり、5港を開いた。	22.80	113.65	虎門 広東省	1
evfeb1848	二月革命	1848年・フランス	にがつかくめい	🔥	パリで起きた革命で 王政が倒れ、共和政になった。この動きは ウィーンやベルリンにも広がり「諸国民の春」とよばれた。	48.857	2.341	パリ コンコルド広場	
evmarx	共産党宣言	1848年・ロンドン	きょうさんとうせんげん	📜	マルクスとエンゲルスが「万国の労働者よ、団結せよ」とよびかけた本。のちの社会主義運動やロシア革命に大きな影響をあたえた。	51.519	-0.127	大英博物館 ロンドン	
evtaiping	太平天国の乱	1851〜1864年・中国	たいへいてんごくのらん	✊	洪秀全(こうしゅうぜん)が「太平天国」を建てて 清に反乱を起こした。土地の平等を訴え、南京を都にしたが 鎮圧された。	32.03	118.78	南京 太平天国歴史博物館	
evcrimea	クリミア戦争	1853〜1856年・クリミア半島	くりみあせんそう	⚔️	南へ進もうとするロシアと、それを止めるイギリス・フランス・オスマン帝国が戦った。ナイチンゲールが看護師として活やくした。	44.616	33.525	セヴァストポリ	
evsepoy	インド大反乱	1857〜1859年・インド	いんどだいはんらん	✊	イギリス東インド会社のインド人兵士(シパーヒー)が起こした反乱が 全国に広がった。鎮圧後、イギリスはインドを直接支配した。	28.656	77.241	デリー 赤い城	
evarrow	アロー戦争	1856〜1860年・中国	あろーせんそう	⚔️	イギリスとフランスが 清に戦争をしかけ、北京を占領。離宮の円明園が焼かれ、清は キリスト教の布教などを認めさせられた。	40.008	116.298	円明園 北京	
evitaly	イタリア統一	1861年・イタリア	いたりあとういつ	👑	サルデーニャ王国を中心に 分かれていたイタリアが統一された。赤シャツ隊のガリバルディが 南部をゆずったことで知られる。	45.069	7.686	トリノ カリニャーノ宮殿	
evcivilwar	南北戦争	1861〜1865年・アメリカ	なんぼくせんそう	⚔️	奴隷制をめぐって 北部と南部が分かれて戦った内戦。リンカーン大統領は奴隷解放宣言を出し、「人民の、人民による、人民のための政治」を訴えた。	39.812	-77.231	ゲティスバーグ 国立軍事公園	1
evsuez	スエズ運河の開通	1869年・エジプト	すえずうんがのかいつう	🚢	地中海と紅海を結ぶ運河が フランス人レセップスによって完成。アジアへの航路が大幅に短くなり、のちにイギリスが支配した。	31.26	32.30	ポートサイド エジプト	
evgermany	ドイツ帝国の成立	1871年・ドイツ	どいつていこくのせいりつ	👑	プロイセンの首相ビスマルクが「鉄と血」の政策でフランスに勝ち、ドイツを統一。皇帝の即位式は ヴェルサイユ宮殿の鏡の間で行われた。	48.805	2.121	ヴェルサイユ宮殿 鏡の間	1
evpariscommune	パリ・コミューン	1871年・フランス	ぱりこみゅーん	✊	普仏戦争に敗れたあと、パリの労働者たちが 世界ではじめての労働者による自治政府をつくった。わずか2か月で鎮圧された。	48.887	2.343	パリ モンマルトル サクレ・クール寺院	
evberlin1878	ベルリン会議	1878年・ドイツ	べるりんかいぎ	📜	露土戦争のあと、ビスマルクが「公正な仲介人」として開いた会議。ロシアの南下をおさえ、バルカン半島の勢力を決めなおした。	52.518	13.400	ベルリン 旧帝国首相官邸跡	
evafricapartition	アフリカ分割	1884〜1885年・ドイツ	あふりかぶんかつ	🌍	ベルリンで開かれた会議で、ヨーロッパの国ぐにが アフリカを分けとるルールを決めた。20世紀はじめには ほぼ全土が植民地になった。	52.517	13.379	ベルリン ブランデンブルク門	
evinc	インド国民会議の結成	1885年・インド	いんどこくみんかいぎのけっせい	✊	イギリス支配のもとで インド人の意見をまとめる組織として結成された。のちにガンディーらが加わり、独立運動の中心となった。	18.94	72.83	ムンバイ インド	
evdreyfus	ドレフュス事件	1894年・フランス	どれふゅすじけん	📜	ユダヤ人の軍人ドレフュスが 無実の罪でスパイとされた事件。作家ゾラが「私は告発する」と新聞で訴え、世論を二分した。	48.852	2.304	パリ 陸軍士官学校	
evboer	南アフリカ戦争	1899〜1902年・南アフリカ	みなみあふりかせんそう	⚔️	金とダイヤモンドをねらうイギリスが、オランダ系移民(ブール人)の国と戦った。イギリスは勝ったが 帝国主義への批判が高まった。	-25.746	28.188	プレトリア ユニオンビル	
evboxer	義和団事件	1900年・中国	ぎわだんじけん	✊	「扶清滅洋」をとなえる義和団が 外国人を攻撃し、清もこれに加わって列強に宣戦。日本をふくむ8か国連合軍に鎮圧された。	39.904	116.404	北京 東交民巷	
evxinhai	辛亥革命	1911年・中国	しんがいかくめい	🔥	武昌(いまの武漢)で起きた反乱が全国に広がり、翌年 孫文を臨時大総統として中華民国が成立。約2000年つづいた皇帝の時代が終わった。	30.545	114.302	武漢 辛亥革命博物館	1
evsarajevo	サラエボ事件	1914年・ボスニア	さらえぼじけん	⚔️	オーストリアの皇太子夫妻が サラエボでセルビア人青年に暗殺された。この事件をきっかけに 第一次世界大戦がはじまった。	43.858	18.429	サラエボ ラテン橋	
evww1	第一次世界大戦	1914〜1918年・ヨーロッパ	だいいちじせかいたいせん	⚔️	サラエボ事件をきっかけに、同盟国と連合国に分かれて 世界中を巻きこんだ戦争。戦車・飛行機・毒ガスが使われ、約1000万人の兵士が亡くなった。	43.858	18.429	サラエボ ラテン橋	1
evrussianrev	ロシア革命	1917年・ロシア	ろしあかくめい	✊	戦争と食料不足に苦しむ民衆が立ち上がり、皇帝が退位。レーニンひきいるボリシェヴィキが 世界ではじめての社会主義政府をつくった。	59.940	30.314	サンクトペテルブルク 冬宮殿	1
evversailles	ヴェルサイユ条約	1919年・フランス	べるさいゆじょうやく	📜	第一次世界大戦の講和条約。ドイツは 領土と植民地を失い、巨額の賠償金を課された。この不満が のちのナチス台頭につながった。	48.805	2.121	ヴェルサイユ宮殿 鏡の間	
evleague	国際連盟の成立	1920年・スイス	こくさいれんめいのせいりつ	🕊️	アメリカ大統領ウィルソンの提案でできた 世界ではじめての国際平和組織。提案国のアメリカが参加せず、力は弱かった。	46.227	6.141	パレ・デ・ナシオン ジュネーブ	
evmay4	五・四運動	1919年・中国	ごしうんどう	✊	パリ講和会議で 日本の中国での権益が認められたことに怒った北京の学生たちが 抗議のデモを行い、全国に広がった。	39.908	116.397	天安門 北京	
evgandhi	ガンディーの非暴力運動	1930年・インド	がんでぃーのひぼうりょくうんどう	🕊️	ガンディーは 暴力を使わずにイギリスの支配に抵抗した。塩の専売に反対して 海まで約380kmを歩いた「塩の行進」が有名。	20.94	72.88	ダンディー海岸 グジャラート	
evdepression	世界恐慌	1929年・アメリカ	せかいきょうこう	💰	ニューヨークの株価が大暴落し、不景気が世界中に広がった。会社がつぶれ失業者があふれ、各国が経済のたてなおしに苦しんだ。	40.706	-74.011	ニューヨーク ウォール街	1
evnewdeal	ニューディール政策	1933年・アメリカ	にゅーでぃーるせいさく	💰	世界恐慌に対して ローズベルト大統領が行った政策。ダム建設などの公共事業で仕事をつくり、国が経済に積極的にかかわった。	36.22	-84.09	ノリスダム テネシー州	
evnazi	ナチス政権の成立	1933年・ドイツ	なちすせいけんのせいりつ	🔥	不景気と賠償金への不満を背景に、ヒトラーひきいるナチスが選挙で第一党になり政権をにぎった。独裁体制のもとで ユダヤ人を迫害した。	52.519	13.376	ベルリン 国会議事堂	
evmunich	ミュンヘン会談	1938年・ドイツ	みゅんへんかいだん	📜	ヒトラーの領土要求を、イギリスとフランスが戦争を避けるために認めた会談。ゆずりすぎた「宥和政策」の失敗例とされる。	48.137	11.575	ミュンヘン	
evww2	第二次世界大戦	1939〜1945年・世界	だいにじせかいたいせん	⚔️	ドイツのポーランド侵攻ではじまり、日本・イタリアをふくむ枢軸国と 連合国が世界中で戦った。歴史上もっとも多くの犠牲者を出した。	52.230	21.012	ワルシャワ 旧市街	1
evun	国際連合の成立	1945年・アメリカ	こくさいれんごうのせいりつ	🕊️	第二次世界大戦の反省から、世界の平和を守るためにできた組織。51か国ではじまり、いまは190以上の国が参加。本部はニューヨーク。	40.749	-73.968	国連本部 ニューヨーク	1
evcoldwar	冷戦	1947〜1989年・世界	れいせん	🧱	アメリカ中心の資本主義の国ぐにと、ソ連中心の社会主義の国ぐにが 直接戦わずに対立した時代。ベルリンの壁が その象徴だった。	52.516	13.378	ベルリン ブランデンブルク門	1
evindiaindep	インドの独立	1947年・インド	いんどのどくりつ	🕊️	ガンディーらの運動の末に イギリスから独立した。しかし ヒンドゥー教徒のインドと イスラム教徒のパキスタンに分かれての独立だった。	28.641	77.249	ラージ・ガート デリー	
evprc	中華人民共和国の成立	1949年・中国	ちゅうかじんみんきょうわこくのせいりつ	🏛️	毛沢東ひきいる共産党が 内戦に勝ち、北京の天安門で建国を宣言した。敗れた国民党の蒋介石は 台湾へ移った。	39.908	116.397	天安門広場 北京	1
evkorea	朝鮮戦争	1950〜1953年・朝鮮半島	ちょうせんせんそう	⚔️	北朝鮮が韓国に攻めこんではじまった戦争。アメリカ中心の国連軍と 中国が加わり、いまも休戦のまま 北緯38度線付近で分断されている。	37.956	126.677	板門店	1
evbandung	バンドン会議	1955年・インドネシア	ばんどんかいぎ	🌍	アジア・アフリカの29か国が集まり、植民地支配への反対と平和共存をうたった。冷戦のどちらにもつかない「第三世界」の出発点。	-6.921	107.609	バンドン アジア・アフリカ会議博物館	
evafrica	アフリカの年	1960年・アフリカ	あふりかのとし	🌍	この年 アフリカで17か国が いっせいに独立した。1957年のガーナ独立から広がった動きで、植民地の時代が終わりに近づいた。	5.548	-0.192	アクラ 独立広場	
